rep,id,b02,b12,b03,b13,b06,b16,h1,h2,alpha12,alpha13,alpha16,alpha22,alpha23,alpha26,hcov1,hcov2,eta_b02,eta_b12,eta_b03,eta_b13,eta_b06,eta_b16,eta_h1,eta_h2,eta_alpha12,eta_alpha13,eta_alpha16,eta_alpha22,eta_alpha23,eta_alpha26,eta_hcov1,eta_hcov2
1,1,5.89007009163267,-0.116387010528029,4.47433342498281,-0.0575310877123373,93.0795946144678,-0.0495303933217059,6.2171182227262e-05,0.0798875003849311,0.331508721273221,0.763312230690146,0.871996860255348,7.39353986299614e-11,-0.143180915518082,-0.18495397844757,5.53042258511975,-1.56205181229083,-0.245938150957577,-0.0798755582532826,0.236166912343122,0.0936994397231825,-0.518104619509259,-0.0558620470248359,0,0,0,0,0,0,0,0,0,0
2,1,6.24666660033468,-0.0631888035867886,5.0289615407823,-0.073727570713042,93.7470647348517,-0.0557044418756248,6.2171182227262e-05,0.0798875003849311,0.331508721273221,0.763312230690146,0.871996860255348,7.39353986299614e-11,-0.143180915518082,-0.18495397844757,5.53042258511975,-1.56205181229083,0.11065835774443,-0.0266773513120418,0.790795028142615,0.0775029567224779,0.149365500874666,-0.0620360955787548,0,0,0,0,0,0,0,0,0,0
3,1,5.90254823612688,-0.00709342518099912,4.82364535282498,-0.107321303999909,90.7276554327569,0.076421579869095,6.2171182227262e-05,0.0798875003849311,0.331508721273221,0.763312230690146,0.871996860255348,7.39353986299614e-11,-0.143180915518082,-0.18495397844757,5.53042258511975,-1.56205181229083,-0.233460006463362,0.0294180270937478,0.585478840185292,0.0439092234356112,-2.87004380122012,0.070089926165965,0,0,0,0,0,0,0,0,0,0
1,2,5.81600889149899,-0.0437494851361902,2.82463741448558,-0.190436014486181,89.2700802383386,-0.168936215879198,6.2171182227262e-05,0.0798875003849311,0.331508721273221,0.763312230690146,0.871996860255348,7.39353986299614e-11,-0.143180915518082,-0.18495397844757,2.51382844778171,-0.710023551041287,-0.319999351091254,-0.0072380328614433,-1.41352909815411,-0.039205487050661,-4.32761899563843,-0.175267869582328,0,0,0,0,0,0,0,0,0,0
2,2,6.60594943171659,-0.17313764511522,3.53223074036479,-0.0625482066067876,91.4268241456551,-0.00648277747547679,6.2171182227262e-05,0.0798875003849311,0.331508721273221,0.763312230690146,0.871996860255348,7.39353986299614e-11,-0.143180915518082,-0.18495397844757,2.51382844778171,-0.710023551041287,0.469941189126341,-0.136626192840473,-0.705935772274895,0.0886823208287323,-2.17087508832194,-0.0128144311786068,0,0,0,0,0,0,0,0,0,0
3,2,6.27241537935005,-0.0202160857039984,3.69403690819096,0.0275298727555578,88.2160640724695,-0.128027103722362,6.2171182227262e-05,0.0798875003849311,0.331508721273221,0.763312230690146,0.871996860255348,7.39353986299614e-11,-0.143180915518082,-0.18495397844757,2.51382844778171,-0.710023551041287,0.136407136759801,0.0162953665707485,-0.544129604448723,0.178760400191078,-5.38163516150753,-0.134358757425492,0,0,0,0,0,0,0,0,0,0
1,3,7.04226790531407,-0.021076290521512,2.42546256996234,-0.331131979938878,96.4940740998832,0.143748332063233,6.2171182227262e-05,0.0798875003849311,0.331508721273221,0.763312230690146,0.871996860255348,7.39353986299614e-11,-0.143180915518082,-0.18495397844757,3.01659413733805,-0.852028261249545,0.906259662723825,0.0154351617532349,-1.81270394267735,-0.179901452503358,2.8963748659062,0.137416678360103,0,0,0,0,0,0,0,0,0,0
2,3,4.23515017105957,-0.187644139750509,2.22389264037923,-0.432955857116005,99.8475508423774,-0.174244789479458,6.2171182227262e-05,0.0798875003849311,0.331508721273221,0.763312230690146,0.871996860255348,7.39353986299614e-11,-0.143180915518082,-0.18495397844757,3.01659413733805,-0.852028261249545,-1.90085807153068,-0.151132687475762,-2.01427387226045,-0.281725329680485,6.24985160840042,-0.180576443182588,0,0,0,0,0,0,0,0,0,0
3,3,8.01174646560037,-0.0986474144333346,3.23004190206489,-0.356024389937053,96.5342392981184,-0.108418450889976,6.2171182227262e-05,0.0798875003849311,0.331508721273221,0.763312230690146,0.871996860255348,7.39353986299614e-11,-0.143180915518082,-0.18495397844757,3.01659413733805,-0.852028261249545,1.87573822301012,-0.0621359621585877,-1.00812461057479,-0.204793862501534,2.93654006414137,-0.114750104593106,0,0,0,0,0,0,0,0,0,0
1,4,6.13452453466421,-0.0118590399712999,2.53563699315067,-0.160431742198914,94.0486042371407,-0.274154401287918,6.2171182227262e-05,0.0798875003849311,0.331508721273221,0.763312230690146,0.871996860255348,7.39353986299614e-11,-0.143180915518082,-0.18495397844757,4.02212551645073,-1.13603768166606,-0.00148370792603814,0.024652412303447,-1.70252951948902,-0.00920121476339425,0.450905003163626,-0.280486054991048,0,0,0,0,0,0,0,0,0,0
