rep,id,b03,b13,b06,b16,h1,h2,alpha13,alpha16,alpha23,alpha26,hcov1,hcov2,score4C
1,1,4.42697076293287,-0.0657985438202804,94.5947843553617,0.0389303401572752,6.09489638989021e-05,0.0742044907688737,0.773898850985876,1.00078977714716,-0.147408234157634,-0.211754988497754,5.61464695204597,-1.54732343798215,11
2,1,5.23152358689317,-0.178373452428265,91.1756965948733,-0.100890264027105,6.09489638989021e-05,0.0742044907688737,0.773898850985876,1.00078977714716,-0.147408234157634,-0.211754988497754,5.61464695204597,-1.54732343798215,11
3,1,4.45563813318326,-0.0300826561581827,95.1862402805572,-0.230545512144596,6.09489638989021e-05,0.0742044907688737,0.773898850985876,1.00078977714716,-0.147408234157634,-0.211754988497754,5.61464695204597,-1.54732343798215,11
1,2,3.37428912258318,-0.0181253933741101,93.3884457078481,0.114323812692287,6.09489638989021e-05,0.0742044907688737,0.773898850985876,1.00078977714716,-0.147408234157634,-0.211754988497754,2.55211225092998,-0.703328835446431,5
2,2,2.98579694810051,0.0652993866111244,90.1535764844461,-0.0025053773675794,6.09489638989021e-05,0.0742044907688737,0.773898850985876,1.00078977714716,-0.147408234157634,-0.211754988497754,2.55211225092998,-0.703328835446431,5
3,2,3.87370707234766,-0.377178872006695,95.8141499376819,-0.0688431087433805,6.09489638989021e-05,0.0742044907688737,0.773898850985876,1.00078977714716,-0.147408234157634,-0.211754988497754,2.55211225092998,-0.703328835446431,5
1,3,2.76481075955206,-0.523454485708532,98.3945112608729,-0.247889915386961,6.09489638989021e-05,0.0742044907688737,0.773898850985876,1.00078977714716,-0.147408234157634,-0.211754988497754,3.06253470111598,-0.843994602535717,6
2,3,3.18577911388507,-0.344408252376254,92.2990250963283,-0.162984414049085,6.09489638989021e-05,0.0742044907688737,0.773898850985876,1.00078977714716,-0.147408234157634,-0.211754988497754,3.06253470111598,-0.843994602535717,6
3,3,3.58691955276573,-0.465999620863092,92.6271019075465,-0.0330703075653861,6.09489638989021e-05,0.0742044907688737,0.773898850985876,1.00078977714716,-0.147408234157634,-0.211754988497754,3.06253470111598,-0.843994602535717,6
1,4,2.83404251284392,-0.217446877282926,90.4413453278069,-0.210130293003828,6.09489638989021e-05,0.0742044907688737,0.773898850985876,1.00078977714716,-0.147408234157634,-0.211754988497754,4.08337960148797,-1.12532613671429,8
2,4,2.87361440764787,-0.315514637269231,87.7051515441538,-0.131213803685797,6.09489638989021e-05,0.0742044907688737,0.773898850985876,1.00078977714716,-0.147408234157634,-0.211754988497754,4.08337960148797,-1.12532613671429,8
3,4,3.19951955027578,-0.330273157406443,89.1839615194416,0.181044696261427,6.09489638989021e-05,0.0742044907688737,0.773898850985876,1.00078977714716,-0.147408234157634,-0.211754988497754,4.08337960148797,-1.12532613671429,8
1,5,2.56350841311875,0.035631402226976,97.3809074847839,-0.434013516388062,6.09489638989021e-05,0.0742044907688737,0.773898850985876,1.00078977714716,-0.147408234157634,-0.211754988497754,1.53126735055799,-0.421997301267859,3
2,5,3.05125795216946,0.0103062719182372,97.3573103267897,-0.349279799571019,6.09489638989021e-05,0.0742044907688737,0.773898850985876,1.00078977714716,-0.147408234157634,-0.211754988497754,1.53126735055799,-0.421997301267859,3
3,5,3.31676570238472,0.00155654534271322,97.703219750457,-0.256755775382023,6.09489638989021e-05,0.0742044907688737,0.773898850985876,1.00078977714716,-0.147408234157634,-0.211754988497754,1.53126735055799,-0.421997301267859,3
1,6,5.090103960387,0.151474409351647,89.240667295369,0.104645789030649,6.09489638989021e-05,0.0742044907688737,0.773898850985876,1.00078977714716,-0.147408234157634,-0.211754988497754,1.02084490037199,-0.281331534178572,2
2,6,5.25244761213851,-0.10221253615076,90.8630224066284,-0.129462698159803,6.09489638989021e-05,0.0742044907688737,0.773898850985876,1.00078977714716,-0.147408234157634,-0.211754988497754,1.02084490037199,-0.281331534178572,2
3,6,4.66889665554986,0.00594479917478462,93.6833119648524,0.0586693510588022,6.09489638989021e-05,0.0742044907688737,0.773898850985876,1.00078977714716,-0.147408234157634,-0.211754988497754,1.02084490037199,-0.281331534178572,2
1,7,4.48787383213038,-0.0443080466491742,95.580197497346,-0.0620423373807853,6.09489638989021e-05,0.0742044907688737,0.773898850985876,1.00078977714716,-0.147408234157634,-0.211754988497754,6.12506940223196,-1.68798920507143,12
2,7,5.01180892833041,-0.000101625755153576,94.2362290079495,-0.139122354037834,6.09489638989021e-05,0.0742044907688737,0.773898850985876,1.00078977714716,-0.147408234157634,-0.211754988497754,6.12506940223196,-1.68798920507143,12
3,7,4.91588563743454,-0.0501416129561922,95.4467368889911,0.231420566374805,6.09489638989021e-05,0.0742044907688737,0.773898850985876,1.00078977714716,-0.147408234157634,-0.211754988497754,6.12506940223196,-1.68798920507143,12
1,8,4.44697210119225,-0.0841751673144025,96.5210354303065,0.0957126395412696,6.09489638989021e-05,0.0742044907688737,0.773898850985876,1.00078977714716,-0.147408234157634,-0.211754988497754,3.57295715130198,-0.984660369625004,7
2,8,4.18536592900977,-0.0374831498956957,94.910572528909,0.0623448613511366,6.09489638989021e-05,0.0742044907688737,0.773898850985876,1.00078977714716,-0.147408234157634,-0.211754988497754,3.57295715130198,-0.984660369625004,7
3,8,3.2969419415057,0.0697264839271165,96.4168615709083,0.148632463801565,6.09489638989021e-05,0.0742044907688737,0.773898850985876,1.00078977714716,-0.147408234157634,-0.211754988497754,3.57295715130198,-0.984660369625004,7
1,9,6.0899575275087,-0.0672110673156785,98.9147957719174,-0.221739714997916,6.09489638989021e-05,0.0742044907688737,0.773898850985876,1.00078977714716,-0.147408234157634,-0.211754988497754,3.06253470111598,-0.843994602535717,6
2,9,6.54090283413036,-0.0812504585021592,97.4099214268199,0.244531381274706,6.09489638989021e-05,0.0742044907688737,0.773898850985876,1.00078977714716,-0.147408234157634,-0.211754988497754,3.06253470111598,-0.843994602535717,6
3,9,6.30900299999405,-0.0798666870883497,95.1322780454379,0.12639750144786,6.09489638989021e-05,0.0742044907688737,0.773898850985876,1.00078977714716,-0.147408234157634,-0.211754988497754,3.06253470111598,-0.843994602535717,6
