rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_b06,eta_b16,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha16,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha26
1,1,2.21740784060566,-0.0194985520041457,0.0507569332477012,0.156370879377126,-0.0768677635419968,-0.00395072770047176,-0.110286195379147,-0.0183543180065772,0.126002903271578,0.067530169272576,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.878455058151015,-0.211332296539813,-0.135944850939459,-0.0773869414511448,-0.0638973886744658,-0.0108968935555191,-0.592908407152625,-0.0684499361231402,0.656567463603046,-0.154299003613569,0,0,0,0,0,0,0,0,0,0,0,0
3,1,1.21726164000135,-0.078595666362406,-0.0516011370675251,0.851782781245005,-0.0896664607869866,-0.00303552346950016,-0.414898237387369,0.0439118838654943,0.680525280522616,0.0722812810015614,0,0,0,0,0,0,0,0,0,0,0,0
1,2,-0.714073483886299,0.106373063168703,-0.0949468512209568,-0.0993361958395071,0.00471588382464549,-0.00985670251177699,1.00902414321272,-0.220622229706184,0.232741226876056,-0.186427576106454,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2.43995802201181,0.0706126024142392,-0.0820185097685978,0.0166548725422804,0.0122328643550036,0.000847533036474806,-0.283138594723646,-0.269588695153097,0.400881071132511,0.070936389486466,0,0,0,0,0,0,0,0,0,0,0,0
3,2,1.71317816743587,-0.113533533393843,-0.00447004220423192,-0.514583433121056,-0.0191243819066482,-0.00384883464941128,0.529033658865191,-0.141951533511991,0.0299339344140783,-0.0437066408455498,0,0,0,0,0,0,0,0,0,0,0,0
1,3,-0.871526654755728,-0.0984536596612128,0.0168020043598599,-1.45220265782719,-0.0421531545444136,0.00644403494766604,-0.723823945907957,-0.0605562569652179,-1.00845201620453,-0.175966884974898,0,0,0,0,0,0,0,0,0,0,0,0
2,3,0.707575014291356,-0.20728090114423,-0.0501098757309318,-0.20620971745125,-0.0470079296489665,-0.00324022838789085,-0.795442994057656,0.161295048844823,-1.51579632427018,0.050677843691855,0,0,0,0,0,0,0,0,0,0,0,0
3,3,-0.636560455304223,-0.0530308083504601,-0.0265666432622682,1.29178141570994,-0.00982129088338102,0.00839854602160143,-0.376712342469474,-0.148053507744328,-1.00481297020569,-0.0931834962854957,0,0,0,0,0,0,0,0,0,0,0,0
1,4,-1.77304455888591,0.0308205011929018,-0.0579840996599951,-1.24550738567203,-0.0795980992333174,-0.00737592148510944,0.547696739584763,0.319598382310879,-0.15343243339951,0.093531300000868,0,0,0,0,0,0,0,0,0,0,0,0
2,4,-2.78060003523024,0.15432921592291,-0.150912250198367,-0.992807027467033,-0.0297252956477019,-0.0114245029624282,0.0304685536638223,0.361462089214864,0.0419432961235042,-0.135254581219844,0,0,0,0,0,0,0,0,0,0,0,0
3,4,-0.267957142131574,-0.170190092456787,-0.0228013396123371,0.168278215875997,-0.0306615901764999,-0.0047657689656564,0.263562829911455,0.241799685693736,-0.203642036841109,-0.0248384712833682,0,0,0,0,0,0,0,0,0,0,0,0
1,5,-2.59487989366016,-0.095358882708793,0.0297481296522819,-0.976775548171145,0.0258891730901105,-0.00865519447715731,-0.182874192677531,-0.04529882557166,1.20166282321234,-0.0184509027857634,0,0,0,0,0,0,0,0,0,0,0,0
2,5,-3.14152846804997,-0.0869435046196756,-0.0396979126244338,-0.55772840522356,0.0271154686346149,-0.00702372361337673,0.0830759004474961,-0.157253965549805,1.28911879286096,0.0330374601216308,0,0,0,0,0,0,0,0,0,0,0,0
3,5,-2.61295216707171,0.187491204045542,-0.0534803842984904,0.456707088812311,0.0413538343510718,0.00611009500820992,0.116057033431451,0.13828709922676,1.05508215780406,-0.0707859505771288,0,0,0,0,0,0,0,0,0,0,0,0
1,6,1.80558517926319,0.0906371288204549,0.0306325618456412,0.637619882412441,-0.0394257831934599,0.00564696544380036,1.01459708997792,0.215297055722797,0.365946510512903,0.0456327383583993,0,0,0,0,0,0,0,0,0,0,0,0
2,6,4.03293110659865,-0.258775158575214,-0.0105169432340089,-0.403617739257288,-0.0300639934430329,-0.00208783282139223,1.1366510470931,0.135512812340232,0.41971652966004,0.0979596390794615,0,0,0,0,0,0,0,0,0,0,0,0
3,6,3.06330203039752,0.134509198257865,-0.0122433373054728,-1.10452923529753,-0.0202798338566117,0.00109109005420522,0.794633873882665,0.17032072704988,0.193565474933295,0.131080720892322,0,0,0,0,0,0,0,0,0,0,0,0
1,7,3.56549375788692,0.067205226727051,-0.0648627229773933,-0.131988299005007,0.00454447171786931,-0.000193666693784344,0.586491312584619,0.25531547597406,0.771447379089354,0.160387887729222,0,0,0,0,0,0,0,0,0,0,0,0
2,7,0.993589542398424,0.11320773314696,-0.0257325799491028,1.82151089576181,-0.0227480779509817,-0.00692069915871719,1.3751019050978,0.00555093661943687,0.0239058832837102,0.0445988408748976,0,0,0,0,0,0,0,0,0,0,0,0
3,7,0.213530360296379,0.153935030844665,-0.099666659220402,1.35337643385446,-0.0177772967165515,-0.00904536369078192,1.51839884495212,0.203288812828062,0.311156979199973,-0.0883509733849961,0,0,0,0,0,0,0,0,0,0,0,0
1,8,1.08391631960628,-0.0232293192076822,-0.0557610961871601,-1.35002023551022,-0.0410087341814487,0.00402099731534983,0.280123058859882,-0.010763012027778,1.06136731033606,0.00938205381118645,0,0,0,0,0,0,0,0,0,0,0,0
2,8,-0.456133488270199,-0.0553902306550435,0.0141229711987964,-0.49053241445268,-0.0159557101987957,-0.0013379046432334,-0.281512822209935,-0.0872806429826202,1.24289098598569,0.116577411907412,0,0,0,0,0,0,0,0,0,0,0,0
3,8,3.65553689522374,-0.142404670007863,-0.00732920198836667,0.577464955674432,-0.0493197308938695,0.00740353611327674,-0.0836189668950151,-0.210221963331494,0.576756615099066,-0.0512346804352077,0,0,0,0,0,0,0,0,0,0,0,0
1,9,0.589329786445953,-0.117129049010867,-0.0573399042355295,-1.72382408118002,-0.0209114589767934,-0.00173467234169629,-0.919337946327417,0.00427775120457177,-0.614637058027767,-0.0684825536688744,0,0,0,0,0,0,0,0,0,0,0,0
2,9,0.589844154853989,-0.0907251947071755,-0.114249881876251,-0.255303844777778,-0.0326871593390532,-0.00166980663578375,-1.22975228870352,0.0358999690898889,-0.416602454145425,-0.0754593010368135,0,0,0,0,0,0,0,0,0,0,0,0
3,9,0.66155770975145,-0.0730259823542121,-0.0131254586560219,0.374598244741842,-0.0271229298784377,-0.00253384850250135,-1.32261320589862,0.0349831739451641,-0.411912710596614,-0.0740792995603215,0,0,0,0,0,0,0,0,0,0,0,0
1,10,1.11231865449435,0.0365016005572375,0.00510727213788352,0.342836630226258,-0.00677998584395656,0.000378778689717654,-0.0765025793456529,-0.260225078238663,0.309815933376482,0.125975507040835,0,0,0,0,0,0,0,0,0,0,0,0
2,10,2.08887588547,-0.0593644836578471,0.0187125459097205,-2.6028315240578,-0.0190645290988032,0.00149345306441676,-1.31543134635883,0.188671874350401,0.297784717889058,0.11474308805455,0,0,0,0,0,0,0,0,0,0,0,0
3,10,2.71401006429971,0.0485763234625681,-0.023873699686197,0.444451448588687,0.0275727991561538,-0.00879867867945718,-0.232201716412021,-0.00410070675385962,-0.16988019612592,0.0573833373531998,0,0,0,0,0,0,0,0,0,0,0,0
1,11,-0.256076273723904,-0.2501788017083,-0.0372590897999358,-0.229291387883572,0.0165046318507018,-0.00911990689217078,0.560013384479919,0.191556064500829,0.372237170266983,-0.0874790480091903,0,0,0,0,0,0,0,0,0,0,0,0
2,11,0.540139904767171,-0.114577307342605,0.0525342265225859,-0.223053241722037,-0.0235992207295821,-0.00727731453893839,-0.0135350991774983,0.213351574326736,0.351471642687157,-0.0902233388479647,0,0,0,0,0,0,0,0,0,0,0,0
3,11,-0.809401819776453,0.0311390344807025,-0.131326616025414,-1.55595279525784,-0.0123227747680277,-0.00764593918349051,0.0971244167815168,0.216983436511642,0.204056144415606,-0.0822472351555733,0,0,0,0,0,0,0,0,0,0,0,0
1,12,0.557845919813961,-0.0456713135385634,-0.00489874973103818,1.30957185825041,-0.0136414361864317,-0.00149842959931378,0.0398158226022343,0.0242027451359588,0.000699148225783652,0.0414516141708041,0,0,0,0,0,0,0,0,0,0,0,0
2,12,0.913969869595763,-0.155667514202511,0.00648373643834026,0.340991654578502,-0.0109128212709892,0.000438404191031193,0.358361217957939,-0.0692868064920054,0.380818352463943,0.0276248920582544,0,0,0,0,0,0,0,0,0,0,0,0
3,12,-0.357495646851693,-0.185803553450171,0.057819742487333,-0.897688308255227,-0.0228126421736539,0.00297409380435122,-0.0566644209892511,-0.0236760955005844,-0.17006377957725,0.0922866863762117,0,0,0,0,0,0,0,0,0,0,0,0
1,13,0.870596561400093,-0.042631513771642,-0.00747422756099567,-1.3170065561683,0.0219583419215139,0.00295564891461612,0.139857309282237,0.148991728368714,-0.471786283258856,0.0305780578376786,0,0,0,0,0,0,0,0,0,0,0,0
2,13,3.3339443320612,-0.0310726678458152,0.0207518042424218,0.931677375015944,0.112985419850283,-0.00868847279096083,1.42763045852163,-0.128641086259598,-0.878822507029157,-0.1699024983391,0,0,0,0,0,0,0,0,0,0,0,0
3,13,2.00493169054411,0.0381235143905696,-0.0411850198778227,-0.196332739486689,-0.00907284702544686,0.0023357270285839,0.228410729413141,0.0794922853051095,-0.618684413202926,0.121872000348886,0,0,0,0,0,0,0,0,0,0,0,0
1,14,-0.309899464373443,0.019573099744559,-0.00314207381948109,0.00668404500292308,0.00894936342859243,-0.00374218268589844,-1.94025570242324,0.112791369134535,-0.421455988125579,-0.0893945174329589,0,0,0,0,0,0,0,0,0,0,0,0
2,14,0.920435927719207,-0.0134463044157228,0.0334497178625007,0.547910834224733,-0.0274897490384891,-0.000525236303171061,-1.43815111554232,0.0324790012990874,-0.285566791873574,-0.19572394448542,0,0,0,0,0,0,0,0,0,0,0,0
3,14,0.96736785305156,-0.130191161607621,0.0663292369603841,0.549345023502576,0.025365630397097,0.00611778318160072,-1.92219923016796,-0.00568866510765742,-0.704900785288146,-0.0206841071727773,0,0,0,0,0,0,0,0,0,0,0,0
1,15,-2.74486251012165,-0.0379382633477896,0.0526584562126119,0.2274639143253,-0.0327567189484848,0.00575995044897669,1.14920390475255,-0.109460501598509,0.038462371786979,-0.014956212221301,0,0,0,0,0,0,0,0,0,0,0,0
2,15,-4.17484309972532,0.0573986951970428,0.0215809238864945,-1.23096603382278,0.00307282790437302,0.00426783761917623,0.635356590868772,0.0440047428687962,-0.546759696107757,-0.0375430521965683,0,0,0,0,0,0,0,0,0,0,0,0
