parameter,value
b01_pop,4.52149913836813
b11_pop,-0.147114658554583
b21_pop,-0.147876178927606
a1_pop,5.90938210215753
b02_pop,7.39924291859466
b12_pop,0.00228367533476475
b03_pop,4.23699550641607
b13_pop,-0.137550227751709
p1_pop,0.0346967648151641
g1_pop,0.149510600606559
p2_pop,0.779290662956877
g2_pop,0.126993097378762
alpha11_pop,0.191366307760449
alpha12_pop,-13.541758569639
alpha13_pop,0.456460694529233
alpha21_pop,-0.120726108741923
alpha22_pop,3.67609322490742
alpha23_pop,-0.209198605156818
omega_b01,1.97671005229978
omega_b11,0.106562564851594
omega_b21,0.0586715109324202
omega_a1,0.845086244175953
omega_b02,0.0412704527333149
omega_b12,0.00505688923412048
omega_b03,0.888290353198773
omega_b13,0.154624910454556
b_1,0.310896911923657
a_2,0.0511904311163325
a_3,0.715378745848822
