"par" "val"
"b01_pop" 4.55059186043752
"b11_pop" -0.143000058890073
"b21_pop" -0.143761309728556
"a1_pop" 6.30626837548695
"b02_pop" 7.39831379612715
"b12_pop" 0.00342298512278586
"b03_pop" 4.31784311858923
"b13_pop" -0.145413017995703
"p1_pop" 0.0229923820250692
"g1_pop" 0.0929292667729162
"p2_pop" 0.771471880770271
"g2_pop" 0.139337917833329
"alpha11_pop" 0.165417839124154
"alpha12_pop" -13.9504013857272
"alpha13_pop" 0.715628116152129
"alpha21_pop" -0.098876245853182
"alpha22_pop" 5.16777264470474
"alpha23_pop" -0.118017977669876
"omega_a1" 0.789481429663428
"omega_b01" 1.97868593300117
"omega_b02" 0.0357145677970874
"omega_b03" 0.909925502500565
"omega_b11" 0.111935927101226
"omega_b12" 0.00479936446178687
"omega_b13" 0.164895095716111
"omega_b21" 0.0678447420207264
"b_1" 0.301338479893088
"a_2" 0.0495774255556976
"a_3" 0.71147451122426
