"par" "val"
"b01_pop" 4.63961684025815
"b11_pop" -0.131242299887653
"b21_pop" -0.133687473908503
"a1_pop" 4.19638192860276
"b02_pop" 7.39842836940712
"b12_pop" 0.00354549945583472
"b03_pop" 4.20354484117952
"b13_pop" -0.153426495122434
"p1_pop" 0.031125848659133
"g1_pop" 0.157111156409585
"p2_pop" 0.7654119478055
"g2_pop" 0.123450427721164
"alpha11_pop" 0.182467879356846
"alpha12_pop" -18.3227859977192
"alpha13_pop" 0.575109713447797
"alpha21_pop" -0.126725426733647
"alpha22_pop" 4.7517085868381
"alpha23_pop" -0.128328753810287
"omega_a1" 0.803547421534187
"omega_b01" 1.90809027733912
"omega_b02" 0.0372597072867349
"omega_b03" 0.910950690641356
"omega_b11" 0.107927203585589
"omega_b12" 0.00487914045457576
"omega_b13" 0.143880835926087
"omega_b21" 0.067440149166228
"b_1" 0.300884435452362
"a_2" 0.0501741728197764
"a_3" 0.683575499441512
