"par" "val"
"b01_pop" 4.68489796922822
"b11_pop" -0.138613340932805
"b21_pop" -0.112529596103662
"a1_pop" 3.79386669615188
"b02_pop" 7.40250350301306
"b12_pop" 0.00298246546356705
"b03_pop" 4.15507469575787
"b13_pop" -0.147936552319682
"p1_pop" 0.0316231071888228
"g1_pop" 0.114609606082444
"p2_pop" 0.771012737759799
"g2_pop" 0.122674291789097
"alpha11_pop" 0.20028284643453
"alpha12_pop" -14.392667388809
"alpha13_pop" 0.618444568869007
"alpha21_pop" -0.0962532973060704
"alpha22_pop" 3.68485113680646
"alpha23_pop" -0.238647918906065
"omega_a1" 1.00000219346853
"omega_b01" 1.9413676953496
"omega_b02" 0.0406220233600299
"omega_b03" 0.876873243069886
"omega_b11" 0.121880853009023
"omega_b12" 0.00639108380097902
"omega_b13" 0.162110956151168
"omega_b21" 0.0456353087810809
"b_1" 0.308120752916112
"a_2" 0.0490160963238788
"a_3" 0.689650955847249
