"par" "val"
"b01_pop" 4.49396633523984
"b11_pop" -0.103292515406377
"b21_pop" -0.106962086762292
"a1_pop" 3.98702968602215
"b02_pop" 7.40855333965182
"b12_pop" 0.00301916663274549
"b03_pop" 4.1562412125443
"b13_pop" -0.157589068692703
"p1_pop" 0.0563989493253275
"g1_pop" 0.0692301590287111
"p2_pop" 0.755370664704784
"g2_pop" 0.123009937233859
"alpha11_pop" 0.161907701025529
"alpha12_pop" -11.9042059662819
"alpha13_pop" 0.476027725449554
"alpha21_pop" -0.0822000409107398
"alpha22_pop" 4.86435265554384
"alpha23_pop" -0.120225958427438
"omega_a1" 1.14429701930957
"omega_b01" 2.0395310519178
"omega_b02" 0.0434882004929319
"omega_b03" 0.770378351659571
"omega_b11" 0.0949801033716119
"omega_b12" 0.00502509801377338
"omega_b13" 0.156314398449211
"omega_b21" 0.0488323304639046
"b_1" 0.316567887255505
"a_2" 0.050525183970124
"a_3" 0.678804038464043
