parameter,value
b03_pop,4.23841
b13_pop,-0.1530225
b06_pop,93.505
b16_pop,0.0107195
h1_pop,6.094896e-05
h2_pop,0.07420449
alpha13_pop,0.7738989
alpha16_pop,1.00079
alpha23_pop,-0.1474082
alpha26_pop,-0.211755
hcov1_pop,0
beta_hcov1_score4C,0.5104225
hcov2_pop,0
beta_hcov2_score4C,-0.1406658
omega_b03,0.9582095
omega_b13,0.167147
omega_b06,3.0164
omega_b16,0.1470505
a_3,0.6934571
a_6,6.06463
