rep,id,eta_b02,eta_b12,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha22
1,1,-0.0465027347577447,0.00334811633027642,0,0,0,0,0,0
2,1,-0.0417113466225336,0.00373629450943265,0,0,0,0,0,0
3,1,0.0191097399310882,-0.000421498974316932,0,0,0,0,0,0
1,2,0.0232434642558541,0.00403680941444311,0,0,0,0,0,0
2,2,0.0701565915964304,0.00295518912926953,0,0,0,0,0,0
3,2,0.0494232481217258,0.00712385867352412,0,0,0,0,0,0
1,3,-0.000258691402720501,0.00461102144148764,0,0,0,0,0,0
2,3,0.072047571449656,7.60826045322614e-05,0,0,0,0,0,0
3,3,0.0193533098086283,0.00544599148265866,0,0,0,0,0,0
1,4,0.0190052829834322,-0.00904596570628653,0,0,0,0,0,0
2,4,0.00198259687454083,-0.00715409794631436,0,0,0,0,0,0
3,4,-0.0654941933722615,0.00237607970687569,0,0,0,0,0,0
1,5,-0.0432816656291068,-0.00189407362864751,0,0,0,0,0,0
2,5,-0.0845331568602674,-0.00230540653823288,0,0,0,0,0,0
3,5,-0.056605141204062,-0.000105750225138404,0,0,0,0,0,0
1,6,-0.0383358941018512,-0.00975773162792954,0,0,0,0,0,0
2,6,-0.0458544366728129,0.00336694143272115,0,0,0,0,0,0
3,6,-0.0175712346891217,-0.00492434323757217,0,0,0,0,0,0
1,7,-0.0475865353777207,-0.0037163160008725,0,0,0,0,0,0
2,7,0.0298609098424265,-0.00456909562306177,0,0,0,0,0,0
3,7,-0.00289973133520594,-0.00890081939013554,0,0,0,0,0,0
1,8,0.0480040472642855,0.000612240408628488,0,0,0,0,0,0
2,8,0.0263890887881768,0.00231325973292656,0,0,0,0,0,0
3,8,0.0587042650864174,-0.0101435490058714,0,0,0,0,0,0
1,9,-0.00950651121735469,-0.00206223280236203,0,0,0,0,0,0
2,9,-0.0389771300446089,-0.000702261613454116,0,0,0,0,0,0
3,9,0.00528273878861985,-0.00546915987868991,0,0,0,0,0,0
1,10,0.0281186174252062,-0.00304263501191106,0,0,0,0,0,0
2,10,0.0381107020915739,-0.00211790377936636,0,0,0,0,0,0
3,10,0.01512427595509,-0.00306503601095781,0,0,0,0,0,0
1,11,0.0173687747577054,-0.00389497783746696,0,0,0,0,0,0
2,11,0.0224628618283989,0.00359190954491801,0,0,0,0,0,0
3,11,-0.0256880221323312,-0.00448062021538253,0,0,0,0,0,0
1,12,-0.0338822299178734,0.00155506715742078,0,0,0,0,0,0
2,12,-0.0434864746311785,-0.00170190147472203,0,0,0,0,0,0
3,12,-0.00997762908077426,-0.0069773733539876,0,0,0,0,0,0
1,13,0.056844976078545,-0.00408122548660383,0,0,0,0,0,0
2,13,0.0412416542708405,-0.00169222569645712,0,0,0,0,0,0
3,13,0.0823036973209952,-0.00624635682407331,0,0,0,0,0,0
1,14,0.00953538348234861,-0.00115929839352896,0,0,0,0,0,0
2,14,0.0183797544710167,-0.00239987693417938,0,0,0,0,0,0
3,14,0.0373683043305295,4.03123831815887e-06,0,0,0,0,0,0
1,15,0.0194636419048733,-0.00371160693417237,0,0,0,0,0,0
2,15,0.0370103805150404,-0.00298170297499488,0,0,0,0,0,0
3,15,0.0328578956808743,0.00128220441254381,0,0,0,0,0,0
1,16,-0.0121953678734323,0.00671265223422787,0,0,0,0,0,0
2,16,0.061098220038156,-7.77048285451436e-05,0,0,0,0,0,0
3,16,0.0426665237192774,0.00183786806498092,0,0,0,0,0,0
1,17,0.0488208640899908,0.00460070453760598,0,0,0,0,0,0
2,17,0.0645998840270083,0.00631875672447922,0,0,0,0,0,0
3,17,0.0302098666800195,0.0123177747129372,0,0,0,0,0,0
1,18,-0.0270783554557648,0.0059757528671395,0,0,0,0,0,0
