parameter,value,se_sa,rse_sa
b01_pop,4.79137461622691,0.145501788799265,3.03674415910823
b11_pop,-0.138551926092445,0.0144028670301766,10.395284595731
b21_pop,-0.141380164128211,0.0102474483404226,7.24815139635123
a1_pop,4.40423609306425,0.823431940863338,18.6963623989202
b02_pop,7.39831931582211,0.00312305936797068,0.0422130923883169
b12_pop,0.00412607639739612,0.000513579687640123,12.4471686458407
b03_pop,4.23187336710669,0.0595113483468875,1.40626486627541
b13_pop,-0.167820345670316,0.0120743572259399,7.19481131903997
p1_pop,0.0231019496202262,0.0138103578786336,59.7800536563475
g1_pop,0.0965201985331626,0.0323049462842636,33.4696227061367
p2_pop,0.777213179570584,0.0242737962063996,3.12318381165527
g2_pop,0.171137547488556,0.0201154218135096,11.7539500294959
alpha11_pop,0.216401135697434,0.0364510289457843,16.8441948459776
alpha12_pop,-14.3287616429502,3.78547004652641,26.4186825132155
alpha13_pop,0.733290136401829,0.141369984525755,19.2788607820966
alpha21_pop,-0.104705530311034,0.0340096653172955,32.4812502417662
alpha22_pop,4.51410048660048,1.65756856210643,36.7197975992495
alpha23_pop,-0.21634442873323,0.0516199179165089,23.8600634269906
omega_b01,2.1373832246901,0.113657605544134,5.31760538920734
omega_b11,0.10398497545339,0.01036291438045,9.96578047479093
omega_b21,0.0490966414587524,0.00722557394458118,14.7170432231125
omega_a1,0.770306977413438,0.147250800750927,19.1158596596607
omega_b02,0.0435825609028461,0.00260778800613203,5.98355845115501
omega_b12,0.00546000481186336,0.000390669146383765,7.15510626538147
omega_b03,0.890231746067419,0.0476639240547265,5.35410293614903
omega_b13,0.147948811492973,0.00934652274563129,6.31740306077094
b_1,0.303291916614939,0.00663752159277806,2.18849274549084
a_2,0.0503204676383647,0.000813946975689225,1.61752665245238
a_3,0.705629736472237,0.0136437964682473,1.93356313701557
