rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_b05,eta_b15,eta_b06,eta_b16,eta_h1,eta_h2,eta_alpha12,eta_alpha13,eta_alpha15,eta_alpha16,eta_alpha22,eta_alpha23,eta_alpha25,eta_alpha26,eta_hcov1,eta_hcov2,score4C
2,30,0.197473667166209,0.250201330623303,1.38795613450653,-0.0955420447553963,-0.229472174471991,0.0194010998769002,-3.11316130129515,0.0109754233338106,0,0,0,0,0,0,0,0,0,0,0,0,12
3,30,0.497602057326442,0.133720895967526,1.24555017281128,-0.0327863275324879,-0.297584851812571,0.0318616341805861,-2.49196273543956,-0.111941112746787,0,0,0,0,0,0,0,0,0,0,0,0,12
1,31,-0.414750577271056,0.0721937612835033,-0.423374944692208,-0.130959147664138,-0.00934441903858296,0.0241052431836296,1.77203406756992,0.155519653523737,0,0,0,0,0,0,0,0,0,0,0,0,2
2,31,-0.604237040954751,0.0450105027114941,0.152365191292127,-0.00329546357027341,0.0394233380316935,0.00930970262427723,2.84125136982303,-0.0155726427094313,0,0,0,0,0,0,0,0,0,0,0,0,2
3,31,-0.762709385287708,-0.0840622839337441,-1.0121375878121,0.0804287552970011,0.181021355567337,-0.0133280894288859,-0.634666206857275,-0.0306844250699318,0,0,0,0,0,0,0,0,0,0,0,0,2
1,32,1.20397740482875,0.0958339957801064,-1.08184988961457,0.142976313019675,-0.1846700598694,0.0157315405739824,-4.13245430045197,0.152258185942738,0,0,0,0,0,0,0,0,0,0,0,0,12
2,32,1.20515284205634,-0.165706179476965,-1.1745732561562,0.291695244394316,-0.453865828953482,0.0262748317485172,-5.76494662406688,-0.136961545109687,0,0,0,0,0,0,0,0,0,0,0,0,12
3,32,1.24081352520542,0.13676225655986,-0.519867209892332,-0.0169732611276628,-0.059538413908701,-0.0123805922575473,-3.77375494358594,-0.0569967089274729,0,0,0,0,0,0,0,0,0,0,0,0,12
1,33,-0.136520097542795,-0.0244783640050368,0.126115140446655,-0.0268543813998154,-0.0432089159095144,0.0232474173483634,2.22525714099942,-0.0114532676823062,0,0,0,0,0,0,0,0,0,0,0,0,8
2,33,0.110428535520717,0.106398383077164,-0.201499745127053,-0.00945454617952463,0.285776183594466,-0.00555463493261589,-1.49897687121438,0.065348938167065,0,0,0,0,0,0,0,0,0,0,0,0,8
3,33,0.092502530254162,0.0864283409104864,-0.338851232892575,-0.0169538246541399,0.076833566295103,0.0110607590887743,1.43656873203254,0.0430019450435189,0,0,0,0,0,0,0,0,0,0,0,0,8
1,34,-0.777097455695852,-0.0232939376131753,2.20944747472803,0.0981779761934265,-0.0983259284937157,-0.0114049132853237,1.19276498444063,-0.0351496750607025,0,0,0,0,0,0,0,0,0,0,0,0,5
2,34,-2.02765844820768,0.0604784861317238,1.91006614766765,0.128463655280735,-0.366840031403869,-0.0254778883203034,0.572137363817163,-0.00963297374484146,0,0,0,0,0,0,0,0,0,0,0,0,5
3,34,-0.826751072384826,0.0636703577338416,1.13804503419245,0.223162234618672,-0.249627862861318,-0.00906031254202877,0.854138762158627,-0.0803110943206999,0,0,0,0,0,0,0,0,0,0,0,0,5
1,35,-1.15983739238358,0.122808098396233,1.39901487610166,0.1626652289853,0.0502319471555355,-0.0160503199833711,-1.57083217960015,0.0684872186604751,0,0,0,0,0,0,0,0,0,0,0,0,5
2,35,0.0901888970973976,0.055068772181663,0.558794241541335,0.198832741263515,-0.258049920525259,-0.0052853914192326,-0.881070641888229,0.0582344393016269,0,0,0,0,0,0,0,0,0,0,0,0,5
3,35,-0.355022272656644,0.0312344681239728,1.37685896814787,0.187357442606885,-0.350560504503311,-0.00938077538182696,-0.291797923568836,0.102874481085051,0,0,0,0,0,0,0,0,0,0,0,0,5
1,36,-0.638310514614999,0.206777545907193,0.69241023583212,0.415741485619273,0.134099159786449,-0.0153396982918074,2.94488624540647,0.102081930697424,0,0,0,0,0,0,0,0,0,0,0,0,4
2,36,0.110806985872039,0.0963557395627894,0.42882532345292,0.430917838105326,0.364005041508926,-0.0201706009042546,1.21225095978301,0.0759914935875108,0,0,0,0,0,0,0,0,0,0,0,0,4
3,36,-0.63539992828244,0.0868266316085225,0.447896981608435,0.427868202113594,-0.101516283560458,-0.0113626605248815,2.86333812116607,-0.09612446821219,0,0,0,0,0,0,0,0,0,0,0,0,4
1,37,1.48299948258805,-0.0303470491660701,-1.37850498977074,0.230770987923577,0.00138684239216236,-0.00729804771424387,3.28494107135955,-0.0374235927791507,0,0,0,0,0,0,0,0,0,0,0,0,4
2,37,1.31045773730595,-0.0623878391500977,-0.0472794944030888,0.172673587407359,-0.188550284485646,0.00630761336304599,1.71598450926315,0.0341573424521468,0,0,0,0,0,0,0,0,0,0,0,0,4
3,37,1.25535384636083,-0.0356909088473692,-0.759346624675299,0.206826389641412,-0.0384817078016209,0.00592381602696682,0.702682859448288,0.108394483482362,0,0,0,0,0,0,0,0,0,0,0,0,4
1,38,0.126612491435949,-0.0162008139231742,0.902538696045729,-0.0857583845820335,-0.40389132421031,0.00728427879941959,1.29585658560374,0.0104416409080772,0,0,0,0,0,0,0,0,0,0,0,0,5
2,38,-1.00830729904846,-0.0770933748143471,0.442266183577912,0.110164220671789,0.225800152361412,-0.0175877181003882,3.13441297786335,-0.0245989717603023,0,0,0,0,0,0,0,0,0,0,0,0,5
3,38,-0.424230156367141,0.0990864281210159,0.818992263324791,0.0139979567268237,-0.210856745831032,-0.0324925588295408,-1.36950546758072,0.0212909299128536,0,0,0,0,0,0,0,0,0,0,0,0,5
1,39,-1.1181566494064,0.0523840315230665,0.276001219099644,0.174062810837476,-0.0458909214826839,-0.0144015975247912,-2.20537157692374,0.034433704924518,0,0,0,0,0,0,0,0,0,0,0,0,3
2,39,-1.0441049774906,0.00293030641392595,-0.415634356580761,0.225547635448382,-0.0816444246992827,-0.00426819171241282,-0.0688776561638065,-0.0360145239527497,0,0,0,0,0,0,0,0,0,0,0,0,3
3,39,1.57299507006159,-0.0712355737154542,0.174444723750028,0.183446315000936,-0.00739208657807922,-0.000238764856152478,0.555612569773913,0.102053812198863,0,0,0,0,0,0,0,0,0,0,0,0,3
1,40,-0.62306974106269,0.0476702599451887,0.0563969778124873,0.0337433041146213,0.0543436132469894,0.0112002936781075,0.761053368711686,0.0351438860244965,0,0,0,0,0,0,0,0,0,0,0,0,5
2,40,1.25044070233327,-0.0644996109223703,-1.29775860194659,-0.109371561143715,-0.156368474713693,-0.00181134184865017,2.95109459389275,0.0345388901706751,0,0,0,0,0,0,0,0,0,0,0,0,5
3,40,1.95102774881861,-0.160268561840165,-0.385772754284848,-0.0650309920717662,-0.146153602365366,-0.0305916492694907,0.302408393435613,0.0840915588884071,0,0,0,0,0,0,0,0,0,0,0,0,5
1,41,1.02819269175287,-0.161111699300543,0.643328314320599,-0.0076207907344383,0.0567077467083781,0.0151085730347674,1.0901566429078,-0.0429743497481489,0,0,0,0,0,0,0,0,0,0,0,0,1
2,41,0.458198590121331,-0.0895501454365881,-0.0132846382985123,0.00593402374287916,0.227295090430598,0.0102932432386439,-2.59659789661788,-0.00789583783358681,0,0,0,0,0,0,0,0,0,0,0,0,1
3,41,-0.234552600986499,-0.013346763064824,0.149452598248183,-0.0185711228038833,0.201019935146051,-0.00640334389118227,1.20371308724245,0.0366308051752996,0,0,0,0,0,0,0,0,0,0,0,0,1
1,42,0.753286384806234,0.247219606850786,-0.0532291084436887,0.0517215037253136,0.00765332330754021,0.0236556697279807,-3.14907610235291,-0.0128343344398169,0,0,0,0,0,0,0,0,0,0,0,0,8
2,42,0.624099400770683,-0.0992615787692311,0.245571682843817,0.165458071535257,-0.0183019808903939,0.012629010088717,-2.59123901383093,-0.107784038343851,0,0,0,0,0,0,0,0,0,0,0,0,8
3,42,1.12232979821015,0.207161730658862,0.423501934697428,0.0973935368999719,-0.0233228009682378,-0.00691297337826911,0.140872668583484,-0.0518416009725714,0,0,0,0,0,0,0,0,0,0,0,0,8
1,43,-1.95058210520529,-0.131899749120581,-0.270936603171653,-0.234021806912329,-0.21398240539256,-0.00588277079737201,-0.283734876220834,0.0704077387537616,0,0,0,0,0,0,0,0,0,0,0,0,7
2,43,-2.77319356340011,-0.19612448035146,-0.706555138766129,0.0254364587530654,0.0100663916402208,0.0250052590691684,0.195427218328177,0.048536816318277,0,0,0,0,0,0,0,0,0,0,0,0,7
3,43,-3.16135843954464,-0.162683454516691,-0.70773782041638,-0.0349506560049135,-0.104871372953836,-0.00148712489816187,-0.740311646978455,0.0483474467010005,0,0,0,0,0,0,0,0,0,0,0,0,7
1,44,0.367949831967373,-0.0858693781118794,-0.469584739379941,-0.151559475720015,-0.0751288594736197,0.0130383927383695,2.30852262757061,-0.0466640780443348,0,0,0,0,0,0,0,0,0,0,0,0,7
2,44,-0.0675293671520709,-0.00289048599756343,-0.516540440444739,-0.0866695705959941,0.126998193411804,0.00385436623228869,1.82775916741667,0.14682391195189,0,0,0,0,0,0,0,0,0,0,0,0,7
3,44,0.563766825110713,-0.00745184792511488,-0.467501611905625,-0.111101568114503,0.28476623913418,-0.0180882953523387,1.00372166487519,-0.119499197057135,0,0,0,0,0,0,0,0,0,0,0,0,7
1,45,0.413582097573501,0.169578253672141,0.568022120216363,-0.118507921151591,-0.0417070244577351,-0.0291598629254433,-1.24136505253452,-0.00270222736960186,0,0,0,0,0,0,0,0,0,0,0,0,5
2,45,1.93618716797744,0.0130594025996337,0.256417874935587,-0.200482924420609,-0.130354543155788,-0.0157128550173106,2.78784860376292,-0.0148189988016249,0,0,0,0,0,0,0,0,0,0,0,0,5
