id,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b05_SAEM,eta_b15_SAEM,eta_b06_SAEM,eta_b16_SAEM,eta_h1_SAEM,eta_h2_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha15_SAEM,eta_alpha16_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha25_SAEM,eta_alpha26_SAEM,eta_hcov1_SAEM,eta_hcov2_SAEM,score4C
83,0.0822793,0.12779,-0.886445,0.00996369,0.123583,0.00343856,-0.0559552,0.00581602,0,0,0,0,0,0,0,0,0,0,0,0,13
84,0.967742,0.0881468,1.90875,-0.000576426,0.0652115,0.00400433,-0.876792,-0.0213646,0,0,0,0,0,0,0,0,0,0,0,0,7
85,0.159278,-0.0552185,0.594006,-0.0540067,0.0444172,-0.000518692,1.6369,0.027731,0,0,0,0,0,0,0,0,0,0,0,0,9
86,-0.333595,-0.0235088,0.190351,0.0656907,0.142975,-0.00137289,-0.662224,-0.010131,0,0,0,0,0,0,0,0,0,0,0,0,2
87,-1.40595,-0.0149265,-0.132821,-0.0307333,-0.00210718,-0.00154174,1.17413,0.00763286,0,0,0,0,0,0,0,0,0,0,0,0,5
88,-0.816676,-0.0425722,-0.640964,0.427114,0.0719298,0.00270846,0.0206818,0.0237679,0,0,0,0,0,0,0,0,0,0,0,0,9
89,-0.26808,0.0155977,0.100309,0.101462,0.0639407,0.00390205,-0.355048,-0.0173508,0,0,0,0,0,0,0,0,0,0,0,0,11
90,0.161702,0.06088,0.254529,0.360263,0.0846611,0.000884472,-1.23627,-0.030448,0,0,0,0,0,0,0,0,0,0,0,0,2
91,1.12554,0.0951808,0.11542,-0.188053,-0.0701447,0.0222098,-1.76595,0.0145924,0,0,0,0,0,0,0,0,0,0,0,0,6
92,1.92105,0.00754446,0.575533,0.145016,-0.113977,-0.00666674,0.283629,0.0174498,0,0,0,0,0,0,0,0,0,0,0,0,9
93,-1.34661,-0.0528004,0.640239,7.74938e-05,-0.0869111,-0.00310652,0.255295,0.00429497,0,0,0,0,0,0,0,0,0,0,0,0,7
94,-1.07314,-0.0287092,-0.831743,-0.236866,0.0932539,-0.0050824,-0.204302,0.0100902,0,0,0,0,0,0,0,0,0,0,0,0,8
95,-0.710038,-0.0990533,0.118462,0.249391,0.0944823,-0.00657162,0.732761,0.0121379,0,0,0,0,0,0,0,0,0,0,0,0,3
96,0.115623,-0.0291696,-0.417013,0.0874199,-0.0562062,-0.00675359,0.193051,0.0159008,0,0,0,0,0,0,0,0,0,0,0,0,7
97,-2.3157,-0.0243093,-0.841463,0.146668,0.307041,-0.00105738,-0.717601,0.00217938,0,0,0,0,0,0,0,0,0,0,0,0,4
98,0.267946,0.0488756,0.470356,0.0330454,-0.000445023,-0.000266417,-1.12157,0.0269388,0,0,0,0,0,0,0,0,0,0,0,0,1
99,-0.832732,-0.0236469,0.0869306,0.0672594,0.182335,-0.001435,1.3012,0.0170787,0,0,0,0,0,0,0,0,0,0,0,0,6
100,1.19634,-0.0328131,-1.09804,0.130119,0.0762648,-0.00702609,0.741974,0.0245238,0,0,0,0,0,0,0,0,0,0,0,0,1
101,-0.00592567,-0.0161788,-1.60429,0.0231454,0.25459,-0.00363168,0.101652,0.00645996,0,0,0,0,0,0,0,0,0,0,0,0,9
102,0.0786334,-0.00573677,1.10829,0.287677,0.0357391,-0.003756,0.688143,0.0184939,0,0,0,0,0,0,0,0,0,0,0,0,2
103,-1.61542,-0.0166304,0.128977,-0.0187024,0.313153,0.000336132,1.67482,0.00972986,0,0,0,0,0,0,0,0,0,0,0,0,7
104,-0.0850851,-0.0369882,0.501648,0.0879153,-0.0183752,-0.00469663,0.948663,0.0178211,0,0,0,0,0,0,0,0,0,0,0,0,7
105,-0.637886,-0.0159124,-0.493357,-0.0463217,-0.106377,-0.00439111,1.67655,0.00546625,0,0,0,0,0,0,0,0,0,0,0,0,10
106,0.712541,-0.109366,-0.0592685,-0.123991,0.144358,-0.00100622,0.930216,0.0162768,0,0,0,0,0,0,0,0,0,0,0,0,12
107,0.293425,0.00929415,0.591189,-0.263398,0.137345,-0.000725058,-0.464482,0.000312989,0,0,0,0,0,0,0,0,0,0,0,0,5
108,-0.731701,-0.0102075,-1.26546,-0.0130172,-0.219522,0.00190392,1.47258,0.00627757,0,0,0,0,0,0,0,0,0,0,0,0,10
109,1.37786,0.0476633,-0.235924,0.100901,0.0527837,0.00441509,-2.63709,-0.0266594,0,0,0,0,0,0,0,0,0,0,0,0,6
110,-0.837091,-0.0193394,-0.265612,-0.0712147,0.00777731,0.000381106,1.21218,0.00922364,0,0,0,0,0,0,0,0,0,0,0,0,5
111,0.0850568,-0.0218151,0.690344,0.0379022,-0.106038,-0.00354585,0.722515,0.00658853,0,0,0,0,0,0,0,0,0,0,0,0,5
112,0.778052,-0.0101992,-0.0576647,-0.235355,0.152229,-0.00531793,0.932651,0.0084851,0,0,0,0,0,0,0,0,0,0,0,0,8
113,-0.678023,-0.0124783,-0.0789157,-0.0295589,-0.193668,-0.00270553,1.28729,0.0082057,0,0,0,0,0,0,0,0,0,0,0,0,8
114,-1.17419,-0.0261991,-0.55951,-0.0998916,-0.132018,-0.00167412,-3.12977,0.00546067,0,0,0,0,0,0,0,0,0,0,0,0,1
115,0.493998,0.0307109,-0.289417,-0.0850925,0.120098,0.015372,-0.412265,-0.0428558,0,0,0,0,0,0,0,0,0,0,0,0,5
116,-0.333583,-0.0186919,0.806001,-0.0312759,-0.0999085,-0.00101904,-0.170665,0.00537432,0,0,0,0,0,0,0,0,0,0,0,0,2
117,-0.21323,-0.0294381,-0.64864,-0.147519,0.065463,-0.00404253,-0.703834,-0.00227421,0,0,0,0,0,0,0,0,0,0,0,0,3
118,-0.705813,-0.0133662,0.277061,-0.0167089,-0.223553,-0.00181086,1.15548,0.00232079,0,0,0,0,0,0,0,0,0,0,0,0,8
119,0.205624,-0.0242467,1.01775,0.0412981,-0.145207,-0.00425448,0.519139,0.0169,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0.248399,-0.0438052,-0.597077,-0.0605054,0.0992974,-0.00275854,-2.3694,0.012579,0,0,0,0,0,0,0,0,0,0,0,0,3
121,0.0626287,-0.0205394,-1.09769,-0.190536,-0.00598034,-0.00348602,0.993214,0.00992107,0,0,0,0,0,0,0,0,0,0,0,0,10
122,-0.800643,-0.00648042,0.496918,0.197673,0.0812884,0.00185009,0.208137,0.0302063,0,0,0,0,0,0,0,0,0,0,0,0,2
123,0.509242,-0.0222238,-1.52412,0.0847559,0.0511527,-0.00207731,-0.241244,-0.000882188,0,0,0,0,0,0,0,0,0,0,0,0,4
124,-0.389891,-0.0104026,0.675813,-0.226391,-0.131158,-0.00454916,0.567428,0.0104754,0,0,0,0,0,0,0,0,0,0,0,0,4
125,-0.851436,-0.0132483,-0.186724,0.00545312,-0.140517,0.00045096,1.32309,0.00784259,0,0,0,0,0,0,0,0,0,0,0,0,10
126,-0.72931,-0.00111836,-1.57461,-0.0120716,-0.165738,-0.00168042,1.53508,-0.00227565,0,0,0,0,0,0,0,0,0,0,0,0,8
127,-0.359053,-0.0128844,-0.490687,-0.142572,-0.0517978,-0.00287517,0.0833191,0.0125118,0,0,0,0,0,0,0,0,0,0,0,0,4
128,0.917852,0.0812091,0.637798,0.24993,-0.0432628,0.00172916,1.24815,0.00128365,0,0,0,0,0,0,0,0,0,0,0,0,6
129,-0.835596,-0.0321084,-0.0636856,0.0360124,-0.057987,-0.00423181,0.386271,0.0084336,0,0,0,0,0,0,0,0,0,0,0,0,1
130,-1.05247,-0.0967366,-0.364722,-0.23549,0.183759,0.00111282,0.140265,0.0109715,0,0,0,0,0,0,0,0,0,0,0,0,5
131,-0.571191,-0.0158123,0.888739,-0.0637217,-0.237219,-0.00297991,1.16068,0.00917014,0,0,0,0,0,0,0,0,0,0,0,0,5
132,0.132688,-0.00951086,0.268618,-0.0144021,0.039411,-0.00286156,-0.0856436,0.00366212,0,0,0,0,0,0,0,0,0,0,0,0,5
133,-0.731216,-0.0517054,-1.63336,-0.138356,-0.0579992,-0.00553843,-3.61611,-0.0294993,0,0,0,0,0,0,0,0,0,0,0,0,13
134,-0.157167,-0.0188775,1.80686,-0.0674126,-0.0905351,-0.00771399,0.69147,0.024094,0,0,0,0,0,0,0,0,0,0,0,0,12
135,0.688545,0.00414729,0.600921,-0.27129,0.46585,0.00851475,-1.0403,-0.00713044,0,0,0,0,0,0,0,0,0,0,0,0,5
136,0.965634,0.012497,0.642888,-0.076933,-0.347047,-0.00420001,1.58109,0.00989681,0,0,0,0,0,0,0,0,0,0,0,0,7
137,-0.347613,0.0394383,-0.212112,0.303062,-0.137689,0.00671085,-0.315928,-0.0479921,0,0,0,0,0,0,0,0,0,0,0,0,3
138,-0.775636,-0.0180055,0.567894,-0.041237,-0.22902,-0.00174582,1.50396,-0.00657254,0,0,0,0,0,0,0,0,0,0,0,0,6
139,0.544593,0.0316825,0.160106,0.0072567,0.0348001,-0.00332747,0.439102,0.0175338,0,0,0,0,0,0,0,0,0,0,0,0,2
140,-0.594031,-0.0131355,0.145114,-0.00567919,-0.186901,-0.00142606,0.950619,-0.0032966,0,0,0,0,0,0,0,0,0,0,0,0,4
141,0.784701,-0.0179213,-1.43149,-0.145559,-0.035663,-0.00382581,0.535683,0.0014109,0,0,0,0,0,0,0,0,0,0,0,0,5
142,1.40869,-0.0105407,-0.0459919,-0.13702,-0.144333,-0.00636313,1.05521,0.0214142,0,0,0,0,0,0,0,0,0,0,0,0,8
143,0.696295,0.0248005,0.545407,-0.0524458,-0.0912604,-0.000774059,-1.39219,-0.0419011,0,0,0,0,0,0,0,0,0,0,0,0,12
144,0.281529,-0.0037198,0.17017,-0.0991244,-0.100268,-0.00325204,0.398727,0.0117155,0,0,0,0,0,0,0,0,0,0,0,0,7
145,0.277208,0.0145469,0.0532163,0.13444,0.136273,0.00485412,0.332723,-0.000303879,0,0,0,0,0,0,0,0,0,0,0,0,13
146,-0.45657,0.0795581,-1.05415,0.385703,0.0957436,-0.000495311,-0.865911,0.0579276,0,0,0,0,0,0,0,0,0,0,0,0,8
147,-0.684543,0.0669863,-0.1731,0.0123522,0.135703,0.0116183,-1.09913,-0.014836,0,0,0,0,0,0,0,0,0,0,0,0,3
148,1.15087,0.0610967,0.372578,0.128275,0.194196,0.000765274,-1.94927,-0.030094,0,0,0,0,0,0,0,0,0,0,0,0,8
149,-0.788915,0.00477194,1.40183,0.213166,0.0806982,0.00476881,0.686352,0.00174686,0,0,0,0,0,0,0,0,0,0,0,0,12
150,-1.70971,-0.00900441,-1.51058,-0.00614155,-0.129142,0.000646453,0.401959,0.00490987,0,0,0,0,0,0,0,0,0,0,0,0,1
151,1.42652,-0.0792922,-0.458229,0.186762,0.107385,0.0197366,-1.26483,-0.0176776,0,0,0,0,0,0,0,0,0,0,0,0,2
152,0.407966,-0.000189402,-1.26587,-0.214944,-0.179912,-0.0040264,-0.239676,0.00487857,0,0,0,0,0,0,0,0,0,0,0,0,3
153,-0.86635,-0.0227355,-0.603188,-0.24372,0.0196112,-0.00279645,-2.50769,-0.00418182,0,0,0,0,0,0,0,0,0,0,0,0,4
154,1.88349,-0.038092,0.941638,-0.342029,-0.0409842,-0.00708862,0.791197,0.00504655,0,0,0,0,0,0,0,0,0,0,0,0,2
155,-1.25312,-0.0102353,-0.0790444,-0.054074,-0.147306,-0.00116208,0.823873,0.0036391,0,0,0,0,0,0,0,0,0,0,0,0,6
156,-0.888587,-0.023011,1.03325,-0.0195518,-0.213989,-0.000877413,1.54904,0.00373234,0,0,0,0,0,0,0,0,0,0,0,0,7
157,0.702972,-0.0438753,0.689091,-0.156096,0.154151,0.000813069,-0.875936,0.000331272,0,0,0,0,0,0,0,0,0,0,0,0,8
158,-0.157968,-0.0633823,0.242066,0.383413,0.186212,0.00542756,-1.60269,0.0360158,0,0,0,0,0,0,0,0,0,0,0,0,3
159,0.291149,0.128346,-0.673175,0.16554,0.530597,0.00883274,-0.979748,-0.0489408,0,0,0,0,0,0,0,0,0,0,0,0,10
160,0.845088,0.0485255,2.22008,0.176156,0.125281,0.0109736,0.676908,-0.000646921,0,0,0,0,0,0,0,0,0,0,0,0,2
161,0.645936,0.0315472,-0.0229372,-0.196043,-0.144668,-0.00701821,-1.78004,0.0191729,0,0,0,0,0,0,0,0,0,0,0,0,1
162,0.584609,0.0811977,0.00360846,0.0315909,0.0381007,0.00747411,-2.57123,-0.041281,0,0,0,0,0,0,0,0,0,0,0,0,7
163,-0.955294,0.0151299,-0.425216,0.149086,0.0906648,0.00420104,0.443244,-0.0185081,0,0,0,0,0,0,0,0,0,0,0,0,8
164,1.13882,0.0417713,0.649046,0.0903066,0.00731211,0.0041887,-2.34301,-0.024544,0,0,0,0,0,0,0,0,0,0,0,0,8
165,0.569205,0.102432,0.827572,0.15421,-0.186254,-0.0111789,0.750958,0.0337565,0,0,0,0,0,0,0,0,0,0,0,0,10
166,-0.823262,-0.161901,1.06926,-0.0781828,0.288082,0.00413898,1.96729,0.0150544,0,0,0,0,0,0,0,0,0,0,0,0,5
167,0.305049,-0.0258989,-0.113089,0.0110837,-0.304998,-0.00558359,0.636398,0.0075016,0,0,0,0,0,0,0,0,0,0,0,0,8
168,-0.711443,0.0132659,2.48659,-0.0630995,-0.0343677,-0.00781902,-0.186236,0.0176266,0,0,0,0,0,0,0,0,0,0,0,0,1
169,0.876806,0.0234238,1.47827,0.0574014,0.105878,0.00271059,-2.2214,-0.0193366,0,0,0,0,0,0,0,0,0,0,0,0,12
170,-0.185927,-0.056276,0.994157,0.0515907,-0.00375074,-0.00730843,0.968182,0.017834,0,0,0,0,0,0,0,0,0,0,0,0,11
171,1.23617,0.041692,0.677089,0.0854675,0.010066,0.00213654,-2.29359,-0.0178998,0,0,0,0,0,0,0,0,0,0,0,0,13
