rep,id,eta_b0,eta_b1,eta_h1,eta_h2,eta_alpha1,eta_alpha2,eta_hcov1,eta_hcov2,score4C
1,1,2.96618629960085,0.322405141137293,0,0,0,0,0,0,11
2,1,2.00754377599958,0.151030433816227,0,0,0,0,0,0,11
3,1,1.07038521085315,-0.097658244571018,0,0,0,0,0,0,11
4,1,1.71903227586233,0.132944474800662,0,0,0,0,0,0,11
5,1,-1.05247024394964,0.226569643999455,0,0,0,0,0,0,11
6,1,-1.3711348171523,-0.13331259459287,0,0,0,0,0,0,11
7,1,-0.562732873887001,-0.118884022697385,0,0,0,0,0,0,11
8,1,-0.978692304914503,0.345454158350534,0,0,0,0,0,0,11
9,1,3.4959799319565,0.0812169125560559,0,0,0,0,0,0,11
10,1,2.26013960449696,-0.273713161040227,0,0,0,0,0,0,11
1,2,-1.42520820073864,0.45494317247158,0,0,0,0,0,0,5
2,2,0.275038219517157,-0.237539594659734,0,0,0,0,0,0,5
3,2,1.10405348769474,-0.214514791497842,0,0,0,0,0,0,5
4,2,2.11350968060476,-0.000230309020400443,0,0,0,0,0,0,5
5,2,-0.0999596686047681,0.409966493272216,0,0,0,0,0,0,5
6,2,2.63474732474489,0.125370220333945,0,0,0,0,0,0,5
7,2,-0.366201335548482,-0.220189552817978,0,0,0,0,0,0,5
8,2,1.8583592228679,0.114474556372456,0,0,0,0,0,0,5
9,2,-4.62182479201628,-0.184515455053195,0,0,0,0,0,0,5
10,2,4.56380485966406,0.023943129648297,0,0,0,0,0,0,5
1,3,-2.64873690899586,-0.188093050665975,0,0,0,0,0,0,6
2,3,0.321307677408569,0.00690976658348053,0,0,0,0,0,0,6
3,3,0.879577923166963,0.472214621929032,0,0,0,0,0,0,6
4,3,-1.15458171530177,0.23060897460979,0,0,0,0,0,0,6
5,3,1.7698381357782,0.219258759977087,0,0,0,0,0,0,6
6,3,0.333679977435878,-0.104075454951441,0,0,0,0,0,0,6
7,3,0.19632055549387,0.400475512938928,0,0,0,0,0,0,6
8,3,-0.356304535664975,0.00215058941675164,0,0,0,0,0,0,6
9,3,0.0262277384154004,-0.125787051684878,0,0,0,0,0,0,6
10,3,1.10500002588506,0.272028862224895,0,0,0,0,0,0,6
1,4,3.37707154559652,0.321721801255928,0,0,0,0,0,0,8
2,4,4.09138792714056,-0.0386512052126573,0,0,0,0,0,0,8
3,4,-6.23638671902221,-0.430632187445781,0,0,0,0,0,0,8
4,4,-4.31601617508719,-0.115183791978245,0,0,0,0,0,0,8
5,4,-2.44389164267014,-0.447095368750534,0,0,0,0,0,0,8
6,4,-0.545011337691662,0.394239016099694,0,0,0,0,0,0,8
7,4,-0.384812958669102,-0.129298920691703,0,0,0,0,0,0,8
8,4,3.31857259497103,-0.422212320255404,0,0,0,0,0,0,8
9,4,-4.34247055766072,0.247630450675179,0,0,0,0,0,0,8
10,4,-4.21698446785012,-0.374538108739494,0,0,0,0,0,0,8
1,5,-1.82230826496131,0.1665925827497,0,0,0,0,0,0,3
2,5,-3.66856754577131,0.183289931802155,0,0,0,0,0,0,3
3,5,-0.209762176162172,0.0183336269186188,0,0,0,0,0,0,3
4,5,-6.36556521827765,0.352460275333531,0,0,0,0,0,0,3
5,5,-1.34384459971088,0.0812365224226843,0,0,0,0,0,0,3
6,5,-2.96401239813238,0.0727414420441369,0,0,0,0,0,0,3
7,5,-5.13653698519913,0.320292475664359,0,0,0,0,0,0,3
8,5,-3.3076183456441,0.115651118190865,0,0,0,0,0,0,3
9,5,0.503927323817877,-0.0663167508925736,0,0,0,0,0,0,3
10,5,-2.79999458078662,0.176801847352642,0,0,0,0,0,0,3
1,6,1.24850034239589,-0.0177652105802023,0,0,0,0,0,0,2
2,6,3.26015195340284,-0.312424609580688,0,0,0,0,0,0,2
3,6,-2.48909044500026,0.0801762186193458,0,0,0,0,0,0,2
4,6,0.489235237081346,-0.115818913388387,0,0,0,0,0,0,2
5,6,-6.3477910006432,-0.164941023616751,0,0,0,0,0,0,2
6,6,-1.20029086595633,-0.292068690706056,0,0,0,0,0,0,2
7,6,0.368528567033451,-0.25079742435039,0,0,0,0,0,0,2
8,6,-0.0906936650297467,-0.0288563029438274,0,0,0,0,0,0,2
9,6,-4.51429182608541,-0.251192032464948,0,0,0,0,0,0,2
10,6,-0.892322137955048,0.00704442722754969,0,0,0,0,0,0,2
1,7,-1.56562923899129,0.127180327029023,0,0,0,0,0,0,12
2,7,-1.2679529793014,-0.0461304151711315,0,0,0,0,0,0,12
3,7,-0.888523470986783,0.0304651465737303,0,0,0,0,0,0,12
