rep,id,b02,b12,b03,b13,b07,b17,p1,g1,p2,g2,alpha12,alpha13,alpha17,alpha22,alpha23,alpha27,eta_b02,eta_b12,eta_b03,eta_b13,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha13,eta_alpha17,eta_alpha22,eta_alpha23,eta_alpha27
1,1,7.34287252142813,0.00144866795503261,4.86661297617397,0.026748375362361,309.64663810496,-0.368532325660012,0.0219649620300574,0.169852753974697,0.768846284465412,0.112882031528807,-17.0549864086911,0.70822019238744,-0.00149270891264885,4.05429702777288e-15,-0.221624784325025,0.00167431439450337,-0.0564241779359378,-0.00120886071605718,0.65194404201831,0.177751886276787,-40.035426413806,4.70225522080643,0,0,0,0,0,0,0,0,0,0
2,1,7.3696787343247,0.00498232454044037,5.26897385932568,-0.222580240537265,342.474949376584,-3.91508259229722,0.0219649620300574,0.169852753974697,0.768846284465412,0.112882031528807,-17.0549864086911,0.70822019238744,-0.00149270891264885,4.05429702777288e-15,-0.221624784325025,0.00167431439450337,-0.0296179650393702,0.00232479586935058,1.05430492517002,-0.0715767296228388,-7.20711514218209,1.15570495416923,0,0,0,0,0,0,0,0,0,0
3,1,7.37318597447262,0.00247464076776998,5.5213123442856,-0.034391425452779,364.593825702296,1.89774329464984,0.0219649620300574,0.169852753974697,0.768846284465412,0.112882031528807,-17.0549864086911,0.70822019238744,-0.00149270891264885,4.05429702777288e-15,-0.221624784325025,0.00167431439450337,-0.0261107248914492,-0.000182887903319808,1.30664341012994,0.116612085461647,14.9117611835301,6.96853084111629,0,0,0,0,0,0,0,0,0,0
1,2,7.42518736557448,0.00336222811331092,4.9962527497548,-0.29014457525759,335.823571001812,-5.3405298052976,0.0219649620300574,0.169852753974697,0.768846284465412,0.112882031528807,-17.0549864086911,0.70822019238744,-0.00149270891264885,4.05429702777288e-15,-0.221624784325025,0.00167431439450337,0.0258906662104046,0.00070469944222113,0.781583815599133,-0.139141064343164,-13.8584935169538,-0.26974225883116,0,0,0,0,0,0,0,0,0,0
2,2,7.41869935811528,-0.00241481499041444,5.20325199885389,-0.292044319184573,390.644868316691,-13.3151681942113,0.0219649620300574,0.169852753974697,0.768846284465412,0.112882031528807,-17.0549864086911,0.70822019238744,-0.00149270891264885,4.05429702777288e-15,-0.221624784325025,0.00167431439450337,0.0194026587512042,-0.00507234366150423,0.98858306469823,-0.141040808270147,40.9628037979249,-8.24438064774486,0,0,0,0,0,0,0,0,0,0
3,2,7.41011643058707,0.00736298627651399,5.41496512673905,-0.152382939106845,331.792171515045,-0.221492400201165,0.0219649620300574,0.169852753974697,0.768846284465412,0.112882031528807,-17.0549864086911,0.70822019238744,-0.00149270891264885,4.05429702777288e-15,-0.221624784325025,0.00167431439450337,0.0108197312230001,0.0047054576054242,1.20029619258338,-0.00137942819241907,-17.889893003721,4.84929514626528,0,0,0,0,0,0,0,0,0,0
1,3,7.36380595244484,0.00609588230724632,4.63989228581718,-0.419417272858969,203.248861967063,-2.08217610441849,0.0219649620300574,0.169852753974697,0.768846284465412,0.112882031528807,-17.0549864086911,0.70822019238744,-0.00149270891264885,4.05429702777288e-15,-0.221624784325025,0.00167431439450337,-0.0354907469192307,0.00343835363615653,0.425223351661521,-0.268413761944543,-146.433202551703,2.98861144204796,0,0,0,0,0,0,0,0,0,0
2,3,7.41352017921428,0.00266917335050849,5.06482642098629,-0.439283201382913,163.164403307193,-0.0898168494607194,0.0219649620300574,0.169852753974697,0.768846284465412,0.112882031528807,-17.0549864086911,0.70822019238744,-0.00149270891264885,4.05429702777288e-15,-0.221624784325025,0.00167431439450337,0.0142234798502052,1.16446794186983e-05,0.850157486830629,-0.288279690468487,-186.517661211573,4.98097069700572,0,0,0,0,0,0,0,0,0,0
3,3,7.35899640697846,0.00742003376984776,4.75631461341888,-0.444937960951732,179.969016782199,-0.774745233334293,0.0219649620300574,0.169852753974697,0.768846284465412,0.112882031528807,-17.0549864086911,0.70822019238744,-0.00149270891264885,4.05429702777288e-15,-0.221624784325025,0.00167431439450337,-0.0403002923856128,0.00476250509875797,0.541645679263218,-0.293934450037305,-169.713047736567,4.29604231313215,0,0,0,0,0,0,0,0,0,0
1,4,7.41105215794253,-0.00167968666916694,6.89738111682931,-0.136437291788062,415.385478085783,-12.2875973142037,0.0219649620300574,0.169852753974697,0.768846284465412,0.112882031528807,-17.0549864086911,0.70822019238744,-0.00149270891264885,4.05429702777288e-15,-0.221624784325025,0.00167431439450337,0.0117554585784561,-0.00433721534025673,2.68271218267365,0.0145662191263638,65.7034135670172,-7.21680976773726,0,0,0,0,0,0,0,0,0,0
