id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b04_SAEM,eta_b14_SAEM,eta_b05_SAEM,eta_b15_SAEM,eta_b06_SAEM,eta_b16_SAEM,eta_b07_SAEM,eta_b17_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha14_SAEM,eta_alpha15_SAEM,eta_alpha16_SAEM,eta_alpha17_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha24_SAEM,eta_alpha25_SAEM,eta_alpha26_SAEM,eta_alpha27_SAEM,eta_b01_mean,eta_b11_mean,eta_b21_mean,eta_a1_mean,eta_b02_mean,eta_b12_mean,eta_b03_mean,eta_b13_mean,eta_b04_mean,eta_b14_mean,eta_b05_mean,eta_b15_mean,eta_b06_mean,eta_b16_mean,eta_b07_mean,eta_b17_mean,eta_p1_mean,eta_g1_mean,eta_p2_mean,eta_g2_mean,eta_alpha11_mean,eta_alpha12_mean,eta_alpha13_mean,eta_alpha14_mean,eta_alpha15_mean,eta_alpha16_mean,eta_alpha17_mean,eta_alpha21_mean,eta_alpha22_mean,eta_alpha23_mean,eta_alpha24_mean,eta_alpha25_mean,eta_alpha26_mean,eta_alpha27_mean,eta_b01_mode,eta_b11_mode,eta_b21_mode,eta_a1_mode,eta_b02_mode,eta_b12_mode,eta_b03_mode,eta_b13_mode,eta_b04_mode,eta_b14_mode,eta_b05_mode,eta_b15_mode,eta_b06_mode,eta_b16_mode,eta_b07_mode,eta_b17_mode,eta_p1_mode,eta_g1_mode,eta_p2_mode,eta_g2_mode,eta_alpha11_mode,eta_alpha12_mode,eta_alpha13_mode,eta_alpha14_mode,eta_alpha15_mode,eta_alpha16_mode,eta_alpha17_mode,eta_alpha21_mode,eta_alpha22_mode,eta_alpha23_mode,eta_alpha24_mode,eta_alpha25_mode,eta_alpha26_mode,eta_alpha27_mode,eta_b01_sd,eta_b11_sd,eta_b21_sd,eta_a1_sd,eta_b02_sd,eta_b12_sd,eta_b03_sd,eta_b13_sd,eta_b04_sd,eta_b14_sd,eta_b05_sd,eta_b15_sd,eta_b06_sd,eta_b16_sd,eta_b07_sd,eta_b17_sd,eta_p1_sd,eta_g1_sd,eta_p2_sd,eta_g2_sd,eta_alpha11_sd,eta_alpha12_sd,eta_alpha13_sd,eta_alpha14_sd,eta_alpha15_sd,eta_alpha16_sd,eta_alpha17_sd,eta_alpha21_sd,eta_alpha22_sd,eta_alpha23_sd,eta_alpha24_sd,eta_alpha25_sd,eta_alpha26_sd,eta_alpha27_sd
23,0.175455,-0.0185585,0.00328377,-0.278697,-0.010465,-0.00105362,-0.942236,0.0173972,2.28318,-0.0230272,-0.347544,-0.0136327,-1.32405,0.00124377,20.9378,-1.65156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24062,-0.0237514,0.00454252,-0.181202,-0.00969572,-0.00154221,-0.930844,0.0225214,2.1724,-0.00483483,-0.351304,-0.0065947,-1.25786,-0.0038948,19.6144,-1.51097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.144608,-0.0216425,0.0136469,-0.00390708,-0.0119569,-0.000891357,-0.948437,0.0198385,2.25674,-0.00903952,-0.39744,-0.00771544,-1.37549,0.00102711,3.38895,-1.05772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.828679,0.101318,0.0798307,0.984788,0.0237448,0.00505683,0.471777,0.136152,0.490558,0.0915696,0.39184,0.0991898,0.340785,0.0785652,48.449,4.52304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,1.85831,0.0925607,-0.0290056,0.0545211,-0.015013,-0.0141774,-0.909164,0.00891968,-0.203899,-0.0459948,1.06361,0.128152,0.0754554,0.0539067,17.3091,-11.1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.39187,0.107335,-0.0197115,0.117454,-0.0120416,-0.0144579,-1.07469,0.0213119,-0.197598,-0.0475166,1.01682,0.127661,0.0779875,0.0535664,29.7554,-12.2484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160757,0.093004,-0.00872205,0.822479,-0.0186929,-0.0139164,-0.980067,0.0131075,-0.204445,-0.0441809,1.05495,0.124078,0.0686357,0.0497292,16.3683,-11.7451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.3304,0.0575463,0.0726328,0.863953,0.0209003,0.00196764,0.378376,0.036244,0.456209,0.0406956,0.388747,0.0376621,0.311216,0.0279832,30.5268,2.11972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,1.32301,-0.0371254,0.00909051,-0.298885,-0.0168936,-0.000959819,0.427805,-0.0389048,1.00915,-0.0157871,-0.333295,0.0259949,0.400119,0.00620129,-66.7987,4.35465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49381,-0.0355041,0.0221862,-0.270731,-0.0143121,-0.00104745,0.444078,-0.0412989,1.13942,-0.0276174,-0.337332,0.0290851,0.479158,-0.00232359,-74.6924,5.0521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25901,-0.028253,0.0348558,0.157414,-0.0169457,-0.000860959,0.448875,-0.0407841,1.02769,-0.0186997,-0.334974,0.0252714,0.384044,0.00413897,-86.1369,5.28403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.756499,0.0753056,0.0791135,0.905747,0.0226945,0.00223811,0.370255,0.0391185,0.435425,0.0489661,0.33133,0.0390396,0.331995,0.0351232,37.6241,2.99527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,0.987552,-0.0110636,-0.00976005,-0.258497,0.0636257,0.00388898,-0.413653,0.181488,-3.33282,-0.00561533,-0.178118,0.0816442,-0.0489445,0.00376081,30.1786,0.404982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02546,-0.000278479,-0.00315194,-0.517903,0.0575451,0.00454319,-0.421939,0.19106,-3.26384,-0.0147848,-0.149675,0.0702646,-0.113227,0.0162366,31.6856,-0.153152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.60871,0.00679755,-0.00549186,0.0438135,0.061048,0.00401874,-0.408683,0.180824,-3.26025,-0.0149404,-0.209474,0.0760677,-0.0795652,-0.00124379,16.2589,0.189401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.754039,0.0752804,0.0673228,0.96324,0.0203207,0.00396284,0.411692,0.08339,0.406385,0.0688566,0.343649,0.0550674,0.344538,0.0582277,39.8922,4.0787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,2.18317,0.0227814,-0.0882357,1.48666,0.0388863,-0.000491918,-0.273523,-0.0226307,-3.68068,-0.0604844,0.337971,-0.0104785,0.846612,-0.0934916,89.9759,2.99137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90077,0.0250417,-0.0696228,1.59601,0.0335656,6.55193e-06,-0.320247,-0.0141318,-3.64704,-0.063227,0.515745,-0.027204,0.906626,-0.0997185,99.0179,2.36413,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.35982,0.0282707,-0.0708699,1.66689,0.033793,1.10371e-05,-0.238108,-0.0254691,-3.64846,-0.0617835,0.29841,-0.0116071,0.880135,-0.0993171,84.2464,2.58287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.30716,0.044039,0.0527616,0.914766,0.0181335,0.00156486,0.422206,0.0367789,0.323128,0.0291075,0.32786,0.0301207,0.223125,0.0185546,47.1771,3.24366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,-1.49828,0.00505633,-0.00446489,-0.254125,-0.0146192,0.00114987,1.11929,0.000864132,2.28969,0.0314675,-0.530329,-0.0159205,0.790721,0.00357323,-20.7117,-0.280065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.53022,0.0020371,-0.000923803,-0.333357,-0.0189556,0.00097122,1.18551,-0.0137391,2.31527,0.0443317,-0.540294,-0.012127,0.730295,0.00437255,-19.2633,-0.365128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.93335,0.00106704,-0.000958517,0.00625461,-0.0156677,0.000776142,1.16497,0.0104277,2.33158,0.0316406,-0.572818,-0.0162163,0.70456,0.00748398,-40.2087,-0.0831819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83856,0.0894888,0.0749017,0.975604,0.0231463,0.00562664,0.434878,0.145982,0.479317,0.0854284,0.378422,0.0936591,0.335637,0.088249,51.3937,4.70288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,-0.568925,-0.0577641,0.0475297,-0.0468424,-0.0298274,0.00106924,0.663077,0.0793236,-0.720481,0.00631886,0.306167,0.0257515,-0.350548,-0.00698068,19.6744,-0.555649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.582508,-0.0534631,0.051218,0.147439,-0.0330123,0.00176647,0.755033,0.073515,-0.686586,-0.0105354,0.305641,0.00335485,-0.333565,-0.00437955,12.074,0.247631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.239302,-0.0554734,0.0792557,1.04144,-0.0287527,0.000814553,0.696527,0.0942103,-0.704269,-0.0119941,0.287052,0.00988382,-0.401016,0.000240665,-2.48867,-0.806565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.854114,0.0848715,0.0777364,1.00215,0.0232161,0.0048494,0.454515,0.130258,0.476007,0.096038,0.370833,0.0894706,0.339609,0.0765579,48.8497,5.15165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,0.0717044,-0.0255695,0.00230356,-0.319325,-0.00612089,0.00292248,0.144874,0.0749337,1.12705,0.037527,0.668062,0.0808698,0.444161,0.0682863,106.56,4.13415,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0865578,-0.0308634,-0.0168323,-0.463763,-0.00515207,0.00283496,0.179292,0.0710738,1.10651,0.0431766,0.667818,0.0826588,0.406166,0.0734487,93.2129,5.06476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.196641,-0.0133295,0.00195736,-0.0199619,-0.00505005,0.00283175,0.175414,0.0711713,1.13547,0.0371247,0.653835,0.0802331,0.430709,0.0665383,92.7609,4.50398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.573113,0.0755048,0.0784346,0.906481,0.0196677,0.00181263,0.450561,0.0368874,0.432008,0.0411365,0.354598,0.0336964,0.362356,0.0344425,45.9907,3.5018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,2.21796,-0.00905471,-0.0270828,-0.161145,-0.0255812,0.00529797,0.301487,-0.0467662,3.06146,0.0106728,-0.33632,-0.118053,0.911405,-0.0512993,80.6229,-0.220576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25193,0.01241,-0.0172372,-0.416157,-0.0270662,0.00537572,0.314345,-0.0473735,3.12081,0.00672095,-0.371079,-0.116087,1.08806,-0.060555,70.1426,0.34571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8174,0.0293545,-0.0158569,0.310659,-0.0300275,0.0055148,0.260846,-0.0453402,3.08845,0.00986095,-0.333088,-0.119085,1.00873,-0.0566949,79.1062,-0.428023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.708825,0.0663607,0.0627263,0.963881,0.0169964,0.000865303,0.297865,0.0158805,0.438447,0.0236167,0.273854,0.0114426,0.179357,0.00664683,40.8026,2.33906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.473882,0.0156503,-0.0349689,0.147209,0.0413933,0.00360947,-0.839746,0.0335222,0.12659,-0.0186064,0.0361412,0.117586,0.538369,-0.00430019,98.3485,0.712372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.170082,0.0151056,-0.0407805,0.347493,0.044473,0.00315287,-0.839122,0.0365687,0.022645,-0.00109309,0.0449523,0.117996,0.569376,-0.00656241,100.531,0.566883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.61073,-0.00310112,-0.100677,1.57113,0.0448175,0.00327805,-0.781424,0.0254765,0.0759237,-0.0129457,0.00983424,0.113127,0.549711,-0.00902402,83.8419,1.65194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60419,0.0673213,0.0800687,1.18429,0.02419,0.00385861,0.364092,0.0615378,0.491073,0.0741266,0.38174,0.063318,0.364218,0.0602966,47.5851,4.61604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
