"rep"	"id"	"b03"	"b13"	"b06"	"b16"	"h1"	"h2"	"alpha13"	"alpha16"	"alpha23"	"alpha26"	"hcov1"	"hcov2"
1	"1"	4.89023228145391	0.0435018439402816	91.2978952030862	-0.0666064457523097	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	5.6146475	-1.5473238
1	"5"	2.89116152121206	0.0543814197694276	92.6010258854866	0.291354595900646	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	1.5312675	-0.4219974
1	"8"	4.06787614924379	0.00074758446956175	97.6378329842257	-0.0302798110564923	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	3.5729575	-0.9846606
1	"9"	6.51139541254006	0.0136380149902156	96.2949135040125	-0.130366359708094	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	3.062535	-0.8439948
1	"11"	3.20364338811938	-0.113404300012197	94.9879602470457	-0.183755264186154	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	4.08338	-1.1253264
1	"14"	4.51835081841355	-0.330707743934904	95.202872989736	-0.0486110974545511	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	2.04169	-0.5626632
1	"18"	5.00416792553169	-0.482975409812222	95.2801959061426	-0.0155554171717026	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	1.020845	-0.2813316
1	"22"	2.91316990979475	-0.127897843085164	95.8879029357003	-0.281622821155662	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	2.5521125	-0.703329
1	"23"	4.32007232169398	-0.350839876628664	90.2332655597472	-0.0307223966553351	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	5.6146475	-1.5473238
1	"26"	4.29368537306854	-0.15288366700713	95.5028761286971	-0.0241672328998735	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	3.5729575	-0.9846606
1	"27"	5.38589520618508	-0.243013917873372	93.8336778950451	0.166714737895401	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	2.5521125	-0.703329
1	"33"	3.72411722631279	-0.0522732904714266	94.5736289613393	0.0870376152972971	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	4.08338	-1.1253264
1	"35"	4.27652590219652	0.124022130596696	90.9014830586784	-0.302614107637197	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	2.5521125	-0.703329
1	"36"	4.76584588930344	0.286814686988638	97.0639068351787	0.00708498849694856	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	2.04169	-0.5626632
1	"37"	2.90984385656907	0.118348949171392	98.8219504620924	0.0236448433407684	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	2.04169	-0.5626632
1	"39"	4.86851196762125	-0.0927613188517929	93.9905523053328	0.211926969908338	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	1.5312675	-0.4219974
1	"41"	4.72615290504382	-0.220323753778876	96.8158978099764	0.124780357225962	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	0.5104225	-0.1406658
1	"44"	4.8146094258955	-0.445248827532347	93.7235553128076	0.039781043846754	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	3.5729575	-0.9846606
1	"47"	4.61479471924832	-0.0933489379878419	94.1616566971595	0.135701357328153	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	1.5312675	-0.4219974
1	"53"	3.96254614203039	-0.17356558272781	95.7551159376637	-0.0698297481768212	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	1.5312675	-0.4219974
1	"55"	4.06837292400397	-0.101373360851842	96.0387642591037	-0.0823505852247957	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	5.104225	-1.406658
1	"58"	4.45770685375482	-0.239911353825164	95.7536726264651	-0.0347559398068765	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	3.062535	-0.8439948
1	"60"	4.59063712598043	-0.209954378920677	92.9361940095997	0.0643132490966154	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	3.5729575	-0.9846606
1	"65"	6.5810477602492	-0.0534494296535229	95.0922111307332	0.246623099251455	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	4.08338	-1.1253264
1	"67"	6.52061012857491	-0.272447482514072	87.7808315900945	0.0493973451604342	6.094896e-05	0.07420449	0.7738989	1.00079	-0.1474082	-0.211755	3.062535	-0.8439948
