parameter,value,se_sa,rse_sa,pvalue_sa
b01_pop,87.65416320953,1.92398925355882,2.19497760643688,
b11_pop,0.359281122642902,0.161427903841145,44.9308058975288,
b02_pop,4.24447325060714,0.0608794575883282,1.43432303595316,
b12_pop,-0.156565976835266,0.01246453148377,7.96120059780596,
b03_pop,5.59957484520942,0.122992785712004,2.19646650168855,
b13_pop,0.0453991208710577,0.0134331849922057,29.5890861639338,
h1_pop,0.000413782223113111,0.000255115504619845,61.6545347696359,
h2_pop,0.0970381419876277,0.0160241333962361,16.5132318777076,
alpha11_pop,-1.36207978561844e-05,0.0126153052851614,92617.9612850912,
alpha12_pop,0.491562070814262,0.0781437059505055,15.8970169974795,
alpha13_pop,0.480230392807996,0.155882255244616,32.4598895819867,
alpha21_pop,-0.0153708662595052,0.00679642217488852,44.216259904582,
alpha22_pop,-0.28659802479249,0.0423093930217535,14.7626254760086,
alpha23_pop,-0.530567073775792,0.0723971342664287,13.645236925694,
hcov1_pop,0,,,
beta_hcov1_score4C,0.337949086828747,0.0580387829136145,17.173824453334,5.78646508486713e-09
hcov2_pop,0,,,
beta_hcov2_score4C,-0.164749594704609,0.0240625104203865,14.605505077891,7.55551177178404e-12
omega_b01,20.126670672627,1.3832372117938,6.87265784934339,
omega_b11,0.803063571858165,0.14594428348495,18.1734408830496,
omega_b02,0.976760259168104,0.0485105116712863,4.96647065807143,
omega_b12,0.168137610228872,0.00954788003948556,5.67861053008236,
omega_b03,1.65390582655662,0.107134183780729,6.47764715865229,
omega_b13,0.0687129463677531,0.0109129073952474,15.8818795759991,
a_1,11.4469681472156,0.380819856747631,3.32681852390986,
a_2,0.69146596661086,0.0125591968203893,1.81631452983098,
a_3,1.29891132252842,0.0388884570736711,2.99392702174403,
