rep,id,eta_b0,eta_b1,eta_b2,eta_a,eta_h1,eta_h2,eta_alpha1,eta_alpha2,eta_hcov1,eta_hcov2,score4C
1,1,-0.0112045840101438,-0.151927502384259,0.169827818341581,1.91185167727411,0,0,0,0,0,0,11
2,1,0.0779759318101325,-0.779862229625575,0.240734618718264,-1.48775546223391,0,0,0,0,0,0,11
3,1,-0.0186596493248194,-0.389632031839813,-0.0310569953925905,4.80954315386953,0,0,0,0,0,0,11
4,1,0.0860427661399188,0.425789753963862,0.149618681348088,1.23309490534535,0,0,0,0,0,0,11
5,1,0.195290124417268,0.143013054430091,0.098272287159773,5.58156846226788,0,0,0,0,0,0,11
6,1,0.119171366845129,0.537279530318718,-0.0180590622912509,-1.88862409180574,0,0,0,0,0,0,11
7,1,0.230618216373399,-0.0341038910029512,-0.273456857805212,1.67096710760043,0,0,0,0,0,0,11
8,1,0.0485399648078959,-0.537413524781264,0.129400263161707,-2.12034207200957,0,0,0,0,0,0,11
9,1,-0.0516179596978459,-0.191074090327725,-0.0371706838992898,-0.266504585519116,0,0,0,0,0,0,11
10,1,-0.0184582232422743,-0.218645846764712,0.0619727471893547,-0.249135980867708,0,0,0,0,0,0,11
1,2,0.123101279838424,-0.127058375060304,0.111792262723173,2.65129569478397,0,0,0,0,0,0,5
2,2,-0.157622053735829,-0.155766475866671,-0.0145633516036159,3.00494087326776,0,0,0,0,0,0,5
3,2,-0.359201336535812,-0.294307292102885,-0.695359365663165,1.64458747861039,0,0,0,0,0,0,5
4,2,-0.473127751664082,-0.00892982543081766,-0.352006406275355,1.63016214306273,0,0,0,0,0,0,5
5,2,-0.0955947155385126,0.581102160987742,0.556492938540817,0.397074094880481,0,0,0,0,0,0,5
6,2,-0.347862588645264,0.424257883264397,0.33848129514538,-3.02854259061432,0,0,0,0,0,0,5
7,2,0.252158501169338,-0.417117041648869,-0.30007146334562,-0.307681569161758,0,0,0,0,0,0,5
8,2,-0.282782345812421,-0.0511189594603314,-0.00228983665452986,1.35947530297488,0,0,0,0,0,0,5
9,2,0.172065168868272,1.14579521957751,-0.675153880879763,0.413056628064269,0,0,0,0,0,0,5
10,2,0.230487149255139,0.197445595215687,-0.33836049323788,-0.874646689717088,0,0,0,0,0,0,5
1,3,0.0899065866216553,-0.469898574750726,-0.0841148005918084,-3.36944936871522,0,0,0,0,0,0,6
2,3,0.234268203675535,0.0231472788769858,-0.235071221865403,0.675632471115178,0,0,0,0,0,0,6
3,3,0.0325571629875803,-0.817395419913864,1.21566016781299,0.83325942620152,0,0,0,0,0,0,6
4,3,-0.13025755767515,0.135967144578088,0.0754640452464987,-0.35804369551213,0,0,0,0,0,0,6
5,3,-0.170984679784618,0.817526116510861,0.435951998959592,-1.70370440480733,0,0,0,0,0,0,6
6,3,0.365683102608904,0.452095171528441,-0.433681254347919,-0.680733942813942,0,0,0,0,0,0,6
7,3,0.118510527875882,-1.03432196745896,0.541551591894185,-1.32879147110061,0,0,0,0,0,0,6
8,3,0.282953567852888,0.300175319002816,-0.630688158923946,-1.54135727407284,0,0,0,0,0,0,6
9,3,-0.237839788475112,0.399542223128383,0.916086615605027,-0.849410442489213,0,0,0,0,0,0,6
10,3,0.029648510809257,-1.09019284677948,0.511886680044548,-0.748266752335024,0,0,0,0,0,0,6
1,4,-0.352638212069225,0.563338409139133,-0.230102045427982,1.01191396428041,0,0,0,0,0,0,8
