rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_b05,eta_b15,eta_b06,eta_b16,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha15,eta_alpha16,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha24,eta_alpha25,eta_alpha26
1,1,-0.795855756239256,0.109334081198323,-0.101263938464541,0.766294458512734,-0.0238594092326085,0.00377278784706468,-0.646214520571545,0.175780163156837,-1.35976673113163,0.0364418833523965,1.59236288300755,-0.131852191276141,-0.465452029700677,0.0733052133158702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,0.53280916235645,0.0547516271290471,-0.0985748423392272,0.957709377067217,-0.0101327283312127,-0.00544868712139635,-0.311703243633064,0.172514061061953,-1.46331187731097,0.00710934123022374,1.16010508108416,-0.0347028284517242,-0.136426167698461,0.011595632597784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,0.0191590213998172,-0.0152210917888184,-0.0591108022967381,-0.266064765536425,0.0136255455121832,0.00579662840275636,-0.259266003118515,0.13373217434692,-1.59657888186054,0.189806183912172,0.555641178496955,0.0366880239159438,0.289196492364203,-0.00782083325285813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,0.113283672101535,-0.0389244028767344,-0.000677414899328849,0.131310484019529,-0.0247857012163584,0.00203751592773903,0.918156563185647,0.185488231273823,0.0682118281748734,0.00523322716084279,1.24228099526074,0.073798741687374,-0.227248781726103,-0.0468353476028655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,0.0248247463749465,0.0562231323927235,-0.089781510673182,-1.01317909301527,0.0272717545248549,-0.0007508411828694,1.04347288378687,-0.0372173447538938,1.71516118674152,0.0600464509672725,1.50398518491403,0.154019889453044,0.00368099654512211,-0.105799239738972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,0.318452230623921,-0.0319365299766168,0.206234540228788,-0.08167262801946,-0.0102523671571024,0.00420326600756379,1.42719317091447,-0.148842858760179,1.35681237420716,-0.098634306341625,1.50515639760006,-0.0011339839913301,-0.210981029352706,-0.0844471675201442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,2.5287596197785,0.0169585626103556,-0.0128984161155898,-0.404821840458257,-0.0131238547361345,0.00929976159665034,1.04329630585815,0.089266118198346,-1.10620439725949,0.138390589889406,-0.21761100862217,0.0798060705856467,-1.33498559444482,-0.000382699214619746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,3.31260401066429,-0.155288012900083,-0.0425575910029383,0.57868247775994,-0.0079150584425971,0.00976938059683096,1.06170334228679,0.0680518913559469,-0.632510509906071,0.125932803520584,0.527385255443598,0.0490347662125332,-1.74203746734896,0.0124191646910803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,0.785185633964472,0.0420172155881363,-0.0212874898423963,0.885744100137704,0.0113548750494559,0.00794445045569036,1.06585384281085,0.0769642573308286,-0.362277097170973,0.0859343995201621,0.413896363455768,0.0465595047551049,-1.49824604466965,0.00886407773168619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0.137285654225292,-0.0821396338723142,0.0125246819145225,-0.904064209896496,0.0028096890143896,0.00911270083550365,-1.11966572271543,0.0648127451720423,0.438431508389713,0.0523998322737754,-0.698024407196751,-0.0524630472403196,-1.95694134504109,-0.0202204832502534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
