rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_b05,eta_b15,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha15,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha24,eta_alpha25
1,1,1.34331416197025,0.0346150156499986,-0.0212599953451819,1.12673893555283,-0.0334756066695097,-0.0058493848948248,-0.430507488645206,-0.0153625630100881,4.77238485664656,-0.0373484532429243,0.483665632367857,0.0909392049004472,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,-0.233209825800361,-0.0446209663026488,0.0181386001467668,1.02075096044403,-0.00626754076514748,0.000942754155952462,0.556046660425708,-0.171908769852554,4.88438607406969,-0.136243544604582,0.698997831149936,0.0503855670690778,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,-2.89974132501858,0.0214478172473674,-0.00926236652026579,1.06261786728026,0.0804501775134813,-0.00535330650909082,-1.25001239624093,0.0443758871929671,-0.438936373698517,-0.0545197881033067,0.348718571311332,0.0514568228980142,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,-1.59634538703519,-0.0161902122014406,0.00121068141101851,-0.923760284111003,0.0188760790477476,-0.000706132907993916,-0.542914640145414,0.0191087306603763,-0.556533814161249,-0.0545863160647516,0.57718022596414,0.0775168116292216,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,-1.72778001025506,0.0319505824298554,-0.0338416213933188,-0.543998181940891,-0.0138071634262669,0.00359628631469785,0.484751470127406,-0.220958951204289,0.28302181034423,0.0355234371450706,-0.76075448686804,-0.181944692046488,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,-1.81590893894138,-0.0451647983669012,-0.0306084978321757,0.280121542174962,-0.0232794031500201,0.00327740459632198,0.510389486004637,-0.238220738011051,0.397557511360516,0.0595009049094324,-1.00241747564699,-0.156924571926398,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,-0.987373373372884,0.152216444316354,-0.0307581670763768,-2.0266534477246,0.0133802716870698,-0.00524355200936056,-0.045931090039634,-0.0582027711463509,-2.05970354968871,0.107167039383282,0.0743286772708202,-0.062332427148819,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,1.03225332678654,-0.107585533364955,-0.00629860329307598,0.604328104210944,-0.0303189871613662,0.00208063598325243,-0.834445383880853,0.143542077071534,-1.93061071408301,-0.0291185317851511,0.187212378024883,-0.0163482770312699,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,2.28088335112416,0.0923617018551699,0.0757104233095768,-0.390845677648074,-0.0598526107948416,0.0034480882258003,-0.8147962701468,-0.0460481118095338,-0.541965689177879,-0.0127024236042142,0.510541064986418,-0.13791152709709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,1.90381419772905,-0.0313449348527297,-0.0908060498859443,-0.767783671036999,-0.0508298312406215,-0.00143527077298785,-0.592944776630153,0.0325034150386097,-1.42528339276614,-0.141786477454949,0.555712420558813,-0.0382858736387334,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,1.82839099507173,0.023997125375029,0.00860904094208301,-1.11425413068633,0.058873781238584,0.00274281856427149,1.73042731293754,-0.0350018739185839,-0.287213401932409,0.043735204850565,0.810308907413894,-0.0185464649093455,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,1.09564134254238,-0.0286616435826733,-0.0869984958051932,-1.39459608957588,0.0452336041270162,0.00306804554911987,2.40644368685733,-0.0576829179185912,-0.831524320425744,0.0685388000590632,0.883432159318222,0.0259717278713994,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,1.76867110285293,-0.055683659450347,-0.076092634735952,-0.661368895847357,-0.0187877593825494,-0.00224182337480792,-0.796667549230588,-0.00545027021050299,-0.551335683848053,-0.00374456476892809,-0.362304271405057,-0.151490394751986,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,1.8309478089544,0.05126802886304,0.0263605890403958,-0.542778442082575,-0.00760387190180617,-0.00102495191767847,-0.635406509515343,0.00761882660648228,-0.832713633260735,-0.0344571626025322,-1.18182996536746,0.0116945651682955,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,3.97477268622136,-0.144196339803976,0.0041627582047467,-0.235489585654341,0.0381432437661523,0.00242965532543732,0.150198131973646,0.0276760375168908,2.35020446227769,0.0291290224217775,-0.652476478812323,0.143157019274902,0,0,0,0,0,0,0,0,0,0,0,0,0,0
