id,b01_SAEM,b11_SAEM,b21_SAEM,a1_SAEM,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,b04_SAEM,b14_SAEM,b05_SAEM,b15_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha11_SAEM,alpha12_SAEM,alpha13_SAEM,alpha14_SAEM,alpha15_SAEM,alpha21_SAEM,alpha22_SAEM,alpha23_SAEM,alpha24_SAEM,alpha25_SAEM,b01_mean,b11_mean,b21_mean,a1_mean,b02_mean,b12_mean,b03_mean,b13_mean,b04_mean,b14_mean,b05_mean,b15_mean,p1_mean,g1_mean,p2_mean,g2_mean,alpha11_mean,alpha12_mean,alpha13_mean,alpha14_mean,alpha15_mean,alpha21_mean,alpha22_mean,alpha23_mean,alpha24_mean,alpha25_mean,b01_mode,b11_mode,b21_mode,a1_mode,b02_mode,b12_mode,b03_mode,b13_mode,b04_mode,b14_mode,b05_mode,b15_mode,p1_mode,g1_mode,p2_mode,g2_mode,alpha11_mode,alpha12_mode,alpha13_mode,alpha14_mode,alpha15_mode,alpha21_mode,alpha22_mode,alpha23_mode,alpha24_mode,alpha25_mode,b01_sd,b11_sd,b21_sd,a1_sd,b02_sd,b12_sd,b03_sd,b13_sd,b04_sd,b14_sd,b05_sd,b15_sd,p1_sd,g1_sd,p2_sd,g2_sd,alpha11_sd,alpha12_sd,alpha13_sd,alpha14_sd,alpha15_sd,alpha21_sd,alpha22_sd,alpha23_sd,alpha24_sd,alpha25_sd
26,5.76095,-0.132063,-0.153523,4.03773,7.46075,0.00722415,3.66046,0.0566177,2.01222,-0.000543982,6.90815,0.0328275,0.0235165,0.134667,0.768273,0.0981496,0.173585,-13.4075,0.659739,-9.13104e-07,6.26136e-09,-0.095634,4.51736,2.71096e-08,0.0138827,-0.0833051,5.76955,-0.123147,-0.141806,4.50299,7.45784,0.00794789,3.76662,0.0406985,1.94489,0.0121055,6.84134,0.041061,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,5.37312,-0.110717,-0.14726,4.47095,7.45859,0.00765172,3.72757,0.0475742,1.98544,0.00698217,6.84203,0.033989,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,0.74385,0.0765369,0.0630268,4.36138,0.0214238,0.00379086,0.385776,0.0793326,0.469738,0.063337,0.355811,0.059593,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,7.31626,-0.0878907,-0.214829,19.443,7.42972,0.00330457,3.93658,-0.166885,1.67291,-0.0495214,7.3795,-0.0541739,0.0235165,0.134667,0.768273,0.0981496,0.173585,-13.4075,0.659739,-9.13104e-07,6.26136e-09,-0.095634,4.51736,2.71096e-08,0.0138827,-0.0833051,6.80305,-0.0797237,-0.22216,17.0723,7.43245,0.00324221,3.84635,-0.160039,1.51833,-0.0360929,7.41711,-0.0548542,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,6.21667,-0.0893161,-0.211829,19.985,7.43198,0.00323186,3.89581,-0.163725,1.61974,-0.0449119,7.35505,-0.0534575,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,1.19852,0.0381007,0.0532669,8.58222,0.019611,0.00175573,0.35238,0.0309732,0.377651,0.0325312,0.349964,0.0320661,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,3.40224,-0.124955,-0.151914,5.43512,7.38649,0.00430801,5.33086,-0.124672,7.56882,0.0427405,6.54328,-0.0668596,0.0235165,0.134667,0.768273,0.0981496,0.173585,-13.4075,0.659739,-9.13104e-07,6.26136e-09,-0.095634,4.51736,2.71096e-08,0.0138827,-0.0833051,3.3318,-0.125601,-0.136342,4.8722,7.38572,0.00398156,5.32574,-0.11926,7.60571,0.0405418,6.48645,-0.0491531,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,2.79795,-0.115936,-0.143439,4.33594,7.38567,0.00426767,5.33948,-0.119631,7.60058,0.0466581,6.47146,-0.0594281,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,0.797554,0.084408,0.0669196,5.50938,0.0233925,0.00517136,0.428587,0.13181,0.477454,0.0852018,0.344049,0.082699,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,4.38078,-0.175644,-0.0948082,8.33883,7.37443,0.0045558,4.90846,-0.0548583,4.55392,0.00320511,7.37389,-0.027712,0.0235165,0.134667,0.768273,0.0981496,0.173585,-13.4075,0.659739,-9.13104e-07,6.26136e-09,-0.095634,4.51736,2.71096e-08,0.0138827,-0.0833051,4.33911,-0.169761,-0.0947547,7.15654,7.37403,0.00452923,4.87273,-0.0454495,4.57379,0.0157538,7.38623,-0.0262018,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,4.4523,-0.172447,-0.0763673,10.8526,7.37182,0.00430467,4.85664,-0.0385391,4.55216,0.0122772,7.3345,-0.0333791,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,0.925714,0.0740736,0.0563023,6.43062,0.0219257,0.00502152,0.417792,0.1181,0.479114,0.0840172,0.330041,0.0903988,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,4.74589,-0.133721,-0.140775,4.18508,7.39346,0.00605829,4.30157,-0.0683547,6.40585,0.0541524,7.71846,0.0407993,0.0235165,0.134667,0.768273,0.0981496,0.173585,-13.4075,0.659739,-9.13104e-07,6.26136e-09,-0.095634,4.51736,2.71096e-08,0.0138827,-0.0833051,4.91093,-0.124755,-0.120845,4.39349,7.39517,0.0057219,4.27095,-0.0627906,6.41042,0.0501749,7.76315,0.0365006,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,4.56401,-0.129109,-0.139167,4.25191,7.39277,0.00606659,4.30723,-0.0676332,6.41347,0.053015,7.71252,0.0383011,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,0.756678,0.0728751,0.0781668,5.9815,0.0188142,0.00183411,0.365331,0.0321254,0.409711,0.0390715,0.342827,0.031675,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,7.12698,-0.129082,-0.153717,4.82291,7.37174,0.00835998,4.42303,-0.188326,8.3232,0.0301742,6.78703,-0.16255,0.0235165,0.134667,0.768273,0.0981496,0.173585,-13.4075,0.659739,-9.13104e-07,6.26136e-09,-0.095634,4.51736,2.71096e-08,0.0138827,-0.0833051,7.04975,-0.11755,-0.161858,5.19626,7.36896,0.00850392,4.30916,-0.180734,8.26876,0.030962,6.7874,-0.162883,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,6.56865,-0.0922385,-0.159177,5.57812,7.36895,0.00855077,4.40226,-0.186184,8.36093,0.0265582,6.717,-0.160008,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,0.797384,0.0641317,0.0654985,4.68813,0.0185178,0.000943646,0.326525,0.021169,0.369742,0.0203724,0.188812,0.00881442,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,5.61426,-0.114798,-0.16961,5.83862,7.44545,0.00640499,3.33611,-0.113851,5.35921,0.00566392,7.11837,0.0680101,0.0235165,0.134667,0.768273,0.0981496,0.173585,-13.4075,0.659739,-9.13104e-07,6.26136e-09,-0.095634,4.51736,2.71096e-08,0.0138827,-0.0833051,5.57505,-0.114694,-0.170258,5.76145,7.44126,0.00704542,3.31476,-0.105998,5.37289,-0.00288174,7.15445,0.0657836,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,4.7674,-0.0944877,-0.17878,6.99079,7.44141,0.00689079,3.35237,-0.112433,5.35217,0.00279116,7.08014,0.0691139,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,1.10318,0.0684475,0.0662872,7.33377,0.0212125,0.00349158,0.415026,0.0672006,0.464872,0.0666238,0.369116,0.0606504,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,5.17943,-0.0453923,-0.167035,7.79517,7.4132,0.00679829,4.43095,-0.168083,6.77185,0.0503521,7.62571,-0.057595,0.0235165,0.134667,0.768273,0.0981496,0.173585,-13.4075,0.659739,-9.13104e-07,6.26136e-09,-0.095634,4.51736,2.71096e-08,0.0138827,-0.0833051,4.95288,-0.0406501,-0.158727,8.35522,7.41511,0.00645597,4.50287,-0.180057,6.7634,0.050463,7.68991,-0.0684251,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,3.89883,-0.0382168,-0.160757,9.42847,7.41329,0.0066841,4.4561,-0.171145,6.79026,0.0513887,7.58639,-0.0579333,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,1.35254,0.0581624,0.0603677,6.45547,0.0212426,0.00300497,0.376742,0.0552435,0.443136,0.0524765,0.334378,0.0458966,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,3.77732,-0.215612,-0.0802995,34.2349,7.43538,0.00894383,4.6295,-0.258482,4.66262,0.12323,7.42111,-0.067362,0.0235165,0.134667,0.768273,0.0981496,0.173585,-13.4075,0.659739,-9.13104e-07,6.26136e-09,-0.095634,4.51736,2.71096e-08,0.0138827,-0.0833051,2.58329,-0.22481,-0.0535952,18.1516,7.42948,0.0100619,4.59993,-0.250991,4.65971,0.135265,7.40177,-0.0617106,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,5.08984,-0.247404,-0.0861018,27.6223,7.43484,0.00904356,4.67904,-0.264453,4.68533,0.124639,7.2714,-0.0389034,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,3.23126,0.0822979,0.0434897,12.0372,0.0216979,0.00351382,0.45918,0.0742095,0.446813,0.0646889,0.33442,0.0579269,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,4.06599,-0.112008,-0.235964,16.1377,7.40935,0.00432663,4.37909,-0.250643,4.38198,0.0204197,7.55134,-0.117884,0.0235165,0.134667,0.768273,0.0981496,0.173585,-13.4075,0.659739,-9.13104e-07,6.26136e-09,-0.095634,4.51736,2.71096e-08,0.0138827,-0.0833051,5.3127,-0.113494,-0.195607,12.1168,7.40461,0.00462386,4.3194,-0.245076,4.44618,0.0159244,7.50551,-0.11524,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,2.3058,-0.122866,-0.238131,24.2695,7.40609,0.00462688,4.40344,-0.255109,4.36242,0.0216468,7.53686,-0.118941,0.0234349,0.135026,0.767973,0.0980473,0.174015,-13.3246,0.663487,-7.40214e-07,6.26819e-09,-0.095336,4.51642,2.8513e-08,0.0142982,-0.0811912,1.70829,0.0569286,0.0593847,13.6269,0.0203852,0.00223984,0.352611,0.0378397,0.428899,0.0426732,0.303984,0.0317633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
