rep,id,eta_b02,eta_b12,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha22
1,1,0.0573404098689432,-0.00629397378627428,0,0,0,0,0,0
2,1,-0.0398330000175848,0.00109119695580004,0,0,0,0,0,0
3,1,-0.0110296433256885,0.00169189821440465,0,0,0,0,0,0
1,2,-0.0731331227409857,-0.00259363718161739,0,0,0,0,0,0
2,2,-0.0708169725507739,-0.00199007559534827,0,0,0,0,0,0
3,2,-0.0705465395383396,-0.00295508499918811,0,0,0,0,0,0
1,3,0.0606180417426501,-0.00335020357573858,0,0,0,0,0,0
2,3,0.0985151005905234,-0.000873788361922908,0,0,0,0,0,0
3,3,0.104532009965809,-0.00479831975005267,0,0,0,0,0,0
1,4,-0.0217568595891047,0.000751321775239015,0,0,0,0,0,0
2,4,0.0165466501788964,0.00710764226492265,0,0,0,0,0,0
3,4,-0.0356785477197743,-0.00113579669655857,0,0,0,0,0,0
1,5,-0.0290676085927277,-0.0112706113259585,0,0,0,0,0,0
2,5,-0.0595811193233375,-0.00293701111468337,0,0,0,0,0,0
3,5,-0.0261733122443175,-0.00721189175915272,0,0,0,0,0,0
1,6,0.0175683753369604,-0.0077810722891852,0,0,0,0,0,0
2,6,-0.00166757716745725,-0.00166856558192778,0,0,0,0,0,0
3,6,-0.0160934766296839,-0.009509390277402,0,0,0,0,0,0
1,7,-0.00457561486091507,-0.00419541538070282,0,0,0,0,0,0
2,7,0.00908546070025906,0.00419131281576024,0,0,0,0,0,0
3,7,0.00688427358101507,-0.00231626753527299,0,0,0,0,0,0
1,8,0.0891330001175392,0.0012288178292429,0,0,0,0,0,0
2,8,0.0441579334814826,0.0023399792532356,0,0,0,0,0,0
3,8,0.036324627903733,0.00369409124249394,0,0,0,0,0,0
1,9,-0.000348744233187759,-0.00321003306436718,0,0,0,0,0,0
2,9,-0.0387767434346742,-0.00151832479629884,0,0,0,0,0,0
3,9,-0.0486134793766597,0.00138936307551758,0,0,0,0,0,0
1,10,0.0306908639874557,-0.00158742265998798,0,0,0,0,0,0
2,10,-0.0128939470358285,0.0027667836902628,0,0,0,0,0,0
3,10,0.0342205237204185,-0.00667934182231256,0,0,0,0,0,0
1,11,0.0464499274349457,-0.00360318860946389,0,0,0,0,0,0
2,11,0.0335590862887605,0.00471844713132749,0,0,0,0,0,0
3,11,0.0760494629451554,-0.00194501753620593,0,0,0,0,0,0
1,12,-0.0367307044022152,-0.00451120896475999,0,0,0,0,0,0
2,12,-0.0131911713109512,0.00392304137544359,0,0,0,0,0,0
3,12,-0.0112734558437815,-0.00283813270079707,0,0,0,0,0,0
1,13,0.0426408933947791,0.00499409257184213,0,0,0,0,0,0
2,13,0.0166980180425433,-0.000670614377400221,0,0,0,0,0,0
3,13,-0.0187722249243443,0.0124228516303324,0,0,0,0,0,0
1,14,-0.0480991023773383,0.000282537083762449,0,0,0,0,0,0
2,14,-0.0249106112545228,0.00194672498788986,0,0,0,0,0,0
3,14,-0.0561676798152,0.000289888258908455,0,0,0,0,0,0
1,15,0.0116542237028678,-0.00901130981045255,0,0,0,0,0,0
2,15,-0.024664669627489,0.00468920978175443,0,0,0,0,0,0
3,15,0.0062635011087071,-0.00227190134263764,0,0,0,0,0,0
1,16,0.0236573501609101,0.00368029250835138,0,0,0,0,0,0
2,16,0.0450191573949947,-3.31131641170463e-05,0,0,0,0,0,0
3,16,0.0500146391647602,0.000173843802252279,0,0,0,0,0,0
1,17,0.0495807576599621,-0.00311108771205614,0,0,0,0,0,0
2,17,0.034656860202066,-0.00209755656293109,0,0,0,0,0,0
3,17,0.01758247933149,-0.00161114348956829,0,0,0,0,0,0
1,18,0.0762486058798144,-0.00126486737762127,0,0,0,0,0,0
2,18,0.0533519967440803,0.00188988185260478,0,0,0,0,0,0
3,18,0.0285458131028342,0.00057780697834626,0,0,0,0,0,0
1,19,0.0367641848739684,-0.00871123480744201,0,0,0,0,0,0
2,19,0.0234435662476864,0.00120646953395811,0,0,0,0,0,0
3,19,0.0192611154488143,-0.00352805254103241,0,0,0,0,0,0
1,20,-0.0282725047985268,0.00263937817336956,0,0,0,0,0,0
2,20,0.00670170296431571,-0.00650295454381284,0,0,0,0,0,0
3,20,-0.0324324210026825,0.00651661274531262,0,0,0,0,0,0
1,21,0.00938313311468875,0.00105565904545218,0,0,0,0,0,0
2,21,-0.01287347416363,0.00263856772583831,0,0,0,0,0,0
3,21,-2.57440608146808e-05,0.00215339662222648,0,0,0,0,0,0
1,22,-0.050788090335117,-0.00368636694538918,0,0,0,0,0,0
2,22,-0.0470132089082398,-0.00588742911206531,0,0,0,0,0,0
3,22,-0.0531321687740274,-0.0011252804967025,0,0,0,0,0,0
1,23,-0.029906105610694,0.0020989284164247,0,0,0,0,0,0
2,23,-0.0164449366608608,0.0013584760266803,0,0,0,0,0,0
3,23,0.0270212767930191,-0.00178484444822936,0,0,0,0,0,0
1,24,0.0174858888037663,0.00355934426902122,0,0,0,0,0,0
2,24,-0.00563329732502904,-0.00373377238955296,0,0,0,0,0,0
3,24,-0.0153495570668243,-0.00722098129914648,0,0,0,0,0,0
1,25,-0.0163368187590098,0.0019344328542598,0,0,0,0,0,0
2,25,-0.0789139918384771,-0.00637558765929262,0,0,0,0,0,0
3,25,0.0295774922126215,-0.00921357530010467,0,0,0,0,0,0
1,26,-0.00541895134994075,-0.0024060627212815,0,0,0,0,0,0
2,26,-0.0332009116865359,-0.0013520180964614,0,0,0,0,0,0
3,26,-0.00290052719975442,0.00223408092596605,0,0,0,0,0,0
1,27,-0.0365910925327677,-0.00368646743782769,0,0,0,0,0,0
2,27,-0.0222369833695639,-0.00593139262350519,0,0,0,0,0,0
3,27,-0.0494458206581445,-0.00775570625844874,0,0,0,0,0,0
1,28,0.0278419606319362,0.00582140494321542,0,0,0,0,0,0
2,28,0.0234437735330975,0.00530721598108925,0,0,0,0,0,0
3,28,-0.046388080736965,0.00922798016905618,0,0,0,0,0,0
1,29,0.0334473779953344,-0.00177540387072608,0,0,0,0,0,0
2,29,-0.0260674071122438,-0.00633130735257667,0,0,0,0,0,0
3,29,0.0208260971807883,0.00976619211455902,0,0,0,0,0,0
1,30,0.00305193497466405,-0.00357361177167849,0,0,0,0,0,0
2,30,0.00667578219310982,0.00350692407658972,0,0,0,0,0,0
3,30,0.00365144044401333,0.00796803860123982,0,0,0,0,0,0
1,31,-0.0264382448940719,-0.00145879189878097,0,0,0,0,0,0
2,31,0.0105722776493664,-0.00265865243901995,0,0,0,0,0,0
3,31,-0.0164849547662165,-0.000544120621933863,0,0,0,0,0,0
1,32,0.0712998103594744,0.00377756592016303,0,0,0,0,0,0
