id,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b07_SAEM,eta_b17_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha17_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha27_SAEM
1,-0.00866128,8.61161e-06,-0.35772,0.107867,57.7878,-6.94185,0,0,0,0,0,0,0,0,0,0
2,0.00108065,0.000667024,-1.00013,0.0190183,-82.1904,-0.516056,0,0,0,0,0,0,0,0,0,0
3,-0.031256,-0.00163458,0.0017662,-0.0526016,-54.5584,3.58822,0,0,0,0,0,0,0,0,0,0
4,0.0131409,0.000755029,0.33162,-0.0594758,4.04271,-0.221104,0,0,0,0,0,0,0,0,0,0
5,0.00610548,-0.00168515,0.682602,0.153743,-12.6834,-0.0277537,0,0,0,0,0,0,0,0,0,0
6,-0.00438993,0.000225436,1.56259,0.00959923,-4.20787,0.0264515,0,0,0,0,0,0,0,0,0,0
7,0.00712043,0.00159356,-0.735572,0.227216,57.1478,0.303374,0,0,0,0,0,0,0,0,0,0
8,0.0172395,0.00263658,-0.361773,-0.136172,112.21,-0.0712011,0,0,0,0,0,0,0,0,0,0
9,0.0223305,0.00109555,0.53534,-0.0224542,6.47307,-0.162892,0,0,0,0,0,0,0,0,0,0
10,-0.0187277,0.000134374,0.409152,0.0242538,-27.3548,0.0822083,0,0,0,0,0,0,0,0,0,0
11,0.0102491,-0.00184491,-0.559999,0.0663915,10.3343,0.340825,0,0,0,0,0,0,0,0,0,0
12,0.00055663,-0.00279448,-0.574629,-0.0352665,75.7156,-2.87515,0,0,0,0,0,0,0,0,0,0
13,-0.00750198,0.00164089,0.183012,0.0694138,-0.682197,-3.50702,0,0,0,0,0,0,0,0,0,0
14,0.0562294,-0.000557417,0.840912,0.0588872,41.7195,2.04307,0,0,0,0,0,0,0,0,0,0
