rep,id,b02,b12,b03,b13,b07,b17,p1,g1,p2,g2,alpha12,alpha13,alpha17,alpha22,alpha23,alpha27
1,1,7.40581954096116,0.00122972655816324,3.98048261566523,-0.0623127353479481,386.601184767631,-11.7037164459767,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
2,1,7.39182034552573,0.00245128862870652,4.08958688612204,-0.0610250479415313,395.418874000451,-12.664153770818,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
3,1,7.38934525858318,0.00175584887472211,4.11724461273889,-0.0522218084449622,420.38123635764,-13.2603927087504,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
1,2,7.39997547113005,0.0046342251718725,3.24759733640414,0.0351707563854499,261.445161050102,-17.6813815609677,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
2,2,7.38488553498242,0.00519697480270701,2.97004507835923,-0.240566120500695,269.241080161984,-5.68919247602386,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
3,2,7.40368038667324,0.000813479659203246,4.37793464004642,-0.151431447923721,331.674498332812,-9.20536537991226,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
1,3,7.36296970160961,2.60522534870245e-05,4.54003882161446,-0.212514950382354,346.352454797638,-8.30924791806998,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
2,3,7.39063491207991,-0.000451252374182368,4.83844167380023,-0.317523565807294,307.452370450287,-4.29392968740568,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
3,3,7.36237889754018,0.00530308795440894,4.25745963507848,-0.226115580492032,266.859407373908,1.30161862040962,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
1,4,7.44577397391565,0.000278943222441497,4.73065821958693,-0.121765742285966,316.044588415564,-8.46290295519305,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
2,4,7.3680919775819,0.00748829596208208,4.20005872475253,-0.0160964714397317,286.250312665235,4.07237325615547,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
3,4,7.44789417957344,-0.000382126507430404,4.97567181653682,-0.243822840832965,365.027476805127,-12.0462210399144,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
1,5,7.3924467800286,0.00133520896153389,4.84315896927952,-0.0734956957232412,405.344330813111,-8.11042748149211,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
2,5,7.38861435859,-0.00260189708590761,5.2190244066993,0.13019854889769,327.896947866877,-2.58497086880262,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
3,5,7.38856570720085,0.000110722401138846,4.90177688166221,0.118377444397776,381.600100800115,-5.52996149856377,0.0827651048096327,0.0918897143160413,0.710872903843095,0.138690380485104,-11.7425081170498,0.466816140822012,3.33618568386237e-09,5.03912264614908,-0.210471745811864,-0.00065270372357248
