rep,id,b0,b1,h1,h2,alpha1,alpha2,hcov1,hcov2,eta_b0,eta_b1,eta_h1,eta_h2,eta_alpha1,eta_alpha2,eta_hcov1,eta_hcov2
1,1,0.53365879009445,-0.00318053008417474,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,5.57426152395409,-2.30794948201778,-0.00539122185746488,-0.000579749044924138,0,0,0,0,0,0
2,1,0.54329532144538,-0.0027074038127822,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,5.57426152395409,-2.30794948201778,0.0042453094934648,-0.000106622773531591,0,0,0,0,0,0
3,1,0.529906869311043,-0.00192640065545918,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,5.57426152395409,-2.30794948201778,-0.00914314264087268,0.000674380383791429,0,0,0,0,0,0
4,1,0.522565664917444,-0.000933983781198425,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,5.57426152395409,-2.30794948201778,-0.0164843470344714,0.00166679725805218,0,0,0,0,0,0
5,1,0.55676201929842,-0.00171085226179989,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,5.57426152395409,-2.30794948201778,0.0177120073465044,0.000889928777450711,0,0,0,0,0,0
6,1,0.502551112842284,-0.00166796971895655,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,5.57426152395409,-2.30794948201778,-0.0364988991096312,0.000932811320294052,0,0,0,0,0,0
7,1,0.536675210614956,-0.0035553646003883,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,5.57426152395409,-2.30794948201778,-0.00237480133695933,-0.000954583561137694,0,0,0,0,0,0
8,1,0.574239554523011,-0.00709602068964642,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,5.57426152395409,-2.30794948201778,0.035189542571096,-0.00449523965039582,0,0,0,0,0,0
9,1,0.564330617110038,-0.00555869831475838,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,5.57426152395409,-2.30794948201778,0.0252806051581224,-0.00295791727550777,0,0,0,0,0,0
10,1,0.528356953115764,-0.00295125581355385,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,5.57426152395409,-2.30794948201778,-0.0106930588361511,-0.00035047477430324,0,0,0,0,0,0
1,2,0.519903922576623,-0.00695585769099366,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.53375523816095,-1.04906794637172,-0.0191460893752921,-0.00435507665174306,0,0,0,0,0,0
2,2,0.535411860424056,-0.00395472818881196,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.53375523816095,-1.04906794637172,-0.0036381515278594,-0.00135394714956135,0,0,0,0,0,0
3,2,0.540727539992345,-0.012006327052896,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.53375523816095,-1.04906794637172,0.00167752804042987,-0.00940554601364544,0,0,0,0,0,0
4,2,0.509125690764115,-0.00651618648340864,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.53375523816095,-1.04906794637172,-0.0299243211878,-0.00391540544415803,0,0,0,0,0,0
5,2,0.541781309126743,-0.000884107826797802,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.53375523816095,-1.04906794637172,0.00273129717482756,0.0017166732124528,0,0,0,0,0,0
6,2,0.50817888079683,-0.000741433143352784,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.53375523816095,-1.04906794637172,-0.0308711311550851,0.00185934789589782,0,0,0,0,0,0
7,2,0.529241146152272,-0.00427467209232437,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.53375523816095,-1.04906794637172,-0.00980886579964302,-0.00167389105307376,0,0,0,0,0,0
8,2,0.513124085125483,-0.00752606740465821,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.53375523816095,-1.04906794637172,-0.0259259268264327,-0.0049252863654076,0,0,0,0,0,0
9,2,0.508031079456632,-0.00423990556136354,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.53375523816095,-1.04906794637172,-0.0310189324952835,-0.00163912452211293,0,0,0,0,0,0
10,2,0.530962233598198,-0.00525707482007963,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.53375523816095,-1.04906794637172,-0.00808777835371699,-0.00265629378082903,0,0,0,0,0,0
1,3,0.518887735955,-0.00500497576048025,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.04050628579314,-1.25888153564606,-0.0201622759969156,-0.00240419472122964,0,0,0,0,0,0
2,3,0.506056181812316,-0.00110304477697867,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.04050628579314,-1.25888153564606,-0.0329938301395993,0.00149773626227194,0,0,0,0,0,0
3,3,0.51792453510596,-0.00655855859790193,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.04050628579314,-1.25888153564606,-0.0211254768459552,-0.00395777755865132,0,0,0,0,0,0
4,3,0.516799896539225,-0.00588660460775524,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.04050628579314,-1.25888153564606,-0.0222501154126901,-0.00328582356850463,0,0,0,0,0,0
5,3,0.513670302849283,-0.00676441679926392,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.04050628579314,-1.25888153564606,-0.0253797091026325,-0.00416363576001331,0,0,0,0,0,0
6,3,0.524584134420246,-0.00602208992725757,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.04050628579314,-1.25888153564606,-0.0144658775316691,-0.00342130888800696,0,0,0,0,0,0
7,3,0.528777503609461,-0.0100729471618067,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.04050628579314,-1.25888153564606,-0.0102725083424547,-0.00747216612255613,0,0,0,0,0,0
8,3,0.511538070812848,-0.0034117186618664,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.04050628579314,-1.25888153564606,-0.027511941139067,-0.000810937622615793,0,0,0,0,0,0
9,3,0.512604441105688,-0.00338664987419932,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.04050628579314,-1.25888153564606,-0.0264455708462271,-0.000785868834948714,0,0,0,0,0,0
10,3,0.538948753468417,-0.00172840788116838,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.04050628579314,-1.25888153564606,-0.000101258483498734,0.000872373158082224,0,0,0,0,0,0
1,4,0.526898046174689,0.000910360997720251,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,4.05400838105752,-1.67850871419475,-0.0121519657772267,0.00351114203697086,0,0,0,0,0,0
2,4,0.54033264900123,-0.0094555568972604,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,4.05400838105752,-1.67850871419475,0.00128263704931453,-0.0068547758580098,0,0,0,0,0,0
3,4,0.540252490297298,-0.011192368214019,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,4.05400838105752,-1.67850871419475,0.00120247834538301,-0.00859158717476844,0,0,0,0,0,0
4,4,0.545895352122928,-0.0106371682622817,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,4.05400838105752,-1.67850871419475,0.0068453401710129,-0.00803638722303107,0,0,0,0,0,0
5,4,0.523222165851522,-0.00609705972308,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,4.05400838105752,-1.67850871419475,-0.0158278461003936,-0.0034962786838294,0,0,0,0,0,0
6,4,0.542183858430261,-0.00858854323759649,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,4.05400838105752,-1.67850871419475,0.00313384647834525,-0.00598776219834589,0,0,0,0,0,0
7,4,0.536059691703899,-0.0113092176940664,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,4.05400838105752,-1.67850871419475,-0.00299032024801638,-0.0087084366548158,0,0,0,0,0,0
8,4,0.569230941942233,-0.00982092647490339,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,4.05400838105752,-1.67850871419475,0.0301809299903175,-0.00722014543565278,0,0,0,0,0,0
9,4,0.509958299954262,-0.00495060327476393,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,4.05400838105752,-1.67850871419475,-0.0290917119976533,-0.00234982223551332,0,0,0,0,0,0
10,4,0.489784210324655,-0.000477310542577802,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,4.05400838105752,-1.67850871419475,-0.0492658016272604,0.0021234704966728,0,0,0,0,0,0
1,5,0.594379237020574,0.000313678160387943,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,1.52025314289657,-0.629440767823032,0.0553292250686584,0.00291445919963855,0,0,0,0,0,0
2,5,0.515886190849348,0.00220334894802098,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,1.52025314289657,-0.629440767823032,-0.0231638211025675,0.00480412998727159,0,0,0,0,0,0
3,5,0.580141178323431,-0.000610347786244179,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,1.52025314289657,-0.629440767823032,0.0410911663715156,0.00199043325300643,0,0,0,0,0,0
4,5,0.584000686591634,-0.000569205936145878,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,1.52025314289657,-0.629440767823032,0.0449506746397182,0.00203157510310473,0,0,0,0,0,0
5,5,0.546762748500892,0.0021953684506167,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,1.52025314289657,-0.629440767823032,0.00771273654897697,0.00479614948986731,0,0,0,0,0,0
6,5,0.541150771401752,0.00152660008712296,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,1.52025314289657,-0.629440767823032,0.00210075944983701,0.00412738112637357,0,0,0,0,0,0
7,5,0.544075465555863,6.71893211731532e-05,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,1.52025314289657,-0.629440767823032,0.0050254536039479,0.00266797036042376,0,0,0,0,0,0
8,5,0.536569914935463,0.0012524965462643,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,1.52025314289657,-0.629440767823032,-0.0024800970164528,0.0038532775855149,0,0,0,0,0,0
9,5,0.524455623060915,0.00119991796924211,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,1.52025314289657,-0.629440767823032,-0.0145943888910005,0.00380069900849271,0,0,0,0,0,0
10,5,0.568959304043408,-0.00076946229337317,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,1.52025314289657,-0.629440767823032,0.0299092920914931,0.00183131874587744,0,0,0,0,0,0
1,6,0.512160596090534,-0.00604755969520835,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,1.01350209526438,-0.419627178548688,-0.0268894158613812,-0.00344677865595774,0,0,0,0,0,0
2,6,0.539626585085136,-0.00357674473503611,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,1.01350209526438,-0.419627178548688,0.000576573133220348,-0.000975963695785508,0,0,0,0,0,0
3,6,0.531470506134632,-0.0085343915201724,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,1.01350209526438,-0.419627178548688,-0.00757950581728373,-0.00593361048092179,0,0,0,0,0,0
4,6,0.513091725519259,-0.00332950127941104,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,1.01350209526438,-0.419627178548688,-0.0259582864326564,-0.00072872024016043,0,0,0,0,0,0
5,6,0.538156871260467,-0.00219410573923719,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,1.01350209526438,-0.419627178548688,-0.000893140691448191,0.000406675300013414,0,0,0,0,0,0
6,6,0.519843011673033,-0.00959060454225273,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,1.01350209526438,-0.419627178548688,-0.0192070002788819,-0.00698982350300212,0,0,0,0,0,0
7,6,0.543390242579616,-0.0130876030757655,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,1.01350209526438,-0.419627178548688,0.00434023062770073,-0.0104868220365149,0,0,0,0,0,0
8,6,0.525788673339997,-0.00266294255628195,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,1.01350209526438,-0.419627178548688,-0.0132613386119181,-6.21615170313433e-05,0,0,0,0,0,0
9,6,0.529469153260771,-0.00806054830167285,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,1.01350209526438,-0.419627178548688,-0.00958085869114444,-0.00545976726242224,0,0,0,0,0,0
10,6,0.528659592173016,0.000474331814269775,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,1.01350209526438,-0.419627178548688,-0.0103904197788995,0.00307511285352038,0,0,0,0,0,0
1,7,0.531135366043314,0.00661937678640902,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,6.08101257158628,-2.51776307129213,-0.00791464590860169,0.00922015782565963,0,0,0,0,0,0
2,7,0.566497059126813,0.00194041931486309,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,6.08101257158628,-2.51776307129213,0.0274470471748973,0.0045412003541137,0,0,0,0,0,0
3,7,0.540528253320387,0.000744479435516155,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,6.08101257158628,-2.51776307129213,0.00147824136847174,0.00334526047476676,0,0,0,0,0,0
4,7,0.55973796774869,0.00165799452020806,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,6.08101257158628,-2.51776307129213,0.020687955796775,0.00425877555945866,0,0,0,0,0,0
5,7,0.567047435088329,0.00101134798648476,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,6.08101257158628,-2.51776307129213,0.0279974231364133,0.00361212902573537,0,0,0,0,0,0
6,7,0.53198764388854,0.00500907091762109,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,6.08101257158628,-2.51776307129213,-0.00706236806337546,0.0076098519568717,0,0,0,0,0,0
7,7,0.540531240827083,0.000378185050446631,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,6.08101257158628,-2.51776307129213,0.00148122887516722,0.00297896608969724,0,0,0,0,0,0
8,7,0.553004546020576,0.000227684183735319,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,6.08101257158628,-2.51776307129213,0.0139545340686608,0.00282846522298592,0,0,0,0,0,0
9,7,0.532960441130434,0.00611269929151412,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,6.08101257158628,-2.51776307129213,-0.00608957082148098,0.00871348033076473,0,0,0,0,0,0
10,7,0.556487490450379,-0.000617753154260327,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,6.08101257158628,-2.51776307129213,0.0174374784984633,0.00198302788499028,0,0,0,0,0,0
1,8,0.561483281415681,0.00431277083795667,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.54725733342533,-1.46869512492041,0.0224332694637653,0.00691355187720728,0,0,0,0,0,0
2,8,0.548925891257208,0.00278510376386694,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.54725733342533,-1.46869512492041,0.00987587930529266,0.00538588480311755,0,0,0,0,0,0
3,8,0.541284059829538,0.00452237276429561,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.54725733342533,-1.46869512492041,0.00223404787762216,0.00712315380354621,0,0,0,0,0,0
4,8,0.504026369343784,0.00857457371118088,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.54725733342533,-1.46869512492041,-0.0350236426081311,0.0111753547504315,0,0,0,0,0,0
5,8,0.581002576162571,0.00146826812693372,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.54725733342533,-1.46869512492041,0.0419525642106561,0.00406904916618433,0,0,0,0,0,0
6,8,0.555509395282366,0.00463389325823741,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.54725733342533,-1.46869512492041,0.0164593833304506,0.00723467429748801,0,0,0,0,0,0
7,8,0.559515515927039,0.00432650738287086,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.54725733342533,-1.46869512492041,0.0204655039751239,0.00692728842212147,0,0,0,0,0,0
8,8,0.556270597050361,0.00047193528854112,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.54725733342533,-1.46869512492041,0.0172205850984454,0.00307271632779173,0,0,0,0,0,0
9,8,0.53324151377516,0.00483653923068283,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.54725733342533,-1.46869512492041,-0.00580849817675522,0.00743732026993343,0,0,0,0,0,0
10,8,0.542341838907774,0.00490295265324282,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.54725733342533,-1.46869512492041,0.00329182695585817,0.00750373369249343,0,0,0,0,0,0
1,9,0.584426398370665,0.00199100443673474,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.04050628579314,-1.25888153564606,0.0453763864187492,0.00459178547598535,0,0,0,0,0,0
2,9,0.540030057629308,0.00479954487207305,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.04050628579314,-1.25888153564606,0.000980045677392183,0.00740032591132365,0,0,0,0,0,0
3,9,0.540239428088178,0.00707903050210209,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.04050628579314,-1.25888153564606,0.00118941613626222,0.0096798115413527,0,0,0,0,0,0
4,9,0.564138684307135,0.00275914856368325,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.04050628579314,-1.25888153564606,0.0250886723552197,0.00535992960293386,0,0,0,0,0,0
5,9,0.53311055105659,0.00766971543025053,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.04050628579314,-1.25888153564606,-0.00593946089532515,0.0102704964695011,0,0,0,0,0,0
6,9,0.549461145984194,0.00616957083786551,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.04050628579314,-1.25888153564606,0.0104111340322788,0.00877035187711611,0,0,0,0,0,0
7,9,0.532426096620264,0.00878831344651097,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.04050628579314,-1.25888153564606,-0.00662391533165152,0.0113890944857616,0,0,0,0,0,0
8,9,0.538246355552854,0.00644541111516772,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.04050628579314,-1.25888153564606,-0.000803656399060881,0.00904619215441833,0,0,0,0,0,0
9,9,0.556831678046206,0.00244325309553137,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.04050628579314,-1.25888153564606,0.0177816660942907,0.00504403413478198,0,0,0,0,0,0
10,9,0.554346717813716,0.00402755670031572,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,3.04050628579314,-1.25888153564606,0.0152967058618003,0.00662833773956633,0,0,0,0,0,0
1,10,0.493979363978284,0.00110698196285596,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.53375523816095,-1.04906794637172,-0.0450706479736317,0.00370776300210656,0,0,0,0,0,0
2,10,0.520810403854675,-0.0110243382212667,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.53375523816095,-1.04906794637172,-0.0182396080972405,-0.00842355718201613,0,0,0,0,0,0
3,10,0.5090178021667,-0.00350859760323492,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.53375523816095,-1.04906794637172,-0.0300322097852155,-0.00090781656398431,0,0,0,0,0,0
4,10,0.511471305551188,-0.0095795459508445,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.53375523816095,-1.04906794637172,-0.0275787064007273,-0.00697876491159389,0,0,0,0,0,0
5,10,0.56015455160602,-0.00519252351103028,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.53375523816095,-1.04906794637172,0.0211045396541046,-0.00259174247177967,0,0,0,0,0,0
6,10,0.545195316988122,-0.00913214627094781,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.53375523816095,-1.04906794637172,0.00614530503620636,-0.00653136523169721,0,0,0,0,0,0
7,10,0.538159156619143,-0.0114129122188655,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.53375523816095,-1.04906794637172,-0.000890855332772333,-0.00881213117961488,0,0,0,0,0,0
8,10,0.521489021965233,-0.0071935650620903,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.53375523816095,-1.04906794637172,-0.0175609899866824,-0.00459278402283969,0,0,0,0,0,0
9,10,0.510389317474133,-0.00260457933436091,4.0006162642182e-07,0.608023904611999,101.789706512447,-73.2470979356939,2.53375523816095,-1.04906794637172,-0.028660694477782,-3.79829511029965e-06,0,0,0,0,0,0
