parameter,value
b01_pop,4.71423069051386
b11_pop,-0.16936525548623
b21_pop,-0.135370386994107
a1_pop,4.90426341021569
b02_pop,7.40288916702835
b12_pop,0.00266844870375753
b03_pop,4.16150581232961
b13_pop,-0.11979180793298
p1_pop,0.0433558195564678
g1_pop,0.107757469719535
p2_pop,0.763434815703817
g2_pop,0.128676015043706
alpha11_pop,0.12934522021128
alpha12_pop,-11.1311931386289
alpha13_pop,0.67020573693573
alpha21_pop,-0.110030727393454
alpha22_pop,5.9712379223233
alpha23_pop,-0.166071807238118
omega_b01,1.92759070681695
omega_b11,0.117968378067463
omega_b21,0.0484692500419022
omega_a1,1.03943040749459
omega_b02,0.0395068313686563
omega_b12,0.00507298461485194
omega_b03,0.871455297391512
omega_b13,0.161685962232729
b_1,0.322670788778769
a_2,0.0497435335941914
a_3,0.702852280710491
