rep,id,b01,b11,b21,a1,b02,b12,b03,b13,b04,b14,b05,b15,p1,g1,p2,g2,alpha11,alpha12,alpha13,alpha14,alpha15,alpha21,alpha22,alpha23,alpha24,alpha25,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_b05,eta_b15,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha15,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha24,eta_alpha25
1,1,4.44617536731116,-0.16583537811326,-0.14944987829293,9.64251105080911,7.3643910345954,-0.00310002813257165,4.04531115193513,-0.313725511413938,8.74387443388144,0.0442756045745573,7.04816109375071,-0.176280898466941,0.0234349425833043,0.135025594092518,0.767972710586578,0.0980472588091228,0.174015179760921,-13.3246122289549,0.663487185181943,-7.40213522874818e-07,6.26818557774473e-09,-0.0953359737092685,4.51642498367519,2.85130470640282e-08,0.0142982299928267,-0.0811911720979208,-0.352612956351416,-0.0464899075366458,-0.00810082338799398,0.810772374666842,-0.0352693297432074,-0.00618417050695774,-0.106351848226419,-0.173465007179159,3.47387160296211,0.0273237377266914,0.00120988770828401,-0.133937152439692,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,1,5.17448135410378,-0.171411053308889,-0.181223731128366,7.39879171725396,7.38084936038709,0.000877447202000805,4.29830516521326,-0.0789376036292547,9.8307859140814,-0.125323746334764,7.23444971932712,0.0835953751367696,0.0234349425833043,0.135025594092518,0.767972710586578,0.0980472588091228,0.174015179760921,-13.3246122289549,0.663487185181943,-7.40213522874818e-07,6.26818557774473e-09,-0.0953359737092685,4.51642498367519,2.85130470640282e-08,0.0142982299928267,-0.0811911720979208,0.37569303044121,-0.0520655827322747,-0.03987467622343,0.545907522941061,-0.0188110039515177,-0.00220669517238529,0.146642165051712,0.0613229006055245,4.56078308316208,-0.14227561318263,0.187498513284703,0.125939121164019,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,4.7096427034085,-0.169679169695614,-0.187274201649475,0.832847187095855,7.32580169906764,-0.00116959588158439,4.7141331166125,-0.281228451435375,9.71174851981394,0.00318146732401877,8.29683703618728,-0.157961202742863,0.0234349425833043,0.135025594092518,0.767972710586578,0.0980472588091228,0.174015179760921,-13.3246122289549,0.663487185181943,-7.40213522874818e-07,6.26818557774473e-09,-0.0953359737092685,4.51642498367519,2.85130470640282e-08,0.0142982299928267,-0.0811911720979208,-0.0891456202540706,-0.0503336991190001,-0.0459251467445383,-1.63831428499364,-0.0738586652709712,-0.00425373825597049,0.562470116450944,-0.140967947200596,4.44174568889462,-0.0137703995238471,1.24988583014486,-0.115617456715614,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,2.60245990040325,-0.0811064141605419,-0.21462626922251,2.08726344422564,7.50017046092947,-0.00319583779894867,3.45753927517357,-0.103608523640026,4.38049978493697,-0.0133100773751211,7.67620003716217,0.0252146688681685,0.0234349425833043,0.135025594092518,0.767972710586578,0.0980472588091228,0.174015179760921,-13.3246122289549,0.663487185181943,-7.40213522874818e-07,6.26818557774473e-09,-0.0953359737092685,4.51642498367519,2.85130470640282e-08,0.0142982299928267,-0.0811911720979208,-2.19632842325932,0.0382390564160721,-0.0732772143175734,-0.719555331294793,0.100510096590867,-0.00627998017333476,-0.694123724987985,0.0366519805947533,-0.889503045982354,-0.030261944222987,0.629248831119745,0.0675584148954176,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,3.46513648935963,-0.187721893790635,-0.259742987250616,3.22529574601064,7.43931774389301,0.00126762439889781,3.02435817264708,-0.0978828161480905,5.14298414112985,-0.0322927601630972,7.85369880356391,0.029117462824559,0.0234349425833043,0.135025594092518,0.767972710586578,0.0980472588091228,0.174015179760921,-13.3246122289549,0.663487185181943,-7.40213522874818e-07,6.26818557774473e-09,-0.0953359737092685,4.51642498367519,2.85130470640282e-08,0.0142982299928267,-0.0811911720979208,-1.33365183430294,-0.0683764232140214,-0.118393932345679,-0.284384532252519,0.0396573795543986,-0.00181651797548828,-1.12730482751447,0.0423776880866886,-0.127018689789473,-0.049244627010963,0.806747597521491,0.071461208851808,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,3.58052664316175,-0.0663185826488092,-0.26412819242546,1.51585466819265,7.44405467034026,-0.000397350937281561,4.28259183248502,-0.152454463862461,6.05064262924358,-0.0848778330051015,7.3494378002783,0.0239252077530865,0.0234349425833043,0.135025594092518,0.767972710586578,0.0980472588091228,0.174015179760921,-13.3246122289549,0.663487185181943,-7.40213522874818e-07,6.26818557774473e-09,-0.0953359737092685,4.51642498367519,2.85130470640282e-08,0.0142982299928267,-0.0811911720979208,-1.21826168050082,0.0530268879278048,-0.122779137520524,-1.0394297651685,0.0443943060016485,-0.00348149331166765,0.130928832323469,-0.0121939596276822,0.780639798324255,-0.101829699852967,0.302486594235878,0.0662689537803356,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,3,3.73423026836485,-0.180378677103143,-0.12400824723806,3.95344195587438,7.37891160453065,0.00678531430419028,5.27871297383958,-0.394323202886237,5.51395096242059,0.0641935749380781,6.14456142442475,-0.209984133339326,0.0234349425833043,0.135025594092518,0.767972710586578,0.0980472588091228,0.174015179760921,-13.3246122289549,0.663487185181943,-7.40213522874818e-07,6.26818557774473e-09,-0.0953359737092685,4.51642498367519,2.85130470640282e-08,0.0142982299928267,-0.0811911720979208,-1.06455805529772,-0.0610332065265293,0.0173408076668768,-0.080822601770201,-0.0207487598079608,0.00370117192980418,1.12704997367803,-0.254062698651458,0.243948131501265,0.0472417080902122,-0.902389781617672,-0.167640387312077,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,3.51420850883043,-0.274633377497809,-0.23248457961932,2.91941679860569,7.35382082256413,0.00791031129986843,5.08514091969452,-0.364203005357708,5.59955737479544,0.0529908833539576,5.87245980091981,-0.193594943141416,0.0234349425833043,0.135025594092518,0.767972710586578,0.0980472588091228,0.174015179760921,-13.3246122289549,0.663487185181943,-7.40213522874818e-07,6.26818557774473e-09,-0.0953359737092685,4.51642498367519,2.85130470640282e-08,0.0142982299928267,-0.0811911720979208,-1.28457981483214,-0.155287906921195,-0.0911355247143837,-0.384025312657731,-0.0458395417744732,0.00482616892548234,0.933477919532963,-0.223942501122929,0.329554543876118,0.0360390165060918,-1.17449140512261,-0.151251197114167,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,3,3.61431728353727,-0.175620032575711,-0.12129731370104,2.4939482788578,7.36161016031731,0.00888407195760515,4.57589462060946,-0.341305153389639,5.47131021255586,0.10496871490466,6.14347356466356,-0.198046118244864,0.0234349425833043,0.135025594092518,0.767972710586578,0.0980472588091228,0.174015179760921,-13.3246122289549,0.663487185181943,-7.40213522874818e-07,6.26818557774473e-09,-0.0953359737092685,4.51642498367519,2.85130470640282e-08,0.0142982299928267,-0.0811911720979208,-1.1844710401253,-0.056274561999097,0.0200517412038962,-0.541542073670853,-0.0380502040212969,0.00579992958321906,0.424231620447907,-0.20104464915486,0.201307381636534,0.0880168480567941,-0.903477641378858,-0.155702372217615,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,3.8343518529113,0.00695952067997302,-0.054947054275837,7.42706678248699,7.40766811582211,-0.00175369758617179,4.85928634406029,-0.178240601695546,2.86380444110105,-0.0197145786957539,7.81346117337218,-0.0268764963970026,0.0234349425833043,0.135025594092518,0.767972710586578,0.0980472588091228,0.174015179760921,-13.3246122289549,0.663487185181943,-7.40213522874818e-07,6.26818557774473e-09,-0.0953359737092685,4.51642498367519,2.85130470640282e-08,0.0142982299928267,-0.0811911720979208,-0.964436470751275,0.126304991256587,0.0864020006290995,0.549721818013999,0.00800775148350308,-0.00483783996055789,0.707623343898737,-0.0379800974607672,-2.40619838981827,-0.0366664455436198,0.766509967329754,0.0154672496302464,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,4,5.86405228981943,-0.0806814385790278,-0.138378795909924,4.7496296276317,7.40228181283644,0.00114601900862981,4.38596731542691,-0.242912112808521,4.05129730497659,-0.175722851246773,7.20348382164965,0.0601159266528437,0.0234349425833043,0.135025594092518,0.767972710586578,0.0980472588091228,0.174015179760921,-13.3246122289549,0.663487185181943,-7.40213522874818e-07,6.26818557774473e-09,-0.0953359737092685,4.51642498367519,2.85130470640282e-08,0.0142982299928267,-0.0811911720979208,1.06526396615686,0.0386640319975862,0.00297025899501294,0.102657459391291,0.00262144849783041,-0.00193812336575628,0.23430431526536,-0.102651608573742,-1.21870552594274,-0.192674718094638,0.156532615607224,0.102459672680093,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,5.62663901745921,-0.188484409668849,-0.0928460835181148,5.7719406721333,7.36808220347067,0.0083303939355607,4.84143951605871,-0.152638739348096,4.35916429440368,0.0296927256964669,6.99555039076673,-0.065448509359825,0.0234349425833043,0.135025594092518,0.767972710586578,0.0980472588091228,0.174015179760921,-13.3246122289549,0.663487185181943,-7.40213522874818e-07,6.26818557774473e-09,-0.0953359737092685,4.51642498367519,2.85130470640282e-08,0.0142982299928267,-0.0811911720979208,0.827850693796643,-0.0691389390922347,0.0485029713868216,0.297599179810587,-0.0315781608679417,0.0052462515611746,0.689776515897154,-0.0123782351133164,-0.910838536515646,0.0127408588486011,-0.0514008152756951,-0.023104763332576,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,5,7.29040256335997,-0.148619941336215,-0.0245734675207301,4.50500785121414,7.36025695942533,0.016475951175139,3.1543878128983,-0.228949183794815,5.99303159903888,0.015908603979096,7.64931466676241,0.0726514083850779,0.0234349425833043,0.135025594092518,0.767972710586578,0.0980472588091228,0.174015179760921,-13.3246122289549,0.663487185181943,-7.40213522874818e-07,6.26818557774473e-09,-0.0953359737092685,4.51642498367519,2.85130470640282e-08,0.0142982299928267,-0.0811911720979208,2.4916142396974,-0.0292744707596014,0.116775587384206,0.0497804513515876,-0.0394034049132808,0.0133918088007529,-0.997275187263257,-0.0886886795600361,0.723028768119563,-0.00104326286876983,0.602363460719988,0.114995154412327,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,5,6.52368721216685,-0.103220297706672,-0.104831239622079,1.26216123766304,7.36336262194307,0.00338876064835271,1.5275750638558,0.0395891043804946,5.66237164541367,0.0469751349869621,7.09701336031259,-0.131125909427272,0.0234349425833043,0.135025594092518,0.767972710586578,0.0980472588091228,0.174015179760921,-13.3246122289549,0.663487185181943,-7.40213522874818e-07,6.26818557774473e-09,-0.0953359737092685,4.51642498367519,2.85130470640282e-08,0.0142982299928267,-0.0811911720979208,1.72489888850428,0.0161251728699423,0.0365178152828573,-1.22258366292721,-0.0362977423955337,0.000304618273966618,-2.62408793630575,0.179849608615274,0.39236881449435,0.0300232681390962,0.0500621542701651,-0.0887821634000232,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,5,6.76835588709068,-0.0860686970759192,-0.0549177466643697,3.11504009888423,7.35716947569113,0.0117964635794528,3.89619103219341,-0.162180233264412,4.91672641426128,0.0878100005652227,7.41819865311048,0.0423154001756627,0.0234349425833043,0.135025594092518,0.767972710586578,0.0980472588091228,0.174015179760921,-13.3246122289549,0.663487185181943,-7.40213522874818e-07,6.26818557774473e-09,-0.0953359737092685,4.51642498367519,2.85130470640282e-08,0.0142982299928267,-0.0811911720979208,1.96956756342811,0.0332767735006948,0.0864313082405668,-0.319167157492437,-0.0424908886474764,0.00871232120506668,-0.255471967968144,-0.0219197290296332,-0.353276416658044,0.0708581337173569,0.371247447068056,0.0846591462029117,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,6,5.69199808698833,-0.100460201668157,-0.145797222928177,4.71959930872583,7.47581092961822,0.00492373235427905,5.87338417244673,-0.180563963322368,4.18616065035629,0.107462077820087,7.78201260800403,-0.0518880813164235,0.0234349425833043,0.135025594092518,0.767972710586578,0.0980472588091228,0.174015179760921,-13.3246122289549,0.663487185181943,-7.40213522874818e-07,6.26818557774473e-09,-0.0953359737092685,4.51642498367519,2.85130470640282e-08,0.0142982299928267,-0.0811911720979208,0.893209763325763,0.0188852689084574,-0.00444816802324052,0.0963147212897837,0.0761505652796126,0.00183958997989295,1.72172117228517,-0.040303459087589,-1.08384218056303,0.0905102109722214,0.73506140196161,-0.00954433528917449,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,6,6.93865835508242,-0.153534828057748,-0.115189123870256,2.87378888250253,7.4724692090526,0.00478646310356243,6.10940509982158,-0.178231680585361,5.28397874243672,0.0410439785619593,7.99954871008823,-0.0505751860464454,0.0234349425833043,0.135025594092518,0.767972710586578,0.0980472588091228,0.174015179760921,-13.3246122289549,0.663487185181943,-7.40213522874818e-07,6.26818557774473e-09,-0.0953359737092685,4.51642498367519,2.85130470640282e-08,0.0142982299928267,-0.0811911720979208,2.13987003141985,-0.0341893574811344,0.0261599310346803,-0.399777855249892,0.0728088447139958,0.00170232072917634,1.95774209966003,-0.0379711763505822,0.0139759115174032,0.0240921117140935,0.95259750404581,-0.00823144001919635,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,6,5.92187991193182,-0.172119557776104,-0.124484459747627,3.76975561530289,7.47716892445528,0.00513646802531003,5.70226139768367,-0.175302229304957,6.01104514261458,0.0123217735257324,7.9507286765349,-0.0369621761659271,0.0234349425833043,0.135025594092518,0.767972710586578,0.0980472588091228,0.174015179760921,-13.3246122289549,0.663487185181943,-7.40213522874818e-07,6.26818557774473e-09,-0.0953359737092685,4.51642498367519,2.85130470640282e-08,0.0142982299928267,-0.0811911720979208,1.12309158826924,-0.0527740871994901,0.0168645951573094,-0.128399006653328,0.0775085601166676,0.00205232565092394,1.55059839752211,-0.0350417250701778,0.741042311695259,-0.00463009332213349,0.903777470492476,0.005381569861322,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,7,4.63819971275382,-0.10901012501046,-0.0333442375545823,0.846504044513631,7.37219461327739,-0.001074547939749,4.36196650746818,-0.367874070022472,3.99950807532463,-0.00490974565597805,6.19269358162063,-0.0864013587384705,0.0234349425833043,0.135025594092518,0.767972710586578,0.0980472588091228,0.174015179760921,-13.3246122289549,0.663487185181943,-7.40213522874818e-07,6.26818557774473e-09,-0.0953359737092685,4.51642498367519,2.85130470640282e-08,0.0142982299928267,-0.0811911720979208,-0.160588610908754,0.0103353455661543,0.108004817350354,-1.62204948198025,-0.0274657510612153,-0.0041586903141351,0.210303507306632,-0.227613565787693,-1.27049475559469,-0.0218616125038439,-0.854257624421796,-0.0440576127112214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,7,5.23699453129933,-0.149313986369645,-0.131895294158036,5.62265682231797,7.40380860321257,-0.00562887160443468,3.52781479021492,-0.268817242725043,4.82105504803193,-0.124603924616255,6.43940177797311,-0.214734997998068,0.0234349425833043,0.135025594092518,0.767972710586578,0.0980472588091228,0.174015179760921,-13.3246122289549,0.663487185181943,-7.40213522874818e-07,6.26818557774473e-09,-0.0953359737092685,4.51642498367519,2.85130470640282e-08,0.0142982299928267,-0.0811911720979208,0.438206207636759,-0.0299685157930309,0.00945376074690032,0.271395113896937,0.00414823887396309,-0.00871301397882077,-0.623848209946636,-0.128556738490264,-0.448947782887388,-0.141555791464121,-0.607549428069314,-0.172391251970819,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,7,5.77393638004828,-0.109171074994319,-0.173598779002837,1.72318764819499,7.38675900328162,0.00501767348172195,3.46630137284177,-0.068570326501558,4.69850173356931,-0.0190807783142958,6.48429725581435,-0.0210222935027957,0.0234349425833043,0.135025594092518,0.767972710586578,0.0980472588091228,0.174015179760921,-13.3246122289549,0.663487185181943,-7.40213522874818e-07,6.26818557774473e-09,-0.0953359737092685,4.51642498367519,2.85130470640282e-08,0.0142982299928267,-0.0811911720979208,0.975148056385708,0.0101743955822955,-0.032249724097901,-0.911233323037,-0.0129013610569837,0.00193353110733586,-0.685361627319778,0.0716901777332211,-0.571501097350007,-0.0360326451621616,-0.562653950228067,0.0213214525244533,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,5.47432046701349,0.0325229904598186,-0.229868542361486,1.55727647722209,7.3862774410707,0.00863297229711263,4.67148687168442,-0.132306094928191,7.4024022195674,0.106178648240055,6.63463220741992,0.0597804226007858,0.0234349425833043,0.135025594092518,0.767972710586578,0.0980472588091228,0.174015179760921,-13.3246122289549,0.663487185181943,-7.40213522874818e-07,6.26818557774473e-09,-0.0953359737092685,4.51642498367519,2.85130470640282e-08,0.0142982299928267,-0.0811911720979208,0.675532143350916,0.151868461036433,-0.0885194874565493,-1.01247073492675,-0.0133829232679075,0.00554882992272654,0.519823871522865,0.00795440930658836,2.13239938864808,0.0892267813921895,-0.412318998622501,0.102124168628035,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,8,7.74672358419009,-0.123905885365094,-0.0920869873436347,7.23522992142751,7.42711869873768,0.00548220204338949,4.28975387803365,-0.123373942250993,8.11033773276104,0.0652296382419013,6.6974706571985,0.0595215868402287,0.0234349425833043,0.135025594092518,0.767972710586578,0.0980472588091228,0.174015179760921,-13.3246122289549,0.663487185181943,-7.40213522874818e-07,6.26818557774473e-09,-0.0953359737092685,4.51642498367519,2.85130470640282e-08,0.0142982299928267,-0.0811911720979208,2.94793526052752,-0.00456041478847968,0.0492620675613017,0.523552956143581,0.0274583343990704,0.00239805966900339,0.138090877872096,0.016886561983786,2.84033490184172,0.0482777713940355,-0.349480548843919,0.101865332867478,0,0,0,0,0,0,0,0,0,0,0,0,0,0
