b02_pop,8.8342e-06,-3.623e-07,3.6871e-07,-2.9077e-07,1.6217e-07,2.5454e-06,-1.3949e-06,-1.4941e-06,-7.0504e-06,1.8247e-06,2.6065e-05,5.1654e-07,5.7078e-08,7.1958e-09,4.5662e-07,-1.8171e-07,-2.6599e-08,5.2809e-08
b12_pop,-3.623e-07,2.4452e-07,-1.7221e-07,2.8569e-07,9.9065e-07,-9.2788e-07,-5.7052e-07,6.2898e-07,6.8154e-05,-2.375e-06,3.422e-05,-1.0576e-06,4.1604e-08,-5.3571e-09,-1.5347e-07,7.2175e-08,8.2915e-10,2.3356e-08
b03_pop,3.6871e-07,-1.7221e-07,0.0031319,-0.0001087,1.0158e-05,-3.828e-05,6.2074e-06,1.7238e-05,0.0012831,-5.5985e-05,0.00043031,8.9129e-06,-1.8406e-07,3.2953e-08,-3.2082e-05,1.757e-05,7.9533e-08,-6.0144e-06
b13_pop,-2.9077e-07,2.8569e-07,-0.0001087,0.00014949,-2.7655e-05,2.1564e-05,1.6166e-05,-9.7635e-06,-0.0012948,7.6203e-05,-0.00074263,6.5149e-06,1.3434e-07,-8.9907e-08,5.622e-06,-3.9779e-06,-3.5773e-08,2.4918e-06
p1_pop,1.6217e-07,9.9065e-07,1.0158e-05,-2.7655e-05,0.00052213,-0.00020231,-6.4794e-06,1.8223e-05,0.030082,-0.0019499,0.0040055,4.2378e-05,1.213e-06,-3.2679e-07,1.631e-05,-9.9254e-06,-1.9912e-07,-5.9851e-06
g1_pop,2.5454e-06,-9.2788e-07,-3.828e-05,2.1564e-05,-0.00020231,0.0004021,1.6835e-05,-1.2002e-05,-0.012446,0.00039974,-0.0015225,7.2032e-06,-1.7207e-06,3.0861e-07,-1.6956e-05,9.9342e-06,1.0845e-07,1.4062e-06
p2_pop,-1.3949e-06,-5.7052e-07,6.2074e-06,1.6166e-05,-6.4794e-06,1.6835e-05,0.0005944,0.00010952,0.00027946,-5.585e-06,-0.00090751,-0.00017696,-4.9724e-07,1.7923e-07,-4.4836e-06,6.8027e-06,3.685e-08,2.5686e-06
g2_pop,-1.4941e-06,6.2898e-07,1.7238e-05,-9.7635e-06,1.8223e-05,-1.2002e-05,0.00010952,0.00022942,0.0017339,-1.9062e-05,0.0056855,-0.00042055,1.8044e-07,-3.8878e-08,-7.9186e-06,2.2996e-06,4.0559e-08,2.4436e-06
alpha12_pop,-7.0504e-06,6.8154e-05,0.0012831,-0.0012948,0.030082,-0.012446,0.00027946,0.0017339,5.5859,-0.051941,0.32157,0.0040696,0.000214,-1.2835e-05,0.0010636,-0.00088027,-5.9242e-05,-8.0058e-05
alpha13_pop,1.8247e-06,-2.375e-06,-5.5985e-05,7.6203e-05,-0.0019499,0.00039974,-5.585e-06,-1.9062e-05,-0.051941,0.011576,-0.014617,-0.00037022,-2.9625e-06,1.1267e-06,-0.00012119,1.7496e-05,1.4562e-07,4.4152e-05
alpha22_pop,2.6065e-05,3.422e-05,0.00043031,-0.00074263,0.0040055,-0.0015225,-0.00090751,0.0056855,0.32157,-0.014617,1.287,-0.0054495,4.0904e-05,2.6132e-06,-3.868e-05,-2.7012e-05,1.0863e-05,-0.00011302
alpha23_pop,5.1654e-07,-1.0576e-06,8.9129e-06,6.5149e-06,4.2378e-05,7.2032e-06,-0.00017696,-0.00042055,0.0040696,-0.00037022,-0.0054495,0.0020828,-6.4855e-07,-1.0062e-08,3.3922e-05,-1.9397e-05,-1.4598e-08,-1.551e-05
omega_b02,5.7078e-08,4.1604e-08,-1.8406e-07,1.3434e-07,1.213e-06,-1.7207e-06,-4.9724e-07,1.8044e-07,0.000214,-2.9625e-06,4.0904e-05,-6.4855e-07,6.1521e-06,-9.789e-08,2.4003e-07,1.23e-07,-2.1269e-07,1.2577e-07
omega_b12,7.1958e-09,-5.3571e-09,3.2953e-08,-8.9907e-08,-3.2679e-07,3.0861e-07,1.7923e-07,-3.8878e-08,-1.2835e-05,1.1267e-06,2.6132e-06,-1.0062e-08,-9.789e-08,1.5203e-07,7.2779e-08,5.2032e-08,-9.4177e-09,-4.6682e-08
omega_b03,4.5662e-07,-1.5347e-07,-3.2082e-05,5.622e-06,1.631e-05,-1.6956e-05,-4.4836e-06,-7.9186e-06,0.0010636,-0.00012119,-3.868e-05,3.3922e-05,2.4003e-07,7.2779e-08,0.0020042,-1.5745e-05,-5.6731e-08,-5.2205e-05
omega_b13,-1.8171e-07,7.2175e-08,1.757e-05,-3.9779e-06,-9.9254e-06,9.9342e-06,6.8027e-06,2.2996e-06,-0.00088027,1.7496e-05,-2.7012e-05,-1.9397e-05,1.23e-07,5.2032e-08,-1.5745e-05,9.29e-05,-5.4123e-09,-4.4684e-06
a_2,-2.6599e-08,8.2915e-10,7.9533e-08,-3.5773e-08,-1.9912e-07,1.0845e-07,3.685e-08,4.0559e-08,-5.9242e-05,1.4562e-07,1.0863e-05,-1.4598e-08,-2.1269e-07,-9.4177e-09,-5.6731e-08,-5.4123e-09,6.8121e-07,-7.5403e-09
a_3,5.2809e-08,2.3356e-08,-6.0144e-06,2.4918e-06,-5.9851e-06,1.4062e-06,2.5686e-06,2.4436e-06,-8.0058e-05,4.4152e-05,-0.00011302,-1.551e-05,1.2577e-07,-4.6682e-08,-5.2205e-05,-4.4684e-06,-7.5403e-09,0.00018032
