parameter,value
b0_pop,6.23853793423933
b1_pop,-1.02549057051223
b2_pop,-6.81007556559635
a_pop,0.855983155635286
h1_pop,0.00109608251545495
h2_pop,0.118675988723683
alpha1_pop,-5.91255119506395e-19
alpha2_pop,-9.25133066165919e-07
hcov1_pop,0
beta_hcov1_score4C,0.231648940729614
hcov2_pop,0
beta_hcov2_score4C,-0.127579512550327
omega_b0,0.198800661846858
omega_b1,1.4361916404639
omega_b2,1.67964929669974
omega_a,4.88833372498615
e_b,0.52636934386983
