parameter,value,se_sa,rse_sa
b01_pop,4.59168700773079,0.132511399372766,2.88589790962806
b11_pop,-0.139592960307107,0.0134978794856082,9.66945572034051
b21_pop,-0.150897158789242,0.0123134516992444,8.16016139604232
a1_pop,4.3588035901888,0.67219585438511,15.421567879272
b02_pop,7.39729743715264,0.00312156799160178,0.0421987626984393
b12_pop,0.00333874395272237,0.00061729532596025,18.4888489414385
b03_pop,4.20012841834906,0.0588872201868145,1.40203380281313
b13_pop,-0.160064555875164,0.0131871051998998,8.23861668050016
p1_pop,0.0197819904861023,0.0648470695325443,327.80861753069
g1_pop,0.122383791735988,0.0664208622985295,54.2725971767696
p2_pop,0.794672063307622,0.0886448994034575,11.1549031979928
g2_pop,0.125352114527629,0.0247986454060087,19.7831887395428
alpha11_pop,0.20588281787671,0.0911785378708338,44.2866183837813
alpha12_pop,-18.8048031973236,26.3120227528823,139.921819318094
alpha13_pop,0.703213580766968,0.488238357453198,69.4295973238593
alpha21_pop,-0.119422406337434,0.150338039059416,125.887631701732
alpha22_pop,-0.000129212592706456,0.0214067095034315,16567.0458699509
alpha23_pop,-0.242260240893605,0.0698253374423287,28.822450264546
omega_b01,1.85967876781595,0.10128041675696,5.44612427209166
omega_b11,0.100280259453312,0.00983807200458784,9.81057693530216
omega_b21,0.0617394216998426,0.00809443062398119,13.1106356378486
omega_a1,0.922517010971558,0.152102547374386,16.4877769803071
omega_b02,0.0437269718749725,0.00256046738277463,5.85557900074974
omega_b12,0.00559820233531518,0.00041612618964993,7.43321096175603
omega_b03,0.883478451016579,0.0477109469495371,5.40035208494765
omega_b13,0.156480126868908,0.0102017655066714,6.51952788561965
b_1,0.305930253448788,0.00747352628074392,2.44288565661421
a_2,0.049235315638109,0.000805250299192614,1.6355136323516
a_3,0.696326209314932,0.0135750977129055,1.94953134483637
