id,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,b04_SAEM,b14_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha12_SAEM,alpha13_SAEM,alpha14_SAEM,alpha22_SAEM,alpha23_SAEM,alpha24_SAEM
33,7.39239,0.00253415,3.91624,-0.0901822,7.32488,-0.0010935,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
34,7.4127,-0.00263561,4.62045,-0.118654,7.56654,-0.0938456,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
35,7.39687,0.00874654,5.77468,-0.181969,5.73361,0.0864028,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
36,7.48392,0.00417316,3.10239,-0.1272,10.1822,-0.0334681,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
37,7.38759,0.00295537,3.7484,-0.17682,3.22999,0.0224164,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
38,7.39051,0.0072325,5.98593,0.0254242,3.91579,0.0569876,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
39,7.43915,0.00376137,3.86535,-0.174622,8.67021,0.0620772,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
40,7.38234,0.00261214,3.84775,-0.124702,4.37703,0.015401,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
41,7.40917,0.00397197,4.09744,-0.181639,4.25407,0.0419813,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
42,7.34412,0.00332902,4.33297,-0.153779,2.88394,-0.057715,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
43,7.44519,0.0117911,5.07333,-0.112536,8.6115,0.0733159,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
44,7.42451,0.00231421,4.93645,-0.0675412,6.02137,-0.0257081,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
45,7.42344,0.00138519,4.60658,-0.101767,5.29885,-0.0154656,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
46,7.41377,0.00423529,4.01474,-0.200514,7.0965,0.03634,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
47,7.41123,0.00306202,4.17782,-0.166221,5.40836,0.024699,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
48,7.41773,0.00527834,3.03063,-0.193846,6.53383,0.0388298,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
49,7.42822,0.00391959,3.89839,-0.160122,6.23893,0.0172374,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
50,7.41502,0.00263219,4.97272,-0.121346,2.36461,0.0199774,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
51,7.43092,0.00618354,4.63252,-0.116235,5.76796,0.141156,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
52,7.4101,0.00328225,3.03596,0.119995,5.48297,0.0508652,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
53,7.39664,0.00283769,4.95607,-0.165928,7.40757,0.0307057,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
54,7.48332,0.0104834,4.50797,0.056716,9.65647,0.0218199,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
55,7.42285,0.00555428,2.80024,-0.121029,5.47372,0.111272,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
56,7.39273,0.00258969,4.42749,-0.171671,4.22778,0.0277356,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
57,7.38021,-0.000967645,4.31539,-0.123334,2.89853,-0.00477747,0.0851436,0.127286,0.726596,0.134247,-5.86556,0.365866,-0.070482,-4.03621e-11,-0.137197,0.0771229
