rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha22,eta_alpha23,eta_alpha24
1,1,-0.0145360254417737,0.000509933616026312,0.162457163008841,-0.00729037687449377,-1.145363476585,-0.0544290831209189,0,0,0,0,0,0,0,0,0,0
2,1,-0.0232341374937102,0.00169401928352498,0.419235807798343,-0.0207377967275569,-0.461424398129876,-0.101566371573849,0,0,0,0,0,0,0,0,0,0
3,1,-0.000291501569991581,-0.00196134281041177,0.421212767089228,0.000677109571840778,-1.02013430034271,-0.0791080657877839,0,0,0,0,0,0,0,0,0,0
1,2,-0.0559867747485541,-0.00315567472682332,0.575510612024045,-0.316286930639745,-2.02998597704381,-0.0415382447833657,0,0,0,0,0,0,0,0,0,0
2,2,-0.0870897013834462,-0.00138558717588986,-0.320888845128903,-0.273231985255994,-1.03070006332857,-0.103773772644836,0,0,0,0,0,0,0,0,0,0
3,2,-0.0706456988150208,-0.00224451456054474,0.513468916286477,-0.310179120240395,-1.57312205275646,-0.0718099143818738,0,0,0,0,0,0,0,0,0,0
1,3,0.0641217979157434,0.00321048520249108,-0.889854105141074,-0.136567685482905,3.55855271041673,-0.0677027023007926,0,0,0,0,0,0,0,0,0,0
2,3,0.0199860021815637,0.00466974928202073,-1.17023010909121,-0.144356579433429,1.80428940647815,0.0500712918852218,0,0,0,0,0,0,0,0,0,0
3,3,0.0847665739919039,-0.00146940846997483,-0.707440291628687,-0.184785945843469,3.35770279366863,-0.0228271861151601,0,0,0,0,0,0,0,0,0,0
1,4,0.00465752649265205,-0.00206100411902942,-0.190164913516002,0.0498710878481493,0.159717656209356,0.0978481877916092,0,0,0,0,0,0,0,0,0,0
2,4,0.00375739440519407,-0.00350362107600315,-0.175077088205549,0.0894347974167015,0.820400385781559,0.0864645035688817,0,0,0,0,0,0,0,0,0,0
3,4,-0.00726132252840639,-0.00263848997741515,0.618602447365062,-0.143357705533751,0.642068851831319,0.00103437594308926,0,0,0,0,0,0,0,0,0,0
1,5,-0.0388154970651113,-0.00123273561518619,0.0701349193032508,-0.128660209042224,-0.904463014388729,-0.107746955134288,0,0,0,0,0,0,0,0,0,0
2,5,-0.0656265575072323,-0.00189827321173332,-0.0808268450865812,-0.00880376168762886,-2.03724849307569,-0.113495911560859,0,0,0,0,0,0,0,0,0,0
3,5,-0.0249529456683479,-0.00601493523072676,0.381125751274741,-0.125548820896295,-1.81716883473188,-0.0923363231738922,0,0,0,0,0,0,0,0,0,0
1,6,-0.00695179281839575,-0.0110460309384862,-1.29812869017502,0.0303463265267467,-0.785152953332495,-0.0617416699845182,0,0,0,0,0,0,0,0,0,0
2,6,-0.00416935810606489,-0.00299808542771043,-1.13035774872735,-0.0391857481655424,-0.255790921068079,-0.106785228249754,0,0,0,0,0,0,0,0,0,0
3,6,-0.0109067626982648,-0.0053195752731293,-1.28230506808233,-0.0369880795461134,-0.958123542225517,-0.00909777740660574,0,0,0,0,0,0,0,0,0,0
1,7,0.0265064606208245,-0.0056289521903968,0.311646743023179,0.0334219798692843,0.431843118621511,-0.0808397570546673,0,0,0,0,0,0,0,0,0,0
2,7,0.000125258057702915,-0.00390767067464611,0.0326965614461701,0.0661713741846904,0.142876502821965,-0.191444777207826,0,0,0,0,0,0,0,0,0,0
3,7,-0.00895244480120727,0.00152385655736348,0.185981784350412,-0.126626586986771,0.165285913275343,-0.0674636557344535,0,0,0,0,0,0,0,0,0,0
1,8,0.0562023773661968,0.00277920707352516,-0.414338145707345,-0.273548243294025,1.73895403608332,0.0282963734459623,0,0,0,0,0,0,0,0,0,0
2,8,0.0350062059375045,0.00384922029805841,-0.242956824241475,-0.285135832083879,1.60200155078025,0.0187701423245906,0,0,0,0,0,0,0,0,0,0
3,8,0.0228882787134674,0.00410841723437096,-0.167396728062053,-0.287057644021026,1.92194006851381,0.0260129187568963,0,0,0,0,0,0,0,0,0,0
