id,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_b04_SAEM,eta_b14_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha14_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_alpha24_SAEM
1,-0.00419862,-0.00114701,0.358102,0.00394546,-0.80625,-0.0710442,0,0,0,0,0,0,0,0,0,0
2,-0.0689593,-0.00256362,0.165857,-0.289121,-2.03997,-0.0618279,0,0,0,0,0,0,0,0,0,0
3,0.0592045,0.00240486,-0.920611,-0.117973,2.7706,0.00299545,0,0,0,0,0,0,0,0,0,0
4,-0.00772837,0.00138841,-0.175811,0.0498425,0.483492,0.0187414,0,0,0,0,0,0,0,0,0,0
5,-0.0470544,-0.00555652,-0.0219829,-0.0595047,-1.88399,-0.0358692,0,0,0,0,0,0,0,0,0,0
6,-0.0200273,-0.00438742,-1.70183,0.0633582,-0.741265,-0.0651061,0,0,0,0,0,0,0,0,0,0
7,-0.00376624,-0.00316142,-0.144255,-0.0165892,-0.0657504,-0.0533636,0,0,0,0,0,0,0,0,0,0
8,0.0411687,0.00326603,-0.512351,-0.272417,1.64969,0.0278434,0,0,0,0,0,0,0,0,0,0
9,-0.027137,-0.0013002,-1.2093,-0.1515,-1.3937,-0.0133371,0,0,0,0,0,0,0,0,0,0
10,-0.000438075,0.000608742,-0.17035,0.131391,1.11962,-0.0321891,0,0,0,0,0,0,0,0,0,0
11,0.0463505,0.00143512,-1.11431,-0.0171501,2.25952,0.0144201,0,0,0,0,0,0,0,0,0,0
12,-0.0437916,-0.00205943,0.83653,0.0303165,-2.23588,-0.0298518,0,0,0,0,0,0,0,0,0,0
13,0.0169103,0.00253606,0.622506,0.0693529,0.127698,-0.00137247,0,0,0,0,0,0,0,0,0,0
14,-0.0234535,0.000253852,0.0368073,0.0349896,-1.0282,-0.0147932,0,0,0,0,0,0,0,0,0,0
15,-0.00619141,-0.000759431,0.214054,0.0242174,1.9418,0.000748644,0,0,0,0,0,0,0,0,0,0
16,0.0129464,0.00329134,-0.433169,-0.162674,0.0571306,-0.0914552,0,0,0,0,0,0,0,0,0,0
17,0.030735,-0.00194575,0.0695218,-0.185154,0.845518,-0.0379112,0,0,0,0,0,0,0,0,0,0
18,0.0667099,-0.000950122,0.502924,-0.0414048,2.76649,0.0688268,0,0,0,0,0,0,0,0,0,0
19,0.0247893,0.00201144,-0.127366,0.0287879,-0.265349,0.0286808,0,0,0,0,0,0,0,0,0,0
20,-0.0290848,-0.00192066,0.896097,0.0149997,-0.652767,-0.00808451,0,0,0,0,0,0,0,0,0,0
21,0.00374992,0.00219619,0.641595,-0.156921,3.37255,-0.0800344,0,0,0,0,0,0,0,0,0,0
22,-0.0462227,-0.00416643,-0.215188,0.0705991,-2.24285,-0.0304226,0,0,0,0,0,0,0,0,0,0
23,0.0096821,-0.000247721,-0.00264343,-0.0675187,-1.0384,0.0546063,0,0,0,0,0,0,0,0,0,0
24,0.00370509,-5.77669e-05,-0.864385,-0.0162965,-1.09356,-0.00494858,0,0,0,0,0,0,0,0,0,0
25,-0.00080769,-0.000574149,-0.765965,-0.0445718,2.45712,-0.000573466,0,0,0,0,0,0,0,0,0,0
26,-0.013986,-0.000163742,-2.35324,0.0566306,-0.871906,0.00116284,0,0,0,0,0,0,0,0,0,0
27,-0.0359581,-0.000500785,-1.19142,-0.0438526,-1.86271,-0.00629475,0,0,0,0,0,0,0,0,0,0
28,0.0120242,0.00620685,-0.0617402,0.0685898,-0.264738,0.0376181,0,0,0,0,0,0,0,0,0,0
29,0.00360148,0.00020723,-1.14851,-0.00504217,-0.725189,-0.00143725,0,0,0,0,0,0,0,0,0,0
30,-0.00744982,-0.000176903,-1.29345,-0.00723127,0.46361,0.00473331,0,0,0,0,0,0,0,0,0,0
31,0.00865059,4.6718e-05,0.592642,0.0371521,-0.74745,-0.00259832,0,0,0,0,0,0,0,0,0,0
32,0.0376969,0.0011014,0.712233,-0.0659344,3.43317,0.00620167,0,0,0,0,0,0,0,0,0,0
33,-0.00789853,-0.000400002,-0.26634,0.0672488,2.09357,-0.0231985,0,0,0,0,0,0,0,0,0,0
34,0.0124098,-0.00556977,0.437868,0.0387772,2.33522,-0.115951,0,0,0,0,0,0,0,0,0,0
35,-0.00342156,0.00581239,1.59209,-0.0245383,0.502293,0.0642978,0,0,0,0,0,0,0,0,0,0
36,0.0836248,0.001239,-1.0802,0.0302307,4.95084,-0.0555731,0,0,0,0,0,0,0,0,0,0
37,-0.0127007,2.12167e-05,-0.434186,-0.019389,-2.00132,0.000311325,0,0,0,0,0,0,0,0,0,0
38,-0.00978152,0.00429835,1.80334,0.182855,-1.31553,0.0348826,0,0,0,0,0,0,0,0,0,0
39,0.0388554,0.000827219,-0.317235,-0.0171908,3.43889,0.0399722,0,0,0,0,0,0,0,0,0,0
40,-0.0179524,-0.000322014,-0.334834,0.0327288,-0.854288,-0.00670399,0,0,0,0,0,0,0,0,0,0
