id,b01_SAEM,b11_SAEM,b21_SAEM,a1_SAEM,b02_SAEM,b12_SAEM,b03_SAEM,b13_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha11_SAEM,alpha12_SAEM,alpha13_SAEM,alpha21_SAEM,alpha22_SAEM,alpha23_SAEM,b01_mean,b11_mean,b21_mean,a1_mean,b02_mean,b12_mean,b03_mean,b13_mean,p1_mean,g1_mean,p2_mean,g2_mean,alpha11_mean,alpha12_mean,alpha13_mean,alpha21_mean,alpha22_mean,alpha23_mean,b01_mode,b11_mode,b21_mode,a1_mode,b02_mode,b12_mode,b03_mode,b13_mode,p1_mode,g1_mode,p2_mode,g2_mode,alpha11_mode,alpha12_mode,alpha13_mode,alpha21_mode,alpha22_mode,alpha23_mode,b01_sd,b11_sd,b21_sd,a1_sd,b02_sd,b12_sd,b03_sd,b13_sd,p1_sd,g1_sd,p2_sd,g2_sd,alpha11_sd,alpha12_sd,alpha13_sd,alpha21_sd,alpha22_sd,alpha23_sd
1,5.62283,-0.275706,-0.117786,10.5633,7.33583,0.00423243,3.84863,-0.108827,0.0378791,0.123586,0.74633,0.126278,0.153822,-10.9086,0.667853,-0.0874756,4.11708,-0.175494,6.08165,-0.288839,-0.122956,12.1195,7.32537,0.00478086,3.64034,-0.0977581,0.0376828,0.123404,0.746368,0.126394,0.154236,-10.9526,0.669769,-0.0875769,4.11298,-0.176083,5.79446,-0.26762,-0.120517,12.4615,7.3319,0.00446855,3.83315,-0.108381,0.0376828,0.123404,0.746368,0.126394,0.154236,-10.9526,0.669769,-0.0875769,4.11298,-0.176083,1.28942,0.0584363,0.0503149,6.05606,0.0150861,0.000837805,0.37435,0.0181324,0,0,0,0,0,0,0,0,0,0
2,3.91333,-0.185137,-0.115278,5.28117,7.45663,-0.00122006,2.99692,-0.0852719,0.0378791,0.123586,0.74633,0.126278,0.153822,-10.9086,0.667853,-0.0874756,4.11708,-0.175494,3.74683,-0.205079,-0.134524,5.07975,7.45734,-0.00116251,3.12043,-0.0930404,0.0376828,0.123404,0.746368,0.126394,0.154236,-10.9526,0.669769,-0.0875769,4.11298,-0.176083,3.91496,-0.152035,-0.093296,5.68105,7.45622,-0.00113684,3.0769,-0.0918467,0.0376828,0.123404,0.746368,0.126394,0.154236,-10.9526,0.669769,-0.0875769,4.11298,-0.176083,0.442044,0.0609848,0.0535709,4.19136,0.0153206,0.000833348,0.251502,0.0144384,0,0,0,0,0,0,0,0,0,0
3,2.63963,-0.185064,-0.143349,4.36563,7.36533,0.00171924,4.36725,-0.239228,0.0378791,0.123586,0.74633,0.126278,0.153822,-10.9086,0.667853,-0.0874756,4.11708,-0.175494,2.84535,-0.200322,-0.150496,6.22798,7.36658,0.00158944,4.32913,-0.233096,0.0376828,0.123404,0.746368,0.126394,0.154236,-10.9526,0.669769,-0.0875769,4.11298,-0.176083,2.55371,-0.182294,-0.129394,5.42493,7.36402,0.00218071,4.36486,-0.240059,0.0376828,0.123404,0.746368,0.126394,0.154236,-10.9526,0.669769,-0.0875769,4.11298,-0.176083,0.773156,0.0717625,0.0645179,5.41786,0.0246975,0.00504649,0.369965,0.111056,0,0,0,0,0,0,0,0,0,0
4,4.98009,-0.151542,-0.145305,6.2839,7.38251,0.0032867,4.1985,-0.17105,0.0378791,0.123586,0.74633,0.126278,0.153822,-10.9086,0.667853,-0.0874756,4.11708,-0.175494,4.75272,-0.165507,-0.13511,7.32132,7.38153,0.0033986,4.14947,-0.198476,0.0376828,0.123404,0.746368,0.126394,0.154236,-10.9526,0.669769,-0.0875769,4.11298,-0.176083,4.51722,-0.151846,-0.14747,4.87501,7.38155,0.00319951,4.20613,-0.1645,0.0376828,0.123404,0.746368,0.126394,0.154236,-10.9526,0.669769,-0.0875769,4.11298,-0.176083,1.09997,0.0896623,0.0698331,6.51277,0.0285733,0.00450181,0.556479,0.150355,0,0,0,0,0,0,0,0,0,0
5,6.39426,-0.154376,-0.158881,5.33507,7.39245,0.0030603,4.56385,-0.0760933,0.0378791,0.123586,0.74633,0.126278,0.153822,-10.9086,0.667853,-0.0874756,4.11708,-0.175494,6.359,-0.161455,-0.159824,5.27351,7.39199,0.0040436,4.51733,-0.065093,0.0376828,0.123404,0.746368,0.126394,0.154236,-10.9526,0.669769,-0.0875769,4.11298,-0.176083,6.05125,-0.144286,-0.15059,4.87052,7.39154,0.00347967,4.54481,-0.0623928,0.0376828,0.123404,0.746368,0.126394,0.154236,-10.9526,0.669769,-0.0875769,4.11298,-0.176083,0.88534,0.0877993,0.0643432,3.8945,0.0227174,0.00437516,0.447362,0.118503,0,0,0,0,0,0,0,0,0,0
6,6.19057,-0.0925627,-0.16479,6.41883,7.42613,0.00244732,6.31856,-0.0584869,0.0378791,0.123586,0.74633,0.126278,0.153822,-10.9086,0.667853,-0.0874756,4.11708,-0.175494,6.15624,-0.110708,-0.157154,6.34201,7.42562,0.00165795,6.30404,-0.0606337,0.0376828,0.123404,0.746368,0.126394,0.154236,-10.9526,0.669769,-0.0875769,4.11298,-0.176083,5.89755,-0.108195,-0.162488,5.30718,7.42424,0.00271665,6.28365,-0.0526849,0.0376828,0.123404,0.746368,0.126394,0.154236,-10.9526,0.669769,-0.0875769,4.11298,-0.176083,1.00861,0.100979,0.0602481,4.36038,0.0249157,0.00475929,0.431515,0.141726,0,0,0,0,0,0,0,0,0,0
7,-1.07897,-0.0344614,-0.206398,13.4698,7.38547,0.00267167,3.39385,-0.142012,0.0378791,0.123586,0.74633,0.126278,0.153822,-10.9086,0.667853,-0.0874756,4.11708,-0.175494,-1.08059,-0.0472131,-0.22129,13.4324,7.38854,0.00353034,3.3813,-0.107243,0.0376828,0.123404,0.746368,0.126394,0.154236,-10.9526,0.669769,-0.0875769,4.11298,-0.176083,-0.936962,-0.0278346,-0.186057,10.4536,7.38673,0.00278349,3.37547,-0.130011,0.0376828,0.123404,0.746368,0.126394,0.154236,-10.9526,0.669769,-0.0875769,4.11298,-0.176083,0.252672,0.0586756,0.0513127,5.87742,0.0317379,0.00443138,0.408866,0.150052,0,0,0,0,0,0,0,0,0,0
8,7.02224,-0.168021,-0.141442,4.98239,7.42455,0.00489132,4.09635,-0.157144,0.0378791,0.123586,0.74633,0.126278,0.153822,-10.9086,0.667853,-0.0874756,4.11708,-0.175494,7.09555,-0.159264,-0.134656,5.76068,7.42636,0.00475079,4.09674,-0.156634,0.0376828,0.123404,0.746368,0.126394,0.154236,-10.9526,0.669769,-0.0875769,4.11298,-0.176083,6.87037,-0.177597,-0.136097,5.19455,7.42568,0.00487074,4.14043,-0.173391,0.0376828,0.123404,0.746368,0.126394,0.154236,-10.9526,0.669769,-0.0875769,4.11298,-0.176083,0.895985,0.0925162,0.0591568,5.64011,0.0245092,0.00464156,0.477214,0.128139,0,0,0,0,0,0,0,0,0,0
9,3.81899,-0.153341,-0.148571,5.08785,7.4169,0.00259089,4.34037,-0.205182,0.0378791,0.123586,0.74633,0.126278,0.153822,-10.9086,0.667853,-0.0874756,4.11708,-0.175494,3.8511,-0.170005,-0.150611,5.08727,7.41189,0.00287242,4.37721,-0.211836,0.0376828,0.123404,0.746368,0.126394,0.154236,-10.9526,0.669769,-0.0875769,4.11298,-0.176083,3.52638,-0.151453,-0.146975,4.87557,7.41777,0.00208475,4.34073,-0.202917,0.0376828,0.123404,0.746368,0.126394,0.154236,-10.9526,0.669769,-0.0875769,4.11298,-0.176083,0.86918,0.0815909,0.0636616,3.74751,0.0206996,0.00440343,0.387106,0.101146,0,0,0,0,0,0,0,0,0,0
10,5.6569,-0.212214,-0.0993999,6.94161,7.40311,0.000753672,4.98416,-0.204812,0.0378791,0.123586,0.74633,0.126278,0.153822,-10.9086,0.667853,-0.0874756,4.11708,-0.175494,5.75983,-0.242518,-0.101079,6.04318,7.41348,-0.000413596,5.08612,-0.213113,0.0376828,0.123404,0.746368,0.126394,0.154236,-10.9526,0.669769,-0.0875769,4.11298,-0.176083,6.11987,-0.211823,-0.090906,8.80346,7.40561,0.00035717,5.00741,-0.204112,0.0376828,0.123404,0.746368,0.126394,0.154236,-10.9526,0.669769,-0.0875769,4.11298,-0.176083,0.765257,0.0738085,0.0464975,2.5052,0.0180425,0.0019864,0.38344,0.0389323,0,0,0,0,0,0,0,0,0,0
