id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM,eta_b01_mean,eta_b11_mean,eta_b21_mean,eta_a1_mean,eta_b02_mean,eta_b12_mean,eta_b03_mean,eta_b13_mean,eta_p1_mean,eta_g1_mean,eta_p2_mean,eta_g2_mean,eta_alpha11_mean,eta_alpha12_mean,eta_alpha13_mean,eta_alpha21_mean,eta_alpha22_mean,eta_alpha23_mean,eta_b01_mode,eta_b11_mode,eta_b21_mode,eta_a1_mode,eta_b02_mode,eta_b12_mode,eta_b03_mode,eta_b13_mode,eta_p1_mode,eta_g1_mode,eta_p2_mode,eta_g2_mode,eta_alpha11_mode,eta_alpha12_mode,eta_alpha13_mode,eta_alpha21_mode,eta_alpha22_mode,eta_alpha23_mode,eta_b01_sd,eta_b11_sd,eta_b21_sd,eta_a1_sd,eta_b02_sd,eta_b12_sd,eta_b03_sd,eta_b13_sd,eta_p1_sd,eta_g1_sd,eta_p2_sd,eta_g2_sd,eta_alpha11_sd,eta_alpha12_sd,eta_alpha13_sd,eta_alpha21_sd,eta_alpha22_sd,eta_alpha23_sd
1,0.97645,-0.130404,0.0321008,0.648143,-0.064941,0.0012689,-0.392514,0.0442927,0,0,0,0,0,0,0,0,0,0,1.43302,-0.143264,0.027113,0.773589,-0.0753877,0.00182248,-0.60127,0.0555382,0,0,0,0,0,0,0,0,0,0,1.14583,-0.122045,0.029552,0.939824,-0.0688609,0.00151017,-0.408461,0.0449152,0,0,0,0,0,0,0,0,0,0,1.28942,0.0584363,0.0503149,0.571178,0.0150861,0.000837805,0.37435,0.0181324,0,0,0,0,0,0,0,0,0,0
2,-0.733049,-0.0398356,0.034609,-0.104006,0.0558522,-0.00418359,-1.24422,0.0678474,0,0,0,0,0,0,0,0,0,0,-0.901799,-0.0595043,0.015545,-0.154525,0.0565851,-0.00412089,-1.12118,0.0602559,0,0,0,0,0,0,0,0,0,0,-0.73367,-0.0064599,0.0567726,0.154317,0.0554624,-0.00409522,-1.16471,0.0614496,0,0,0,0,0,0,0,0,0,0,0.442044,0.0609848,0.0535709,0.593732,0.0153206,0.000833348,0.251502,0.0144384,0,0,0,0,0,0,0,0,0,0
3,-2.00675,-0.0397619,0.00653827,-0.360215,-0.0354466,-0.00124429,0.126111,-0.0861091,0,0,0,0,0,0,0,0,0,0,-1.80328,-0.0547471,-0.0004277,-0.0299499,-0.0341835,-0.00136894,0.0875151,-0.0797999,0,0,0,0,0,0,0,0,0,0,-2.09492,-0.0367193,0.020675,0.108186,-0.036739,-0.000777675,0.123253,-0.0867624,0,0,0,0,0,0,0,0,0,0,0.773156,0.0717625,0.0645179,0.743521,0.0246975,0.00504649,0.369965,0.111056,0,0,0,0,0,0,0,0,0,0
4,0.333711,-0.00624088,0.00458169,-0.038955,-0.0182661,0.000323172,-0.0426412,-0.0179307,0,0,0,0,0,0,0,0,0,0,0.104094,-0.0199326,0.014959,0.112262,-0.0192302,0.000440214,-0.0921401,-0.0451794,0,0,0,0,0,0,0,0,0,0,-0.131409,-0.00627111,0.00259846,0.00130344,-0.0192059,0.00024113,-0.035479,-0.0112035,0,0,0,0,0,0,0,0,0,0,1.09997,0.0896623,0.0698331,0.75776,0.0285733,0.00450181,0.556479,0.150355,0,0,0,0,0,0,0,0,0,0
5,1.74788,-0.00907406,-0.00899391,-0.168764,-0.00831989,9.67691e-05,0.322711,0.077026,0,0,0,0,0,0,0,0,0,0,1.71037,-0.0158799,-0.00975583,-0.137388,-0.00877155,0.00108522,0.27572,0.0882034,0,0,0,0,0,0,0,0,0,0,1.40262,0.00128915,-0.000521097,0.000382196,-0.00921554,0.000521287,0.303204,0.0909035,0,0,0,0,0,0,0,0,0,0,0.88534,0.0877993,0.0643432,0.65707,0.0227174,0.00437516,0.447362,0.118503,0,0,0,0,0,0,0,0,0,0
6,1.54419,0.052739,-0.0149029,0.0426795,0.0253574,-0.000516214,2.07742,0.0946324,0,0,0,0,0,0,0,0,0,0,1.50761,0.034867,-0.00708505,0.0214686,0.0248576,-0.00130043,2.06242,0.0926627,0,0,0,0,0,0,0,0,0,0,1.24892,0.0373803,-0.0124194,0.0862428,0.0234778,-0.000241729,2.04204,0.100611,0,0,0,0,0,0,0,0,0,0,1.00861,0.100979,0.0602481,0.730149,0.0249157,0.00475929,0.431515,0.141726,0,0,0,0,0,0,0,0,0,0
7,-5.72535,0.11084,-0.0565109,0.899618,-0.0153027,-0.000291857,-0.847288,0.0111074,0,0,0,0,0,0,0,0,0,0,-5.72922,0.0983617,-0.0712218,0.922226,-0.0122156,0.000571953,-0.860306,0.0460534,0,0,0,0,0,0,0,0,0,0,-5.58559,0.11774,-0.0359886,0.764126,-0.0140291,-0.00017489,-0.86614,0.0232851,0,0,0,0,0,0,0,0,0,0,0.252672,0.0586756,0.0513127,0.431544,0.0317379,0.00443138,0.408866,0.150052,0,0,0,0,0,0,0,0,0,0
8,2.37586,-0.0227195,0.00844521,-0.187308,0.023773,0.00192778,-0.144787,-0.00402436,0,0,0,0,0,0,0,0,0,0,2.44692,-0.0136892,0.0154124,-0.117051,0.025604,0.00179241,-0.144866,-0.00333791,0,0,0,0,0,0,0,0,0,0,2.22174,-0.0320218,0.013972,0.0647922,0.0249232,0.00191236,-0.101184,-0.0200945,0,0,0,0,0,0,0,0,0,0,0.895985,0.0925162,0.0591568,0.734661,0.0245092,0.00464156,0.477214,0.128139,0,0,0,0,0,0,0,0,0,0
9,-0.827395,-0.00803906,0.0013163,-0.171166,0.0161245,-0.000372641,0.099226,-0.0520628,0,0,0,0,0,0,0,0,0,0,-0.797532,-0.0244298,-0.000542606,-0.16634,0.0111268,-8.59646e-05,0.135598,-0.0585395,0,0,0,0,0,0,0,0,0,0,-1.12225,-0.00587849,0.00309314,0.00141836,0.0170126,-0.000873628,0.0991228,-0.0496202,0,0,0,0,0,0,0,0,0,0,0.86918,0.0815909,0.0636616,0.64423,0.0206996,0.00440343,0.387106,0.101146,0,0,0,0,0,0,0,0,0,0
10,1.01051,-0.0669119,0.0504871,0.17483,0.00233207,-0.00220986,0.743019,-0.0516922,0,0,0,0,0,0,0,0,0,0,1.1112,-0.096943,0.04899,0.12713,0.0127166,-0.00337198,0.844509,-0.0598166,0,0,0,0,0,0,0,0,0,0,1.47124,-0.0662484,0.0591626,0.592327,0.00485278,-0.00260121,0.765797,-0.0508155,0,0,0,0,0,0,0,0,0,0,0.765257,0.0738085,0.0464975,0.436675,0.0180425,0.0019864,0.38344,0.0389323,0,0,0,0,0,0,0,0,0,0
11,-2.07666,0.0270379,-0.00229842,-0.0117047,0.0104835,-0.00165798,0.978332,0.0563916,0,0,0,0,0,0,0,0,0,0,-2.46314,0.029096,0.00802567,0.00353207,0.00830057,-0.000986744,0.958168,0.0336799,0,0,0,0,0,0,0,0,0,0,-3.82217,0.0127237,-0.00432,0.0117815,0.00982858,-0.00144404,1.00104,0.0558935,0,0,0,0,0,0,0,0,0,0,1.78763,0.11225,0.0633414,0.790934,0.0314448,0.0056857,0.539844,0.148216,0,0,0,0,0,0,0,0,0,0
12,-2.03475,-0.0229583,0.107432,0.0637106,-0.00889923,-0.00150376,0.372102,-0.113467,0,0,0,0,0,0,0,0,0,0,-2.19757,-0.00119518,0.100525,0.221115,-0.00632249,-0.00204579,0.303231,-0.101046,0,0,0,0,0,0,0,0,0,0,-2.1322,0.0107768,0.101723,0.254605,-0.0112378,-0.00153449,0.317362,-0.106146,0,0,0,0,0,0,0,0,0,0,0.506655,0.0307567,0.0148894,0.385049,0.0223027,0.00262867,0.411798,0.0507948,0,0,0,0,0,0,0,0,0,0
13,0.208981,0.191547,-0.00819159,0.632097,-0.0166065,0.00101012,-0.850396,0.00522276,0,0,0,0,0,0,0,0,0,0,0.517879,0.19964,-0.0132844,0.468315,-0.0243553,0.00129181,-0.742656,-0.00120563,0,0,0,0,0,0,0,0,0,0,-0.116393,0.192285,-0.00184386,0.610456,-0.0179108,0.0010395,-0.805292,0.0028605,0,0,0,0,0,0,0,0,0,0,1.2097,0.0145425,0.059625,0.290535,0.0169718,0.00104199,0.399615,0.0221763,0,0,0,0,0,0,0,0,0,0
14,0.779184,0.178535,-0.0218484,0.640004,0.0322878,-0.00369378,0.147402,0.0996254,0,0,0,0,0,0,0,0,0,0,0.534678,0.17692,-0.0243816,0.708002,0.0322587,-0.00294871,0.245243,0.0898799,0,0,0,0,0,0,0,0,0,0,-0.147633,0.180056,-0.0145061,0.849672,0.0314875,-0.00294334,0.125368,0.109344,0,0,0,0,0,0,0,0,0,0,1.40483,0.0750363,0.0602382,0.65911,0.0226938,0.00443892,0.427101,0.13214,0,0,0,0,0,0,0,0,0,0
15,-0.443023,0.0368385,-0.0104164,-0.0167969,-0.0114624,-0.00286673,0.360035,-0.0201951,0,0,0,0,0,0,0,0,0,0,-0.24118,0.0207045,-0.0366572,-0.0721467,-0.0150605,-0.00256392,0.263114,-0.00284827,0,0,0,0,0,0,0,0,0,0,-1.17163,0.0692206,-0.0217621,0.268778,-0.0133029,-0.00279673,0.288742,-0.00799264,0,0,0,0,0,0,0,0,0,0,1.2175,0.082514,0.0648246,0.637536,0.0196996,0.00377797,0.410268,0.0854123,0,0,0,0,0,0,0,0,0,0
