rep,id,b01,b11,b21,a1,b02,b12,b03,b13,b04,b14,b06,b16,p1,g1,p2,g2,alpha11,alpha12,alpha13,alpha14,alpha16,alpha21,alpha22,alpha23,alpha24,alpha26
1,1,5.58288726398974,-0.339667996492433,-0.105213483500374,4.83315702384574,7.46679648886418,0.000758479495462858,4.47829109091222,-0.16552817485048,4.78251728908254,-0.162940094227439,4.60486894551497,-0.0717615670623903,0.0393887234425703,0.156803028366721,0.77086299114878,0.120942206637274,0.147974519872966,-7.8508570564408,0.704654330192,0.000245326345852726,1.70538967823601e-05,-0.112924207114438,-4.92028842395214e-06,-0.292954282525405,0.0496554060111134,0.000202737734046444
2,1,4.73494355134408,-0.335977725275987,-0.0834243060579947,59.7394628337949,7.4711306936883,0.000429664677031967,4.91976345041232,-0.334414538881041,4.10818780849464,0.0610133536830129,5.35017031245715,-0.154527469256378,0.0393887234425703,0.156803028366721,0.77086299114878,0.120942206637274,0.147974519872966,-7.8508570564408,0.704654330192,0.000245326345852726,1.70538967823601e-05,-0.112924207114438,-4.92028842395214e-06,-0.292954282525405,0.0496554060111134,0.000202737734046444
3,1,5.30800579489345,-0.304602082267915,-0.0407018209505964,7.48199033815868,7.46129227535236,0.00754931978014334,4.59053828904704,-0.0293821199679791,3.49073734408077,0.124465623793508,4.17584324761718,-0.15930362160216,0.0393887234425703,0.156803028366721,0.77086299114878,0.120942206637274,0.147974519872966,-7.8508570564408,0.704654330192,0.000245326345852726,1.70538967823601e-05,-0.112924207114438,-4.92028842395214e-06,-0.292954282525405,0.0496554060111134,0.000202737734046444
1,2,5.28671715271527,-0.158862303837907,-0.212213113758527,14.2268512091895,7.34930167335267,0.00964596292669937,4.94526844042119,-0.0816079970697442,4.87456140352969,0.0426560486983395,6.05376445131333,-0.235467830454456,0.0393887234425703,0.156803028366721,0.77086299114878,0.120942206637274,0.147974519872966,-7.8508570564408,0.704654330192,0.000245326345852726,1.70538967823601e-05,-0.112924207114438,-4.92028842395214e-06,-0.292954282525405,0.0496554060111134,0.000202737734046444
2,2,6.13264681519918,-0.0938753694499875,-0.0534465876569936,2.68629502451328,7.40222789973292,0.00837939570750117,5.14360663747249,-0.106697456800343,5.28700754809848,0.0128204230727044,5.84117376530545,-0.228255803897389,0.0393887234425703,0.156803028366721,0.77086299114878,0.120942206637274,0.147974519872966,-7.8508570564408,0.704654330192,0.000245326345852726,1.70538967823601e-05,-0.112924207114438,-4.92028842395214e-06,-0.292954282525405,0.0496554060111134,0.000202737734046444
3,2,6.66896981257352,-0.217728971104619,-0.104485361584303,2.90874257880867,7.35798279104803,0.0094908620070384,4.65190012005991,-0.0840983073310109,5.41639855204977,0.031085826348874,6.156652747647,-0.239176784206302,0.0393887234425703,0.156803028366721,0.77086299114878,0.120942206637274,0.147974519872966,-7.8508570564408,0.704654330192,0.000245326345852726,1.70538967823601e-05,-0.112924207114438,-4.92028842395214e-06,-0.292954282525405,0.0496554060111134,0.000202737734046444
1,3,2.39475769480905,-0.0962339630155983,-0.134365891354488,3.74089773620072,7.38473638247676,-0.00160207519049988,4.24643368815123,-0.133294569216022,5.31001708901817,-0.0169597872783485,5.33246116028874,0.021389167133182,0.0393887234425703,0.156803028366721,0.77086299114878,0.120942206637274,0.147974519872966,-7.8508570564408,0.704654330192,0.000245326345852726,1.70538967823601e-05,-0.112924207114438,-4.92028842395214e-06,-0.292954282525405,0.0496554060111134,0.000202737734046444
2,3,1.86125338488232,-0.224159032929582,-0.225117389337041,21.45273399984,7.39010849255894,-0.00756065214913381,4.26845575442245,-0.153618741915736,5.01450841832775,0.0451361047409622,5.42116941041304,0.0205143379642194,0.0393887234425703,0.156803028366721,0.77086299114878,0.120942206637274,0.147974519872966,-7.8508570564408,0.704654330192,0.000245326345852726,1.70538967823601e-05,-0.112924207114438,-4.92028842395214e-06,-0.292954282525405,0.0496554060111134,0.000202737734046444
3,3,2.15489181324983,-0.222336697434556,-0.218716247924821,1.07526500280091,7.41481211705877,-0.0105951674244426,3.83374427067258,-0.0593737628497894,5.06785773651885,-0.0733629422919552,5.43315719499464,-0.0374068781706894,0.0393887234425703,0.156803028366721,0.77086299114878,0.120942206637274,0.147974519872966,-7.8508570564408,0.704654330192,0.000245326345852726,1.70538967823601e-05,-0.112924207114438,-4.92028842395214e-06,-0.292954282525405,0.0496554060111134,0.000202737734046444
1,4,0.635891099427965,-0.147463801279176,-0.194641642451393,15.458678986565,7.3755864582034,-0.00263962765431654,4.07681436174171,0.184284754139378,4.35606990195897,-0.0596013663122286,4.48644322972086,-0.0126780583466906,0.0393887234425703,0.156803028366721,0.77086299114878,0.120942206637274,0.147974519872966,-7.8508570564408,0.704654330192,0.000245326345852726,1.70538967823601e-05,-0.112924207114438,-4.92028842395214e-06,-0.292954282525405,0.0496554060111134,0.000202737734046444
