b01_pop,1,-0.27167,0.00018472,0.0010612,-0.024485,-0.0086662,0.027206,0.10544,0.11962,-0.033475,0.0085054,0.12659,0.05166,-0.038589,-0.013143,-0.013905,-0.078045,0.027971,0.012021,-0.011355,-0.0030644,-0.014278,-0.0051213,0.006645,0.014773
b11_pop,-0.27167,1,-0.010628,0.01749,-0.019852,-0.0038473,-0.027198,0.065944,-0.24684,0.041978,-0.050143,0.15443,0.035684,0.14872,0.008607,0.050553,-0.031783,0.085902,-0.022016,-0.0014906,0.011994,0.020201,-0.046667,-0.0011515,-0.035049
b02_pop,0.00018472,-0.010628,1,-0.14689,0.0007494,-0.0029305,0.001881,0.0018914,0.011967,0.010247,0.01221,-0.014987,-0.012238,-0.025127,-0.0026144,-0.010144,0.00093445,0.02636,-0.015457,0.037785,-0.00055396,0.010217,-0.0032388,-0.0036384,0.0044439
b12_pop,0.0010612,0.01749,-0.14689,1,-0.0055727,-0.012939,-0.044413,0.018506,-0.035956,0.0081352,-0.010539,0.047578,0.063196,0.051946,0.031559,0.034269,-0.010689,-0.026873,0.01481,-0.1181,0.012307,-0.02412,0.0021116,0.013515,-0.0079028
b03_pop,-0.024485,-0.019852,0.0007494,-0.0055727,1,-0.25907,-0.1,0.065633,0.07808,0.09016,0.20742,-0.092434,0.0095083,-0.066382,0.063644,-0.026491,0.0094182,-0.027703,-0.0017983,0.017084,0.018364,0.089357,0.016216,-0.0028091,0.026093
b13_pop,-0.0086662,-0.0038473,-0.0029305,-0.012939,-0.25907,1,0.019204,0.21596,-0.18915,-0.13362,-0.29232,0.2407,0.14454,0.34546,-0.043344,0.11016,0.018991,0.031346,0.012987,-0.058418,-0.1656,-0.36844,-0.036427,0.0045307,-0.0038273
h1_pop,0.027206,-0.027198,0.001881,-0.044413,-0.1,0.019204,1,-0.034135,0.19591,-0.55848,-0.54927,-0.12375,-0.0055509,0.039719,-0.92968,-0.019078,0.03267,-0.0063784,-0.00032038,-0.028513,-0.10782,-0.12498,0.019797,-0.0032926,-0.064517
h2_pop,0.10544,0.065944,0.0018914,0.018506,0.065633,0.21596,-0.034135,1,-0.11097,-0.021993,-0.08054,0.25772,0.21763,0.3216,0.026218,-0.67528,-0.0084701,0.018078,-0.0013412,-0.019879,-0.050572,-0.10005,-0.018567,0.0047889,-0.0055658
alpha11_pop,0.11962,-0.24684,0.011967,-0.035956,0.07808,-0.18915,0.19591,-0.11097,1,-0.16311,0.010136,-0.53615,-0.09381,-0.082405,-0.069331,-0.076744,0.12595,-0.015717,-0.0060751,-0.001483,0.030144,0.012486,0.039324,0.0042993,-0.036205
alpha12_pop,-0.033475,0.041978,0.010247,0.0081352,0.09016,-0.13362,-0.55848,-0.021993,-0.16311,1,0.46795,0.080038,-0.073276,-0.073886,0.43016,0.0086986,-0.031306,0.026972,0.005149,-0.01259,0.11179,0.18542,-0.021812,0.013159,0.049981
alpha13_pop,0.0085054,-0.050143,0.01221,-0.010539,0.20742,-0.29232,-0.54927,-0.08054,0.010136,0.46795,1,0.013246,-0.081618,-0.24496,0.39733,0.011308,-0.028967,0.0054388,-0.0060077,0.029221,0.1791,0.20029,-0.0080171,0.0058252,0.13503
alpha21_pop,0.12659,0.15443,-0.014987,0.047578,-0.092434,0.2407,-0.12375,0.25772,-0.53615,0.080038,0.013246,1,0.288,0.21349,0.04302,0.13951,-0.084085,0.016998,0.011563,-0.016471,-0.024469,-0.090435,-0.050437,-0.0019862,0.046429
alpha22_pop,0.05166,0.035684,-0.012238,0.063196,0.0095083,0.14454,-0.0055509,0.21763,-0.09381,-0.073276,-0.081618,0.288,1,0.54292,-0.0096667,0.25195,-0.016977,-0.051243,0.0040766,-0.038247,0.027313,-0.14648,0.0079079,-0.0031651,-0.072468
alpha23_pop,-0.038589,0.14872,-0.025127,0.051946,-0.066382,0.34546,0.039719,0.3216,-0.082405,-0.073886,-0.24496,0.21349,0.54292,1,-0.035149,0.1357,0.009131,-0.017555,0.0010694,-0.029982,0.12052,-0.16074,-0.0025051,0.0033867,-0.16684
beta_hcov1_score4C,-0.013143,0.008607,-0.0026144,0.031559,0.063644,-0.043344,-0.92968,0.026218,-0.069331,0.43016,0.39733,0.04302,-0.0096667,-0.035149,1,-0.016445,-0.013508,0.0051544,-0.0018744,0.027728,0.078266,0.11044,-0.01298,0.0032983,0.041632
