b01_pop,1,-0.29716,-0.0040447,0.0064017,0.00060315,-0.0019717,0.0040996,-0.0021979,0.021186,-0.020355,-0.0071921,-0.00052506,-0.0021325,0.0064554,9.8405e-05,0.0058785,-0.0064669,0.012477,-7.1474e-05,-0.013238,0.002016,0.0011883,nan,-0.0037929,0.00099267,0.01421,0.00011229,-0.0014291,-0.00082651,-0.087568,-0.0029409,-0.014777,-0.00045381,-0.0024216,-0.013764,-0.01893,-0.022609,0.0059989,0.025001,0.022308,0.030636,0.0051967,0.00055618,0.0059668,0.0036067,-0.0095932
b11_pop,-0.29716,1,0.014644,-0.018028,-0.0029035,0.0054443,-0.0036372,0.01179,0.0076485,-0.0076237,0.012359,0.032972,-0.017933,-0.012491,-7.0625e-05,-0.0024396,0.02803,-0.029649,6.4034e-06,0.076982,0.0029623,0.013215,nan,-0.013093,0.003242,-0.034891,0.00034207,0.013877,0.013933,0.32787,0.0046986,0.055951,0.0026964,-0.0034098,0.031544,0.073491,0.034099,0.019743,-0.079613,-0.062473,-0.1055,-0.02018,-0.0023603,-0.017889,-0.014879,0.031492
b02_pop,-0.0040447,0.014644,1,-0.36197,-0.0018643,0.0090177,0.069505,-0.063821,0.00049147,-0.0022445,-0.071773,0.04883,-0.049489,-0.008713,0.00039591,0.033413,-0.029168,-0.010457,-0.00041349,-0.03558,0.0044091,-0.039776,nan,0.12933,0.0064118,-0.1205,0.00078264,-0.014621,0.0041568,0.021475,0.047731,0.10364,0.0025163,0.0043337,0.0064987,-0.012759,0.0082111,-0.013044,-0.060036,0.045736,-0.0035239,-0.13975,-0.0028529,0.0080099,0.0017411,0.018613
b12_pop,0.0064017,-0.018028,-0.36197,1,0.0017568,-0.018126,-0.024527,0.077767,-0.0064721,0.017098,0.05383,-0.19627,-0.058287,0.26977,0.0001046,-0.025732,0.11341,0.02914,-0.00030788,0.085383,-0.0012913,0.38747,nan,-0.32997,-0.0018295,0.10446,-0.00024734,-0.027178,-0.0068938,-0.035289,-0.037467,-0.27832,-0.0048219,-0.012337,-0.014363,-0.019495,-0.029472,0.0093655,0.052535,0.023242,0.0030977,0.010309,0.0027608,-0.003281,0.0023451,-0.0064357
b03_pop,0.00060315,-0.0029035,-0.0018643,0.0017568,1,-0.15262,-0.0023797,-0.0027107,-0.0024564,-0.0011354,-0.0055247,0.012015,0.0035168,0.0034396,-2.2763e-05,-0.0027868,-0.0072811,0.0050224,5.0211e-05,-0.0057186,-8.3595e-05,0.0013061,nan,-0.0040983,-0.00011939,0.0019272,-1.6958e-05,0.0010386,5.273e-05,-0.0023518,0.0021187,-0.0021267,-0.012511,0.03538,-0.0062629,-0.0014302,5.7741e-05,0.0045575,-0.0010314,-0.0045568,0.00014174,0.0009309,-0.0052315,0.00045001,0.00049722,0.00057529
b13_pop,-0.0019717,0.0054443,0.0090177,-0.018126,-0.15262,1,3.5522e-05,0.002306,0.00532,-0.0047558,0.007099,-0.02196,-0.025682,-0.016067,0.00020033,0.014194,0.033676,-0.0080755,-0.00031911,0.011906,0.00060691,-0.0172,nan,0.011831,0.0008163,-0.015853,0.00012312,-0.0018669,0.00032682,0.0025575,-0.0073463,0.0057486,0.0097765,-0.066677,0.0097296,-1.531e-05,0.0052065,-0.004586,-0.0017758,0.016442,1.9694e-05,0.0014601,0.024387,-0.00041644,-0.0019686,0.0005798
b04_pop,0.0040996,-0.0036372,0.069505,-0.024527,-0.0023797,3.5522e-05,1,-0.34382,0.0081878,-0.0085555,0.11394,-0.07427,0.086191,-0.018598,-0.00017065,-0.039315,0.030244,0.10644,0.00032118,-0.04966,-0.0065474,0.093324,nan,-0.082407,-0.0094789,0.19175,-0.0011032,0.030205,0.0089452,-0.0097035,0.005547,-0.025167,-9.4365e-05,-0.0094671,0.033799,-0.037329,-0.014843,0.01998,0.14686,0.028839,-8.6479e-07,-0.003758,0.00074946,0.026601,-0.0011079,-0.060381
b14_pop,-0.0021979,0.01179,-0.063821,0.077767,-0.0027107,0.002306,-0.34382,1,0.0016049,-0.0029135,-0.044228,0.17577,0.0088513,-0.14839,-0.00035886,0.022314,-0.067236,-0.15678,0.00017031,-0.039952,0.00042922,-0.16562,nan,0.37985,0.00065332,-0.035978,5.4383e-05,-0.0090368,-0.024985,0.026328,-0.030952,0.091909,0.00066174,0.0060142,0.075657,0.16475,-0.028869,-0.028196,-0.075245,-0.024887,-0.00083141,-0.0039444,-0.0051585,-0.0020339,0.012273,-0.0016668
b05_pop,0.021186,0.0076485,0.00049147,-0.0064721,-0.0024564,0.00532,0.0081878,0.0016049,1,-0.5145,0.0070475,-0.038865,-0.0025947,-0.022667,-1.1894e-05,0.0079001,-0.003335,-0.009783,1.8525e-05,-0.0065272,0.0003825,-0.017958,nan,-0.0011027,0.00045215,-0.0085457,5.1416e-05,0.00511,-0.0097014,0.037541,-0.0095441,0.0064526,0.0020999,-0.012202,0.030348,0.086846,0.045922,0.034648,0.00099328,0.037282,-0.0001902,0.00058637,0.004885,-0.017308,-0.19086,-0.005446
b15_pop,-0.020355,-0.0076237,-0.0022445,0.017098,-0.0011354,-0.0047558,-0.0085555,-0.0029135,-0.5145,1,-0.0087737,0.067804,0.0051611,0.041648,-0.00016724,-0.024349,0.014368,0.019599,0.00020043,0.012672,-0.00088961,0.035861,nan,-0.01622,-0.0011465,0.022278,-0.00015856,-0.0031558,0.013645,-0.029282,0.017879,-0.013032,-0.0038252,0.01493,-0.037226,-0.097505,-0.075223,-0.04219,-0.0017429,-0.077157,-9.2578e-05,-0.0074892,-0.0064585,0.020182,0.033341,0.0093954
