parameter,value
b01_pop,4.68918148171675
b11_pop,-0.128900492158089
b21_pop,-0.128096296657081
a1_pop,5.28393911835604
b02_pop,7.39991247579577
b12_pop,0.00240733238273506
b03_pop,4.20842186327816
b13_pop,-0.155092385568799
p1_pop,0.034731898916726
g1_pop,0.0992672598989527
p2_pop,0.675170152338316
g2_pop,0.129251685569312
alpha11_pop,0.125190878932363
alpha12_pop,-10.5498319412344
alpha13_pop,0.854606635228642
alpha21_pop,-0.0713538571396712
alpha22_pop,-5.31274546687031e-05
alpha23_pop,-0.184771999558463
omega_b01,1.95259336133415
omega_b11,0.103176946725063
omega_b21,0.0502270160025298
omega_a1,0.881622813677501
omega_b02,0.0382117404578984
omega_b12,0.00519634509063959
omega_b03,0.915660453284997
omega_b13,0.155839660532264
b_1,0.302564164994512
a_2,0.0500058200267893
a_3,0.714965580978833
