rep,id,b02,b12,b03,b13,p1,g1,p2,g2,alpha12,alpha13,alpha22,alpha23,eta_b02,eta_b12,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha13,eta_alpha22,eta_alpha23
1,1,7.35027280793779,0.00283635474923614,3.45146957669314,-0.330746555511138,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,-0.0564132505921906,0.00114350053008839,-0.635100286052057,-0.208065477648537,0,0,0,0,0,0,0,0
2,1,7.31351622737884,0.00136387469730354,2.99383459186695,-0.397440077204298,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,-0.0931698311511484,-0.000328979521844205,-1.09273527087825,-0.274758999341697,0,0,0,0,0,0,0,0
3,1,7.30548703861211,0.00191612585076524,3.426613788088,-0.0779248326109659,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,-0.101199019917877,0.000223271631617496,-0.659956074657204,0.0447562452516356,0,0,0,0,0,0,0,0
1,2,7.35254034372474,-0.00195816541042939,5.53541348233864,-0.0835520632141932,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,-0.0541457148052462,-0.00365101962957714,1.44884361959344,0.0391290146484083,0,0,0,0,0,0,0,0
2,2,7.39002491118356,-0.00661438525827542,4.68748047463328,0.0428856873112941,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,-0.0166611473464275,-0.00830723947742316,0.600910611888081,0.165566765173896,0,0,0,0,0,0,0,0
3,2,7.32117545379104,-0.00582885516276995,5.26705434497307,-0.16200241302651,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,-0.0855106047389471,-0.0075217093819177,1.18048448222787,-0.0393213351639086,0,0,0,0,0,0,0,0
1,3,7.41881284130425,-0.00277206217109926,5.42098491069295,-0.236339117322866,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,0.012126782774267,-0.004464916390247,1.33441504794775,-0.113658039460264,0,0,0,0,0,0,0,0
2,3,7.38728562341623,0.000784499855488064,4.62281893588046,-0.189010912132373,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,-0.0194004351137593,-0.000908354363659679,0.536249073135257,-0.0663298342697711,0,0,0,0,0,0,0,0
3,3,7.39605457811203,0.00749472432624337,4.53478894726076,0.196571847272971,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,-0.0106314804179508,0.00580187010709562,0.448219084515558,0.319252925135573,0,0,0,0,0,0,0,0
1,4,7.46852223970167,-0.00262612866761043,3.86624962181949,-0.368634284385726,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,0.061836181171687,-0.00431898288675817,-0.220320240925713,-0.245953206523124,0,0,0,0,0,0,0,0
2,4,7.4366760169139,0.00329868305579062,4.74115628430444,-0.386585577456159,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,0.0299899583839167,0.00160582883664288,0.654586421559235,-0.263904499593557,0,0,0,0,0,0,0,0
3,4,7.40208514531165,0.0018208741404593,4.28317299064973,-0.380886774571703,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,-0.00460091321833911,0.000128019921311554,0.196603127904527,-0.258205696709101,0,0,0,0,0,0,0,0
1,5,7.413361757197,0.00231560958036029,4.8292289320708,0.078987487494554,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,0.00667569866701179,0.000622755361212544,0.742659069325597,0.201668565357155,0,0,0,0,0,0,0,0
2,5,7.45074038623916,0.00294196758247888,4.8635756789673,0.0572330921147317,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,0.0440543277091718,0.00124911336333113,0.777005816222103,0.179914169977333,0,0,0,0,0,0,0,0
3,5,7.4643315369688,-0.00263589623263788,5.53934470919603,-0.0670298082855127,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,0.057645478438813,-0.00432875045178562,1.45277484645083,0.0556512695770887,0,0,0,0,0,0,0,0
1,6,7.35972854596826,-0.00227098345281823,4.53173999605576,-0.114505546190362,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,-0.0469575125617228,-0.00396383767196597,0.445170133310558,0.00817553167223961,0,0,0,0,0,0,0,0
2,6,7.35509655772568,-0.000590216082824743,5.07426878729017,-0.1402886166966,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,-0.0515895008043064,-0.00228307030197249,0.987698924544967,-0.0176075388339986,0,0,0,0,0,0,0,0
3,6,7.36282497078665,0.000260968854923136,5.75427634627053,-0.153702140125481,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,-0.0438610877433394,-0.00143188536422461,1.66770648352533,-0.0310210622628799,0,0,0,0,0,0,0,0
1,7,7.43053062398986,0.00637300508748568,4.47664047853072,-0.0244491642572415,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,0.0238445654598705,0.00468015086833793,0.390070615785524,0.0982319136053599,0,0,0,0,0,0,0,0
2,7,7.49602228887673,-3.95274830263253e-05,3.70382719369558,-0.14402148043368,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,0.0893362303467473,-0.00173238170217407,-0.382742669049619,-0.0213404025710783,0,0,0,0,0,0,0,0
3,7,7.48429215812449,0.00880605717239239,4.25103394924008,0.175123565477367,0.0794085244144103,0.11636416019864,0.736152553681274,0.10181246236096,-9.61405320695075,0.515151004742431,2.742041191461,-0.135333837355792,0.077606099594508,0.00711320295324465,0.164464086494881,0.297804643339969,0,0,0,0,0,0,0,0
