b02_pop,7.3657e-06,-3.5018e-07,-8.6938e-07,1.3556e-07,-1.0725e-06,2.4763e-06,-2.9136e-06,-2.4119e-06,-0.00012806,3.8812e-06,-0.00013422,2.3188e-06,2.3159e-08,-3.7621e-08,3.4104e-07,-3.9905e-07,5.0033e-09,-7.9491e-09
b12_pop,-3.5018e-07,2.1393e-07,2.5401e-07,1.9845e-08,1.5545e-06,-9.1747e-07,4.7671e-07,9.1378e-07,0.00016167,-2.9486e-06,6.2772e-05,-1.5673e-06,6.1051e-09,1.2487e-08,4.3991e-08,1.0449e-07,-3.8611e-09,-4.1291e-09
b03_pop,-8.6938e-07,2.5401e-07,0.003633,-0.00011058,2.3942e-05,-3.4057e-05,4.2567e-05,4.6938e-05,0.0035456,-4.5509e-05,0.001538,-7.227e-05,5.9839e-07,2.4986e-07,-2.3109e-05,1.5122e-05,-8.1111e-08,6.2455e-06
b13_pop,1.3556e-07,1.9845e-08,-0.00011058,0.00012012,-2.3127e-05,1.6178e-05,2.9689e-06,-1.8344e-05,-0.0015392,3.7765e-05,-0.00063009,4.8125e-05,-1.2419e-07,-6.8482e-08,1.0564e-05,-7.3519e-06,-2.7146e-09,-1.2408e-06
p1_pop,-1.0725e-06,1.5545e-06,2.3942e-05,-2.3127e-05,0.00074101,-0.00030422,-1.2288e-05,-1.782e-07,0.075485,-0.00177,-0.0011017,5.8535e-05,2.2503e-06,-8.941e-08,8.5867e-06,-9.3786e-06,-6.6752e-07,-1.8211e-06
g1_pop,2.4763e-06,-9.1747e-07,-3.4057e-05,1.6178e-05,-0.00030422,0.00047019,8.4528e-05,5.206e-05,-0.015376,0.00021488,0.0027353,-7.7402e-05,-1.5733e-06,2.4353e-07,-1.5252e-05,7.3411e-06,2.3383e-07,1.5302e-07
p2_pop,-2.9136e-06,4.7671e-07,4.2567e-05,2.9689e-06,-1.2288e-05,8.4528e-05,0.00090319,0.00036843,0.01217,-5.7963e-05,0.022134,-0.00055512,3.8423e-08,2.2949e-07,-2.6807e-05,8.0511e-06,2.1552e-07,4.1971e-06
g2_pop,-2.4119e-06,9.1378e-07,4.6938e-05,-1.8344e-05,-1.782e-07,5.206e-05,0.00036843,0.00039848,0.0091154,-1.6974e-05,0.01771,-0.00070952,-2.4542e-08,1.9914e-07,-2.315e-05,5.0865e-06,1.2804e-07,4.2521e-06
alpha12_pop,-0.00012806,0.00016167,0.0035456,-0.0015392,0.075485,-0.015376,0.01217,0.0091154,14.23,-0.1517,0.063946,-0.010012,0.00038916,4.5588e-05,0.00084345,-0.0006692,-0.00013078,-6.9321e-05
alpha13_pop,3.8812e-06,-2.9486e-06,-4.5509e-05,3.7765e-05,-0.00177,0.00021488,-5.7963e-05,-1.6974e-05,-0.1517,0.0083481,-0.0030024,-0.0003307,-5.3748e-06,4.3845e-07,-3.3982e-05,1.614e-05,1.2098e-06,1.5391e-05
alpha22_pop,-0.00013422,6.2772e-05,0.001538,-0.00063009,-0.0011017,0.0027353,0.022134,0.01771,0.063946,-0.0030024,1.7581,-0.033374,2.7101e-06,1.058e-05,-0.0011179,0.00034406,2.1266e-05,0.00019504
alpha23_pop,2.3188e-06,-1.5673e-06,-7.227e-05,4.8125e-05,5.8535e-05,-7.7402e-05,-0.00055512,-0.00070952,-0.010012,-0.0003307,-0.033374,0.0024808,4.4601e-08,-3.7317e-07,5.7602e-05,-1.6203e-05,-2.9457e-07,-1.3483e-05
omega_b02,2.3159e-08,6.1051e-09,5.9839e-07,-1.2419e-07,2.2503e-06,-1.5733e-06,3.8423e-08,-2.4542e-08,0.00038916,-5.3748e-06,2.7101e-06,4.4601e-08,5.125e-06,-5.2284e-08,-5.2505e-07,-2.6248e-08,-1.9532e-07,-5.2165e-08
omega_b12,-3.7621e-08,1.2487e-08,2.4986e-07,-6.8482e-08,-8.941e-08,2.4353e-07,2.2949e-07,1.9914e-07,4.5588e-05,4.3845e-07,1.058e-05,-3.7317e-07,-5.2284e-08,1.2901e-07,-2.6579e-08,2.833e-08,-8.6104e-09,1.0493e-08
omega_b03,3.4104e-07,4.3991e-08,-2.3109e-05,1.0564e-05,8.5867e-06,-1.5252e-05,-2.6807e-05,-2.315e-05,0.00084345,-3.3982e-05,-0.0011179,5.7602e-05,-5.2505e-07,-2.6579e-08,0.0022507,-2.1799e-05,-3.3634e-08,-3.9438e-05
omega_b13,-3.9905e-07,1.0449e-07,1.5122e-05,-7.3519e-06,-9.3786e-06,7.3411e-06,8.0511e-06,5.0865e-06,-0.0006692,1.614e-05,0.00034406,-1.6203e-05,-2.6248e-08,2.833e-08,-2.1799e-05,7.4095e-05,2.3936e-08,-3.1686e-06
a_2,5.0033e-09,-3.8611e-09,-8.1111e-08,-2.7146e-09,-6.6752e-07,2.3383e-07,2.1552e-07,1.2804e-07,-0.00013078,1.2098e-06,2.1266e-05,-2.9457e-07,-1.9532e-07,-8.6104e-09,-3.3634e-08,2.3936e-08,6.1634e-07,1.0302e-08
a_3,-7.9491e-09,-4.1291e-09,6.2455e-06,-1.2408e-06,-1.8211e-06,1.5302e-07,4.1971e-06,4.2521e-06,-6.9321e-05,1.5391e-05,0.00019504,-1.3483e-05,-5.2165e-08,1.0493e-08,-3.9438e-05,-3.1686e-06,1.0302e-08,0.00017369
