rep,id,eta_b01,eta_b11,eta_b21,eta_a1,eta_b02,eta_b12,eta_b03,eta_b13,eta_b07,eta_b17,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha17,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha27
1,1,3.01773649409004,0.206128267324474,-0.0165173024234012,-0.476647505391021,-0.0481991576808642,-0.00470575085119476,-1.15000053754472,-0.293985957632912,5.58867499223783,-1.02368412069104,0,0,0,0,0,0,0,0,0,0,0,0
2,1,3.06640324790427,-0.130118620509105,0.0370030047537167,1.39041137163345,-0.00510238463473645,-0.00705602051127709,0.407768375268744,0.0782646561918417,105.9325729417,1.67936707962241,0,0,0,0,0,0,0,0,0,0,0,0
3,1,2.86593372653236,-0.157420001625815,0.017067520413091,0.0939611409734127,-0.0322663889719514,0.00249513465874586,-0.761530854790418,0.186535549010391,-123.626893755546,-1.50063873592242,0,0,0,0,0,0,0,0,0,0,0,0
1,2,5.5693080458333,-0.175250317407297,-0.0050479921083669,1.17390190795555,0.00272056444953961,-0.00855885396535068,0.172776001452594,-0.211039573935581,215.478936285356,5.07855323752339,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2.07156734418045,-0.209551184957797,-0.034723613610827,0.448409580523568,-0.055544738285187,-0.000542320436590345,-1.47349603720952,0.0035343570926521,199.184047728057,-2.29929461955727,0,0,0,0,0,0,0,0,0,0,0,0
3,2,1.41774270898318,0.154246276796083,0.0713790643885012,-1.41579079336103,-0.0152792435808022,-0.00600151999587302,-0.468761435428484,-0.1703195666599,172.172893430107,3.21515259627361,0,0,0,0,0,0,0,0,0,0,0,0
1,3,0.646161257165935,0.113256540832243,0.00715894518940785,1.65446086471489,0.0316625034463645,-0.00343698344292205,-0.123017506733092,0.0906932142902858,117.552770323038,0.982086159485764,0,0,0,0,0,0,0,0,0,0,0,0
2,3,2.61536919397122,0.147743372453535,-0.0250652641601071,0.618740629526505,0.0303876970925208,-0.00519140541700919,-0.406406954175207,0.12442297668158,109.627275766045,-0.407188178996505,0,0,0,0,0,0,0,0,0,0,0,0
3,3,4.52441304229377,0.176055289331165,-0.104381361558355,-0.0982808838003113,0.0135943586904013,-0.00389241781875479,-0.309671233205674,0.107767977448302,69.2671184570767,6.43982891061438,0,0,0,0,0,0,0,0,0,0,0,0
1,4,0.0249570060872326,0.0776353382185849,-0.071764512612512,0.175022844566401,-0.000169557605444126,-0.0111343114425273,-0.686194040789082,0.0680593043965491,-250.445976661221,4.62865295819087,0,0,0,0,0,0,0,0,0,0,0,0
2,4,1.01145775851048,-0.0220058287674873,0.0528149804427795,-0.412857675345997,0.0530380374935087,-0.00138363794540601,-0.683845408762517,-0.122968926592359,-210.750755440626,6.31889109826871,0,0,0,0,0,0,0,0,0,0,0,0
3,4,-0.394548816775611,0.055858015974101,0.045009791687557,0.0049400846863934,0.0507724508058507,0.00671066531968997,-0.921704577063033,-0.247315253280362,-88.5739664698991,6.86387766727796,0,0,0,0,0,0,0,0,0,0,0,0
1,5,-0.0925270241486613,-0.0962525202392055,-0.0135330411126173,-0.127771572296748,0.015748658962452,-0.00115520606601652,1.44607961764809,-0.00967289871007623,138.635633416556,-9.47275246229542,0,0,0,0,0,0,0,0,0,0,0,0
2,5,-1.36315476107492,-0.0820771521924475,0.0637996536766851,-0.527794719850979,-0.017815100261223,0.00114383758785336,1.44119799199901,-0.163630824345986,9.335794155016,-1.86529707306327,0,0,0,0,0,0,0,0,0,0,0,0
3,5,0.00735907391618529,0.0868170449740699,-0.053860210576728,-0.274632634213779,-0.042275857934194,0.00518422135238602,1.40553924760549,0.0985530855603936,22.7529948877022,-2.06200330428526,0,0,0,0,0,0,0,0,0,0,0,0
1,6,-0.0456505464729773,-0.0580834788078436,-0.0201971100922945,0.0624661684816499,-0.0591022855162544,0.00207153040092107,-0.129185265092816,-0.583970887813136,-85.0674193202815,4.50002858460456,0,0,0,0,0,0,0,0,0,0,0,0
2,6,-1.0933008987858,-0.00649799476844073,-0.00261398644626767,0.615631531225429,-0.0239941217183386,-0.0153563266443907,-1.9974894909972,-0.0760687852809556,-73.0544051869288,-3.92249931005659,0,0,0,0,0,0,0,0,0,0,0,0
3,6,-0.718208381336768,0.0266111119130274,0.0317548760968435,0.608510795602296,-0.0452529625784033,-0.00546362204275398,-1.15785578058071,-0.389221565889356,-121.978069299717,-2.68460760315153,0,0,0,0,0,0,0,0,0,0,0,0
1,7,2.07895757900255,-0.136033520195458,-0.0209206782504657,0.522701618796033,0.0161030556022101,0.000184769384681463,1.49309618905259,0.0554703362981487,-68.4033673488644,-5.79948380687011,0,0,0,0,0,0,0,0,0,0,0,0
2,7,1.07265757703788,-0.0878067394880568,0.0470590419272232,0.132390812085387,-0.0524502419189865,-0.00109099090086296,0.835510401127459,-0.0465610355321485,-81.3869542677684,-5.50835664310003,0,0,0,0,0,0,0,0,0,0,0,0
3,7,2.7184476674632,0.0909814332833325,0.00217875897888076,0.468821770426704,0.0305823065038116,0.00450969794076237,0.954832860877828,0.190630976539423,-9.86268022604708,-1.57777044451752,0,0,0,0,0,0,0,0,0,0,0,0
1,8,2.32195277660604,-0.110247126220061,-0.0343623273315118,0.0954612289827583,0.0257567779044487,-0.00337081237761061,-1.19371321178884,-0.158081398895382,99.1374975680887,7.57302396207966,0,0,0,0,0,0,0,0,0,0,0,0
2,8,1.004137926791,-0.00678829513389256,-0.0545650865329851,0.468309235368397,0.00978344516393648,0.00434227038090674,-0.891842640354676,0.173099586808096,148.090693135378,4.12950232856623,0,0,0,0,0,0,0,0,0,0,0,0
3,8,0.879299033278676,-0.0341535780518786,0.0182160339650715,-1.35783699608805,0.0208170381181674,-0.000730822988244316,-0.552676983964763,0.14520440506217,54.8175666836352,0.578800247994728,0,0,0,0,0,0,0,0,0,0,0,0
1,9,0.657695789412335,-0.0358192832325596,-0.0193514783839792,-0.0730679137770578,-0.00173635979604025,-0.00447280523162034,-0.173402769523823,-0.0493382443819181,-34.3362388247628,-4.88132543353415,0,0,0,0,0,0,0,0,0,0,0,0
2,9,0.441012999336261,0.0762461374809554,0.00302223969397863,-0.838253651927967,0.00922557923778022,0.00888685714952072,0.150350069025294,-0.238942608206852,-127.119102673257,-2.76774854569952,0,0,0,0,0,0,0,0,0,0,0,0
3,9,1.85685987984006,-0.11983238438885,0.0253769055452187,0.275816060907493,-0.0167816464687522,-0.0036619733197409,-0.139877416101744,-0.0971537639314503,-59.1458059953561,2.44431392181128,0,0,0,0,0,0,0,0,0,0,0,0
1,10,-2.45731460994448,-0.152513144234372,0.07788164022772,0.50006687109669,-0.07456865744156,0.00662335542180657,-0.842815442276005,-0.41545867489269,-46.3104696205705,-4.18590588678233,0,0,0,0,0,0,0,0,0,0,0,0
2,10,-2.98790993967537,-0.0596782132309996,0.0601564127933073,0.847681747945186,-0.0154984435630245,0.0031480648520926,-1.13937014964391,-0.331652769062664,-24.9608345476977,-1.56471647022785,0,0,0,0,0,0,0,0,0,0,0,0
3,10,-3.12721235506239,-0.105091830125609,0.0480222306744005,0.730734634800499,-0.0295998723470001,0.00214644554608846,-0.930360579929395,-0.423646113745903,-48.6225337425062,0.297093130277183,0,0,0,0,0,0,0,0,0,0,0,0
1,11,3.32716095543739,-0.103323881462457,-0.0382085599188607,-0.354011512667824,-0.012429069010687,-0.00305817455524879,-0.204708883467218,-0.0565745459439992,-150.401820109446,3.15640048514788,0,0,0,0,0,0,0,0,0,0,0,0
2,11,3.00317667639427,-0.0395363457199635,0.0358062028631158,-2.50936865185711,-0.0550372580657452,-0.00198269783959582,-0.591757945881695,-0.115914379500595,-179.435189898394,1.16171344424444,0,0,0,0,0,0,0,0,0,0,0,0
3,11,2.65558841463385,0.0801121061234719,0.0181343635385455,-0.155478639434491,-0.0351718943148773,-0.00487290748344448,-0.954962425232177,0.0295345288168153,-192.7825493725,4.37320900287672,0,0,0,0,0,0,0,0,0,0,0,0
1,12,2.91241356034283,0.157417063530197,0.04855700483147,0.871048126707662,-0.00494524943158936,0.000209663205254603,-0.591974406252488,0.00219889660662198,169.003834969662,-0.0725057164901557,0,0,0,0,0,0,0,0,0,0,0,0
2,12,2.0332925836259,0.14522347565165,-0.0434638394206407,0.364331180216293,-0.0339914218518205,-0.000575416723989613,-0.562808919233404,0.0252838128839076,69.1043633923613,-3.17687255694377,0,0,0,0,0,0,0,0,0,0,0,0
3,12,6.79626499918519,0.0107915389719231,-0.0125671768030441,-0.135985916473232,-0.0177549746720231,-0.00316965609558433,-0.71111844908997,0.0930872686298493,133.604933989464,10.7001843534853,0,0,0,0,0,0,0,0,0,0,0,0
1,13,-0.499581264750341,-0.130495383269818,-0.0400053949642354,0.34809919143446,-0.0490681456834468,0.00565619687793931,-0.246185462688245,0.108366357773629,24.3980755837434,5.36068290910204,0,0,0,0,0,0,0,0,0,0,0,0
2,13,-2.01509569954432,0.0542031808213135,0.0587393717890557,-0.00581448869237389,-0.00437738299959101,-0.00125970695707199,-0.386241538177526,0.226403842476877,-22.2614352829723,-1.39837737052377,0,0,0,0,0,0,0,0,0,0,0,0
3,13,0.742706606410675,-0.0902231486014823,-0.003523721806343,0.912318599241452,0.0199888028605146,-0.00541598834884338,-0.478795855618389,0.13236053089213,29.1560192901845,5.92990503371457,0,0,0,0,0,0,0,0,0,0,0,0
1,14,0.0198396459119579,0.0550716143935002,0.00778533422331248,1.55571327366067,0.0196555464217933,0.00156228935061831,-0.344403295931603,-0.241484087124527,-45.056640274623,-0.73683234370043,0,0,0,0,0,0,0,0,0,0,0,0
2,14,2.91102408616591,0.0224237315994778,-0.0429027786258726,-0.712287941794437,0.0454384846094023,0.000233896810362411,-0.626527638678267,-0.233438819666718,-37.4484215117594,0.171551147732622,0,0,0,0,0,0,0,0,0,0,0,0
3,14,1.83382720187127,0.0746624231233212,-0.0982064762502831,-0.0263654751647058,0.0151106058389967,0.00037680243652116,-0.103397266136395,-0.257200630913493,-50.2589801797074,-0.361745009816302,0,0,0,0,0,0,0,0,0,0,0,0
1,15,0.273685114087096,-0.00385641874695553,-0.106317995328421,0.911735655780497,0.0281585488993592,-0.00324340164569307,-0.387874309578393,0.0937826048339217,9.39445925931159,1.52986663162211,0,0,0,0,0,0,0,0,0,0,0,0
2,15,0.652467707563487,0.136865204145548,0.0430121061170428,0.198930778190906,-0.00361825692801609,0.0094143294684559,-0.818237955441991,0.271768897719492,-2.34270426626216,0.697050002068749,0,0,0,0,0,0,0,0,0,0,0,0
3,15,1.05063697495642,0.0871535577161753,0.0702231810674852,-0.600366240691892,0.00601535697841094,0.00011677697881456,-1.41585159293436,0.366353194296269,28.3101770787071,-4.14478149599724,0,0,0,0,0,0,0,0,0,0,0,0
1,16,0.30206008833621,-0.040022045946686,0.0298321516709945,-0.926899592353984,0.0396183963958094,-0.00265843678859338,-0.85590739671276,0.130823092521619,-56.0451076565777,2.46931639630698,0,0,0,0,0,0,0,0,0,0,0,0
2,16,-1.39456935897525,0.00352332861628124,-0.00949420625551095,1.34248870994879,-0.0214472681039535,-0.00253494765452685,-1.15992842592601,-0.218678135563281,-117.037215581592,3.73226436903202,0,0,0,0,0,0,0,0,0,0,0,0
3,16,0.1661941609524,-0.140204401195205,0.0724580576385589,0.204638542677313,-0.0293725206688524,0.00698626673035953,-0.733158857440221,-0.192647582416272,-154.518097079006,4.21190546722913,0,0,0,0,0,0,0,0,0,0,0,0
1,17,-1.48766673515469,0.093201232375795,-0.0306043195629888,1.24550839521405,0.0828222746416696,0.000227644920862403,-1.26082457375946,0.105834666994353,-140.527856279177,-5.34474155645104,0,0,0,0,0,0,0,0,0,0,0,0
2,17,2.26199593427016,0.106488534346234,-0.00885547718766536,-0.0853309343137925,0.0693928515362749,0.00472145101133428,-0.791987356365518,0.0941483753129825,-168.889084086784,-5.19575333360123,0,0,0,0,0,0,0,0,0,0,0,0
3,17,2.25194912313686,0.166842135924991,-0.0954049721564753,-0.247739499074143,0.101414381222122,0.000359730319334952,-0.666597321665506,0.067285323175929,-157.771993256037,-4.74908175947221,0,0,0,0,0,0,0,0,0,0,0,0
