rep,id,eta_b01,eta_b11,eta_b02,eta_b12,eta_b03,eta_b13,eta_b04,eta_b14,eta_b05,eta_b15,eta_b06,eta_b16,eta_h1,eta_h2,eta_alpha11,eta_alpha12,eta_alpha13,eta_alpha14,eta_alpha15,eta_alpha16,eta_alpha21,eta_alpha22,eta_alpha23,eta_alpha24,eta_alpha25,eta_alpha26,eta_hcov1,eta_hcov2,score4C
1,1,0.258645720294467,0.0907351427217344,0.532334476904192,-0.0173051099175494,0.328414494105272,0.151888035183891,2.97483089390873,-0.118736119383327,0.359328272722083,-0.0148709723317237,1.64403531325313,-0.329976754138592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
2,1,22.9306402401078,-0.37944867627977,0.517240639206005,-0.0276543522112454,-0.0844683967831408,0.108019030385238,0.916574835242368,0.0159398869991449,0.433697500945052,0.033748641978336,1.15885147144485,-0.0496716975791028,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
3,1,20.5950261511178,-0.638247947724104,0.168157009209321,0.0234827120198469,0.508156913609085,0.0898125423259715,-0.47457130835382,0.00127231517719487,0.477818355410335,-0.0184499821500357,-0.279550400265279,-0.0344001964850955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
1,2,-21.8883833288828,-0.659958069114611,-0.788473235560893,0.0901667122506909,-0.47941559697391,0.312525892810314,0.677359176908414,-0.144054079884621,0.052070820613439,0.036959392366963,-4.23593164323798,-0.0787079568109244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
2,2,-5.40764316112305,1.56171219447244,1.16065119152673,0.0486589955971364,-0.524536266105738,0.00277073908193931,1.52874723204832,0.066538569384605,-0.174889118798123,0.0276804262959393,1.71068096502367,0.0177946773890084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
3,2,-7.07302027800263,2.28870504838264,-0.0130372643737893,-0.0332255810973295,-0.585781558175562,-0.032060045683119,-1.12510252903434,-0.0371550882543485,0.479241253600201,0.0291321737348364,-3.65068971603091,0.0886735095043782,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
1,3,14.0565316821278,1.59246515440877,-0.373382267604251,-0.053830440989608,-1.32958957219839,-0.359717481945983,1.27593533258018,-0.160755300198299,0.00998235709087947,0.00901227780939123,-0.370352860838636,-0.235040446480247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
2,3,-6.63431267634431,-0.214454454926711,-0.996279713559318,0.0134276647657224,-1.41982123629648,-0.292383235036401,1.14780563128381,-0.0780393523196481,0.224003428755879,0.0259062108731492,3.52620626724439,0.0155563517269047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
3,3,-19.0395860224604,0.189539310847728,-0.491241679077275,-0.0235441331692382,-1.55530450898532,-0.354116495331712,-0.0423107322058378,-0.0503475740679055,0.0298802990180276,0.00718011307931079,1.12213458081433,0.0956848211583554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
1,4,34.7314862446006,1.06450417322051,-0.15616950769286,-0.119263642756348,-1.42846264283645,-0.238779654881057,-1.64731690211983,0.130203194078372,0.424466084464241,-0.0225255316725342,-5.1756930334568,-0.0291003559228769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
