rep,id,b01,b11,b02,b12,b03,b13,b04,b14,b05,b15,b06,b16,h1,h2,alpha11,alpha12,alpha13,alpha14,alpha15,alpha16,alpha21,alpha22,alpha23,alpha24,alpha25,alpha26,hcov1,hcov2,score4C
1,1,89.4556423512925,0.483789045526985,6.60574880070038,-0.0757026384950785,4.56787764647926,0.00523966208336979,7.39229693428138,-0.160967671849931,4.82817478033567,-0.00240333560003601,95.652192174407,-0.391840381160062,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-6.39862126917796e-14,-0.855978238669936,11
2,1,112.127636871106,0.0136052265254808,6.5906549630022,-0.0860518807887745,4.15499475559085,-0.0386293427152832,5.33404087561502,-0.0262916654674586,4.90254400855864,0.0462162787100237,95.1670083325987,-0.111535324600573,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-6.39862126917796e-14,-0.855978238669936,11
3,1,109.792022782116,-0.245194044918853,6.24157133300551,-0.0349148165576822,4.74762006598307,-0.0568358307745496,3.94289473201883,-0.0409592372894086,4.94666486302393,-0.00598234541834803,93.7286064608886,-0.0962638235065656,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-6.39862126917796e-14,-0.855978238669936,11
1,2,67.3086133021152,-0.26690416630936,5.2849410882353,0.0317691836731618,3.76004755540008,0.165877519709793,5.09482521728107,-0.186285632351225,4.52091732822703,0.0494270290986507,89.7722252179159,-0.140571583832395,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-2.90846421326271e-14,-0.389081017577244,5
2,2,83.7893534698749,1.95476609727769,7.23406551532292,-0.00973853298039275,3.71492688626825,-0.143877634018582,5.94621327242097,0.0243070169180015,4.29395738881547,0.0401480630276269,95.7188378261775,-0.0440689496324618,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-2.90846421326271e-14,-0.389081017577244,5
3,2,82.1239763529954,2.68175895118789,6.0603770594224,-0.0916231096748587,3.65368159419843,-0.17870841878364,3.29236351133831,-0.079386640720952,4.94808776121379,0.0415998104665241,90.3574671451229,0.026809882482908,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-2.90846421326271e-14,-0.389081017577244,5
1,3,103.253528313126,1.98551905721402,5.70003205619194,-0.112227969567137,2.9098735801756,-0.506365855046504,5.69340137295283,-0.202986852664902,4.47882886470447,0.0214799145410789,93.6378040003152,-0.296904073501717,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-3.49015705591525e-14,-0.466897221092692,6
2,3,82.5626839546537,0.17859944787854,5.07713461023687,-0.0449698638118067,2.81964191607751,-0.439031608136922,5.56527167165646,-0.120270904786252,4.69284993636947,0.0383738476048369,97.5343631283982,-0.0463072752945655,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-3.49015705591525e-14,-0.466897221092692,6
3,3,70.1574106085376,0.582593213652979,5.58217264471892,-0.0819416617467673,2.68415864338867,-0.500764868432233,4.37515530816681,-0.092579126534509,4.49872680663162,0.0196477498109985,95.1302914419682,0.0338211941368852,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-3.49015705591525e-14,-0.466897221092692,6
1,4,123.928482875599,1.45755807602576,5.91724481610333,-0.177661171333877,2.81100050953753,-0.385428027981578,2.77014913825283,0.0879716416117688,4.89331259207783,-0.0100578949408465,88.8324638276971,-0.0909639829443471,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-4.65354274122033e-14,-0.62252962812359,8
2,4,60.5721016123541,1.43296548191513,6.15431348798301,-0.0675504785603344,2.48304110798892,0.0381727917112445,2.00782143342415,0.152104817649238,4.34809142657914,0.0159170546753442,93.3608556254575,-0.111249046605785,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-4.65354274122033e-14,-0.62252962812359,8
3,4,69.3125132008301,1.37651787732329,4.88253938828893,-0.194803725270498,2.667667415948,-0.340657719914623,2.36604228840304,-0.0101193264284015,4.34260944423665,0.0185672004254013,92.4678583321679,-0.398814534683926,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-4.65354274122033e-14,-0.62252962812359,8
1,5,114.258705439413,-0.510814554184698,9.93306516009345,-0.219199144903069,3.42511209062287,0.00584902477597913,5.67662010243641,-0.221299780812357,4.83481017590815,0.0210282260552715,98.0986338550868,-0.448929645459968,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-1.74507852795763e-14,-0.233448610546346,3
2,5,110.339790414719,-0.590334665618625,9.94644329961137,-0.203449307947011,3.28515786133076,0.0101144010105803,5.71075790613145,-0.228276875602106,4.63802160375337,0.0424435441889137,97.5264931994837,-0.306050005517531,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-1.74507852795763e-14,-0.233448610546346,3
3,5,117.649249399142,-0.717362390586438,8.7724756601338,-0.141916427791886,3.57605351506528,0.00105063345536892,4.6777956833653,-0.132931733429909,4.92005202418753,0.0298830269166165,97.3205626065981,-0.39713657170737,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-1.74507852795763e-14,-0.233448610546346,3
1,6,98.0293398724384,1.12479901910523,5.47716329036805,-0.0762258462030366,5.52682368986552,-0.181768347863881,1.82358336147486,0.0547910377720966,4.11407210311245,-0.014110006045242,91.4538416830406,-0.0262113058059213,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-1.16338568530508e-14,-0.155632407030897,2
2,6,116.935985507079,0.930954446607618,5.86081213609813,0.0447003519995513,4.97494860057609,0.149787182979074,2.96154953506843,0.0276285679990178,3.76946736299518,0.00639907651619562,92.0189037888548,0.0245094356145212,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-1.16338568530508e-14,-0.155632407030897,2
3,6,95.7920549357622,-0.286235333442036,6.01658523302208,-0.216711652131491,5.47061527018481,-0.0480738563479208,7.11978362820025,-0.096494346331867,3.8204240991687,0.00490961309848706,93.6873408202017,0.00368876025326439,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-1.16338568530508e-14,-0.155632407030897,2
1,7,86.8144204159544,1.07522652702145,6.50643170942788,-0.0659687052627321,5.4180896153544,-0.0309221881222773,3.0408159898502,-0.11623999194187,4.03482446651565,0.0146165362066358,95.91340674111,0.143673048868444,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-6.9803141118305e-14,-0.933794442185385,12
2,7,92.7227394287358,1.3365292542702,6.97139942210112,0.112364627360311,4.61480382878452,-0.0413927339061376,3.90672777644016,-0.12068929125138,3.99140341073437,0.00219983843200951,95.331693103552,0.0868632477704479,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-6.9803141118305e-14,-0.933794442185385,12
3,7,67.405543885856,0.283565056917519,5.85387288903023,0.0261321658313144,5.41928155940214,-0.268667844654351,2.64818577640948,-0.112096327208995,4.33843527667184,-0.0155662960199317,95.1961096390823,0.202957459246741,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-6.9803141118305e-14,-0.933794442185385,12
1,8,34.9288610602261,1.71102155486875,6.86983375249227,0.281230858949853,4.24206103289893,-0.0686764566039582,4.7826222548553,-0.099244899064511,3.62740156889106,0.0073626917516671,94.6091968659362,-0.0869010172113895,0.00186231310767845,0.0387351700391655,1.17580324149684e-09,1.38688176441141,0.470562424357262,-1.00312469315383,-6.79617763018046e-06,0.872577325199761,4.62312582034097e-07,-0.840639028247913,1.95365540471138e-06,0.611033593927277,-3.56555800937394e-11,-0.233307990586858,-4.07184989856779e-14,-0.544713424608141,7
