rep,id,b0,b1,b2,a,h1,h2,alpha1,alpha2,hcov1,hcov2,eta_b0,eta_b1,eta_b2,eta_a,eta_h1,eta_h2,eta_alpha1,eta_alpha2,eta_hcov1,eta_hcov2
1,1,259.515746996213,0.0112020106301696,-0.228612912899245,172.627549766559,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,2.50602185002317,-1.37465313185212,48.3107261422089,0.0277088029513845,-0.0503903303562388,0.255262477882138,0,0,0,0,0,0
2,1,316.441006758575,0.00896116821516811,-0.154389797106584,125.485817355498,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,2.50602185002317,-1.37465313185212,105.235985904571,0.025467960536383,0.0238327854364221,-0.0636811612240669,0,0,0,0,0,0
3,1,308.152063473852,-0.0702521433207849,-0.193178994481575,235.400924989266,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,2.50602185002317,-1.37465313185212,96.947042619848,-0.0537453509995701,-0.0149564119385686,0.56541621996424,0,0,0,0,0,0
4,1,272.87299497309,-0.0943267528880323,-0.220148928738227,318.552518835905,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,2.50602185002317,-1.37465313185212,61.6679741190864,-0.0778199605668174,-0.0419263461952207,0.867913451432548,0,0,0,0,0,0
5,1,270.428532921076,0.0179246519744642,-0.333046237364416,83.953212170248,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,2.50602185002317,-1.37465313185212,59.2235120670724,0.0344314442956791,-0.154823654821409,-0.465614258601275,0,0,0,0,0,0
6,1,249.887809827932,-0.117912500843863,-0.334562370214073,224.094711032007,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,2.50602185002317,-1.37465313185212,38.6827889739279,-0.101405708522649,-0.156339787671067,0.516194875309898,0,0,0,0,0,0
7,1,337.377598811077,-0.0458394574859949,-0.0948281289328279,125.974445140056,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,2.50602185002317,-1.37465313185212,126.172577957074,-0.02933266516478,0.0833944536101786,-0.059794834257656,0,0,0,0,0,0
8,1,322.167412431632,-0.0412693231106944,-0.147720815541638,117.613456785328,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,2.50602185002317,-1.37465313185212,110.962391577628,-0.0247625307894795,0.0305017670013689,-0.128470446925598,0,0,0,0,0,0
9,1,311.34103406181,-0.107080922093505,-0.265676741091794,229.179898263329,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,2.50602185002317,-1.37465313185212,100.136013207806,-0.0905741297722906,-0.0874541585487872,0.53863337279184,0,0,0,0,0,0
10,1,371.220187794352,-0.0267814951832597,-0.0288219813618835,132.734842775703,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,2.50602185002317,-1.37465313185212,160.015166940348,-0.0102747028620449,0.149400601181123,-0.00752042940128828,0,0,0,0,0,0
1,2,199.05738275241,-0.213664965568121,-0.258638035934651,291.443593686793,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.13910084091962,-0.624842332660054,-12.147638101594,-0.197158173246906,-0.0804154533916444,0.778972579128583,0,0,0,0,0,0
2,2,175.256367520204,-0.184221325123346,-0.338679291682663,341.95464022224,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.13910084091962,-0.624842332660054,-35.9486533338001,-0.167714532802132,-0.160456709139656,0.938804193046871,0,0,0,0,0,0
3,2,176.434656968673,-0.0595919516114621,-0.121989059078708,344.14838678542,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.13910084091962,-0.624842332660054,-34.7703638853307,-0.0430851592902472,0.0562335234642987,0.945199017009749,0,0,0,0,0,0
4,2,208.070210587663,-0.0123188812095714,-0.243195216856562,149.065851617448,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.13910084091962,-0.624842332660054,-3.13481026634057,0.00418791111164343,-0.0649726343135553,0.108514261184884,0,0,0,0,0,0
5,2,213.261807430802,0.0960822899328229,-0.144131109842075,45.2333259353837,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.13910084091962,-0.624842332660054,2.05678657679837,0.112589082254038,0.0340914727009311,-1.08403978966849,0,0,0,0,0,0
6,2,163.430329582705,-0.157085322977805,-0.181791439700949,104.969895975812,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.13910084091962,-0.624842332660054,-47.7746912712992,-0.14057853065659,-0.00356885715794242,-0.242200300232829,0,0,0,0,0,0
7,2,192.180230314863,0.0493256575302247,-0.206044065887692,46.8149752568597,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.13910084091962,-0.624842332660054,-19.0247905391405,0.0658324498514396,-0.0278214833446857,-1.04967076842982,0,0,0,0,0,0
8,2,206.4537193072,-0.0368148285330058,-0.135737927556564,33.5489078018814,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.13910084091962,-0.624842332660054,-4.7513015468038,-0.0203080362117909,0.0424846549864423,-1.38286959574291,0,0,0,0,0,0
9,2,191.974678746978,-0.0820628945523263,-0.209923384006183,101.380834314087,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.13910084091962,-0.624842332660054,-19.2303421070263,-0.0655561022311114,-0.0317008014631762,-0.276989841707242,0,0,0,0,0,0
10,2,215.486775225341,-0.184717129042049,-0.220185154452501,351.090625657625,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.13910084091962,-0.624842332660054,4.28175437133714,-0.168210336720834,-0.0419625719094942,0.965170478606265,0,0,0,0,0,0
1,3,249.146793077617,0.0364071693180242,-0.217071269098197,89.7144489374593,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.36692100910355,-0.749810799192065,37.941772223613,0.052913961639239,-0.0388486865551908,-0.399242067512538,0,0,0,0,0,0
2,3,200.512379530122,0.0986319253259783,-0.183759228603665,197.16936905582,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.36692100910355,-0.749810799192065,-10.6926413238821,0.115138717647193,-0.00553664606065873,0.388189196481792,0,0,0,0,0,0
3,3,258.650383779262,-0.0234565450706436,-0.290952645155374,65.3322484213919,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.36692100910355,-0.749810799192065,47.4453629252585,-0.00694975274942879,-0.112730062612368,-0.716388139660845,0,0,0,0,0,0
4,3,144.286681003363,0.0462647292566826,-0.252247572714776,189.478300203962,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.36692100910355,-0.749810799192065,-66.9183398506405,0.0627715215778974,-0.0740249901717699,0.348400602878232,0,0,0,0,0,0
5,3,181.144709780934,-0.0607133708198722,-0.0907011221121,1051.99498208224,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.36692100910355,-0.749810799192065,-30.0603110730697,-0.0442065784986574,0.0875214604309065,2.06256971911212,0,0,0,0,0,0
6,3,164.914880933976,-0.0335985997008648,-0.233479744400144,441.082742663358,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.36692100910355,-0.749810799192065,-46.2901399200281,-0.01709180737965,-0.0552571618571371,1.19335857864409,0,0,0,0,0,0
7,3,195.857708019986,0.0303981017921373,-0.170871497767596,129.576392981646,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.36692100910355,-0.749810799192065,-15.3473128340182,0.0469048941133522,0.0073510847754103,-0.0316032898834351,0,0,0,0,0,0
8,3,161.917248719171,0.0883227401497415,-0.205125202017654,147.453577373302,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.36692100910355,-0.749810799192065,-49.287772134833,0.104829532470956,-0.0269026194746473,0.097639492279213,0,0,0,0,0,0
9,3,193.830628528125,-0.00834289115529859,-0.133221498125454,271.597036616786,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.36692100910355,-0.749810799192065,-17.3743923258787,0.00816390116591626,0.0450010844175529,0.708445580498087,0,0,0,0,0,0
10,3,129.791963195923,0.0649868286891562,-0.198293632102646,329.851216907255,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.36692100910355,-0.749810799192065,-81.4130576580807,0.0814936210103711,-0.02007104955964,0.902767790646407,0,0,0,0,0,0
1,4,126.238573009724,-0.10642092463456,-0.0634609178856014,351.380623245165,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.8225613454714,-0.999747732256087,-84.9664478442799,-0.0899141323133447,0.114761664657405,0.965996128351981,0,0,0,0,0,0
2,4,126.818132556831,-0.174210253130587,-0.0515390395608636,116.619556747985,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.8225613454714,-0.999747732256087,-84.3868882971734,-0.157703460809373,0.126683542982143,-0.136956919326884,0,0,0,0,0,0
3,4,121.789713779058,0.2291123189252,-0.238898719989242,49.0014273472115,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.8225613454714,-0.999747732256087,-89.4153070749463,0.245619111246415,-0.0606761374462352,-1.00402447706905,0,0,0,0,0,0
4,4,145.192892921635,0.0568772114122054,-0.25968269895827,21.671413441663,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.8225613454714,-0.999747732256087,-66.0121279323685,0.0733840037334202,-0.081460116415263,-1.81987986513486,0,0,0,0,0,0
5,4,138.769031884646,-0.0934251843080017,-0.118514978967131,32.9094927468525,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.8225613454714,-0.999747732256087,-72.4359889693583,-0.0769183919867868,0.0597076035758756,-1.40211275479778,0,0,0,0,0,0
6,4,120.490846500138,0.0291619255833314,-0.137227671322679,53.4447987596156,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.8225613454714,-0.999747732256087,-90.7141743538656,0.0456687179045463,0.040994911220328,-0.917224581944989,0,0,0,0,0,0
7,4,151.272235709663,-0.0800916530713512,-0.00255024995187888,310.907369840863,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.8225613454714,-0.999747732256087,-59.9327851443405,-0.0635848607501364,0.175672332591128,0.843621117353043,0,0,0,0,0,0
8,4,138.342113318626,-0.160426676107605,-0.0855800487803113,70.0794962175451,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.8225613454714,-0.999747732256087,-72.8629075353778,-0.14391988378639,0.0926425337626952,-0.646243646364638,0,0,0,0,0,0
9,4,136.967399458543,-0.0144512427718157,0.0102542764506827,536.414503656383,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.8225613454714,-0.999747732256087,-74.2376213954606,0.00205554954939918,0.188476858993689,1.38903328563377,0,0,0,0,0,0
10,4,133.033242649511,0.0512680311383987,0.0876333581605636,129.53825579944,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,1.8225613454714,-0.999747732256087,-78.1717782044931,0.0677748234596135,0.26585594070357,-0.0318976551974846,0,0,0,0,0,0
1,5,401.45182082398,0.0733922482285638,0.0970236080496843,86.6595023215472,0.00121020693756445,0.108607839063222,-0.000707563389168524,-0.000209342934051453,0.683460504551773,-0.374905399596032,190.246799969977,0.0898990405497787,0.275246190592691,-0.433887230880527,0,0,0,0,0,0
