"rep"	"id"	"b02"	"b12"	"b03"	"b13"	"p1"	"g1"	"p2"	"g2"	"alpha12"	"alpha13"	"alpha22"	"alpha23"
1	"2"	7.44842973978928	0.00377527388960453	3.75789319744204	-0.11407880327369	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"3"	7.35232475292125	0.00946186176687413	3.5150383584708	-0.178696352237973	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"6"	7.42272741468754	0.00707581833576259	6.27966593667425	-0.109582517284013	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"8"	7.38641117563315	0.00816158218235344	4.35113855135411	0.0288616431551097	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"11"	7.35110614256283	0.000892760256454362	5.91115553413543	0.118895682267376	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"13"	7.38427070778074	0.0023826561060398	3.46650217976625	-0.161437494374758	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"14"	7.4429366702504	-0.00569433652650569	3.91799560522501	0.146370615180002	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"17"	7.3786593314771	0.00152728423058783	3.21663881024137	0.0299775656479632	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"21"	7.37473628900248	0.00584881253269471	3.79971879756267	-0.0764095698739001	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"22"	7.36945600344563	-0.0021897267227006	4.2585745809699	-0.174064493166694	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"24"	7.37139269196398	-0.00607330669773958	3.12330773047358	-0.135332633299011	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"25"	7.40081878526995	-0.00410200996063559	4.52357223918692	-0.218515107338589	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"26"	7.48155233485029	0.00263500053520584	3.93012194050495	0.0171070382635342	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"27"	7.4582605449004	-0.00415366177940205	3.73883451743743	-0.0382853248475021	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
1	"30"	7.37719507269669	0.00374588819439214	4.07984265104832	-0.00990143400418017	0.03567834	0.1173867	0.7222335	0.1260609	-11.8208	0.6628838	3.69171	-0.1769821
