"rep"	"id"	"b01"	"b11"	"b21"	"a1"	"b02"	"b12"	"b03"	"b13"	"b05"	"b15"	"p1"	"g1"	"p2"	"g2"	"alpha11"	"alpha12"	"alpha13"	"alpha15"	"alpha21"	"alpha22"	"alpha23"	"alpha25"
1	"3"	2.13873394014608	-0.251538013570105	-0.158742403355668	18.8252895517649	7.29616500143155	0.00776679403549194	4.16946254199879	0.0544582437552377	7.58664276186431	0.112250225630242	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"4"	6.82575979098924	0.015528776961663	-0.132401391801717	8.46019893277383	7.41795341234015	0.00835904044294498	4.77585199174887	-0.108067062333461	7.95807788800321	-0.232595388857367	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"6"	4.88495515278154	-0.0904177483447245	-0.10454456662316	4.44709981957129	7.41093004638615	0.00154849540501088	3.42863575984161	-0.0844177059032861	7.08817745561701	0.210821970658019	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"10"	4.38570938518424	0.000183114144289537	-0.108701463150297	2.57304866680648	7.37906902018258	0.00330082213928814	3.5628073276937	-0.198163106901795	6.34640111491546	-0.0894488704298353	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"11"	6.7852441633758	-0.0513243501419431	-0.108241879987672	12.1621177121727	7.35032113319556	0.00554581994293596	5.01451494438733	-0.0573718471634568	7.87652479845549	-0.153199714644265	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"12"	2.59882920635494	-0.196292711296967	-0.123440780503225	1.85209721697055	7.43415577390779	0.0123971296024391	3.47098382343573	-0.145543005843574	5.48328842946461	-0.0818699547700198	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"16"	2.82608830637616	0.0199699056089247	-0.206515746886295	4.49344095614388	7.36086424743494	-0.000150649856185361	3.55954762836024	0.0198869877609845	7.07484296682265	-0.0860867631356851	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"17"	5.78211593144294	0.00108208242035877	-0.140651502047058	11.9218374310596	7.40180375513826	0.0015831530791184	4.21358719830526	-0.418350855197747	6.12587651514177	-0.107535847429257	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"19"	3.44043002609597	0.0599216817105826	-0.191052807016586	6.73351608962127	7.42260757025468	0.0083830345419301	4.25025835948289	-0.185307632463909	6.15457056297415	-0.0437995866574915	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"21"	6.77129182917973	-0.145844438974882	-0.172419667455556	9.94162162615366	7.38771040065544	0.00586950761129437	4.38254562513693	0.140698302671092	7.02926465315899	0.0530164790672883	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"22"	8.32517706786763	-0.320494654238436	-0.157143918997569	2.36329003047995	7.35492225528662	-0.000624994066145955	3.28293844641747	0.106546915806148	6.56501313940441	-0.0231407828415134	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"23"	4.49379706279069	-0.0589616561627173	-0.223610212389546	1.99046167299165	7.47142850833005	0.00437068306040799	5.48000021515134	0.0303823943818675	7.69863065103176	-0.145151516530702	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"26"	5.8544568374013	-0.107513882555286	-0.0990705006286305	5.26643942229197	7.45986200965038	-0.00659285625526884	3.38191196386854	-0.207496686050577	5.92195640856198	-0.227162886064551	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"27"	6.29855393565673	-0.00297752937997332	-0.0680313662913618	7.9525712619732	7.43013484023357	0.00710161955595869	4.49398751274675	-0.0571864788514286	6.7152395335552	-0.0845268094440746	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"29"	5.41356867377738	-0.0121565098628154	-0.0309190860041866	5.82603686015142	7.390866526315	0.00822634176038864	3.85903831618465	-0.0822196865998312	7.92986999483451	0.0785274973990174	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"34"	5.77912243442921	-0.224512394717083	-0.0883566082313278	3.1205927901883	7.43841493245762	-0.000148164869790866	4.86114100620959	-0.167554080915952	7.4413805955952	0.0452038967229719	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"35"	6.13978989595365	-0.121076951358925	-0.12376253735355	7.39931883239703	7.38368665456753	0.00106579059360795	4.64061263573211	-0.181085889007127	6.6842650543839	-0.0436283454846671	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"36"	5.13264593400981	0.054077124213508	-0.162033577959984	2.41735775308344	7.42970257737739	0.0077902444914641	4.43926960081722	-0.170191318960716	6.69365582652596	0.17350981658808	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"44"	4.28154073306548	-0.220071068611013	-0.107754518884007	22.2205021077543	7.42875815983048	-0.00329092702498776	3.98192003454444	0.027756386700829	6.87320652721771	-0.00117938530050121	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"48"	5.09732739071165	0.0710007119773509	-0.179365919900639	16.2933618055194	7.44678646730746	0.00266232775190613	4.12433451171187	-0.00667351610276129	7.19666602477492	0.0900752062771945	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"49"	8.10123971546622	-0.212852813702737	-0.0858283861552917	4.58069770801412	7.43411431858442	-0.00296743816459154	4.50680166202411	-0.426020217319687	5.65030006691162	0.109462629297404	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
1	"52"	10.7474609715815	-0.0423930160530578	-0.122654754792219	11.0073802087404	7.44401944490539	0.00775431275332589	3.30266871346747	-0.236939378223327	5.67009400279424	0.0357941734945919	0.04208601	0.06726587	0.7337573	0.1523893	0.1721303	-15.4922	0.7260606	-0.1866695	-0.07662251	3.86999	-0.2522118	4e-16
