"rep"	"id"	"b01"	"b11"	"b21"	"a1"	"b02"	"b12"	"b03"	"b13"	"b06"	"b16"	"b07"	"b17"	"p1"	"g1"	"p2"	"g2"	"alpha11"	"alpha12"	"alpha13"	"alpha16"	"alpha17"	"alpha21"	"alpha22"	"alpha23"	"alpha26"	"alpha27"
1	"3"	7.26729557016111	-0.0476873396322618	-0.031367994838595	0.856920558577751	7.4009243029595	0.00871210890229782	5.64655451567494	-0.167352693969476	3.21975632493259	-0.0111412522509106	461.164136848374	-7.49586254524715	0.0642589	0.0368393	0.7366447	0.1318472	0.1215666	-7.43621	0.6638237	0.3300118	0.003699837	-0.07827595	0.0005154387	-0.1612527	7.110679e-10	-0.001258189
1	"4"	5.97841597438316	-0.215248722069177	-0.0060986086939426	3.75731610312108	7.41222129682645	0.0061263144869982	3.06642502064199	-0.0447632632884433	3.46457941074154	-0.126418155907737	331.789234216511	-10.9419513705326	0.0642589	0.0368393	0.7366447	0.1318472	0.1215666	-7.43621	0.6638237	0.3300118	0.003699837	-0.07827595	0.0005154387	-0.1612527	7.110679e-10	-0.001258189
1	"8"	2.46597380219173	0.0969696843832727	-0.151705841909931	6.90310552945618	7.34482808934754	0.0107179405211328	3.73529777593666	-0.103398925131275	6.26152285105567	-0.127267440718518	332.228577897563	-4.67773011756003	0.0642589	0.0368393	0.7366447	0.1318472	0.1215666	-7.43621	0.6638237	0.3300118	0.003699837	-0.07827595	0.0005154387	-0.1612527	7.110679e-10	-0.001258189
1	"10"	9.4707710660515	0.0449057029678769	-0.15661486296282	7.39182856072248	7.36880806885752	-0.0023106869573001	4.74821192545591	-0.194106121028816	4.13658185064619	-0.02852940259374	357.704544392338	-7.84268066673868	0.0642589	0.0368393	0.7366447	0.1318472	0.1215666	-7.43621	0.6638237	0.3300118	0.003699837	-0.07827595	0.0005154387	-0.1612527	7.110679e-10	-0.001258189
1	"11"	7.94726616805563	0.0278547387523303	-0.134571866737783	3.40157161243603	7.38623221988946	0.00359000759466171	3.06882767090622	-0.129146323983213	5.56786755353196	0.0381744633674026	283.91920951742	-14.1145762130954	0.0642589	0.0368393	0.7366447	0.1318472	0.1215666	-7.43621	0.6638237	0.3300118	0.003699837	-0.07827595	0.0005154387	-0.1612527	7.110679e-10	-0.001258189
1	"15"	4.63954355504192	-0.1023127869483	-0.192725310217743	3.27269623158803	7.51540049992568	0.00535445151173359	3.56649106141403	-0.331731627734507	4.58493052248627	0.0427223984522154	445.070625571011	-2.38028155356683	0.0642589	0.0368393	0.7366447	0.1318472	0.1215666	-7.43621	0.6638237	0.3300118	0.003699837	-0.07827595	0.0005154387	-0.1612527	7.110679e-10	-0.001258189
1	"16"	3.10710558708399	-0.102446183755829	-0.257588803733306	5.38911020791371	7.42647542079483	0.00399767978273113	6.33017613297915	-0.384827153918319	4.24351852468283	-0.120918862675426	439.13718853592	-8.03931525977971	0.0642589	0.0368393	0.7366447	0.1318472	0.1215666	-7.43621	0.6638237	0.3300118	0.003699837	-0.07827595	0.0005154387	-0.1612527	7.110679e-10	-0.001258189
1	"17"	6.03737113319905	-0.337154773790189	0.0162395773482112	6.00965903637796	7.4387607100794	0.001732126521211	3.61349825560068	-0.202681126444498	6.08771637066247	0.0787886148325549	529.89059118071	-9.85308917865987	0.0642589	0.0368393	0.7366447	0.1318472	0.1215666	-7.43621	0.6638237	0.3300118	0.003699837	-0.07827595	0.0005154387	-0.1612527	7.110679e-10	-0.001258189
1	"18"	2.45094747874404	-0.182321670817958	-0.0872460386395852	2.04392278223873	7.44703321395176	0.00865479961041809	2.54764104529146	-0.408029720594293	3.57520285795436	-0.23227755350155	240.915061377459	-10.5640438558358	0.0642589	0.0368393	0.7366447	0.1318472	0.1215666	-7.43621	0.6638237	0.3300118	0.003699837	-0.07827595	0.0005154387	-0.1612527	7.110679e-10	-0.001258189
1	"20"	5.90891037020151	-0.15799310445264	-0.21624370214339	15.0736217274302	7.31888451764288	-0.00478082023495571	5.11887994076639	-0.00482361840368917	4.67589277494841	-0.124548187158705	362.882137836463	5.41040068049616	0.0642589	0.0368393	0.7366447	0.1318472	0.1215666	-7.43621	0.6638237	0.3300118	0.003699837	-0.07827595	0.0005154387	-0.1612527	7.110679e-10	-0.001258189
1	"24"	3.04562760292137	-0.0803560980297883	-0.0451259145708774	0.592092743993181	7.4133473459874	0.00556673792174676	5.81613507090031	0.0786909470277479	4.0907285024215	-0.0340436799748058	484.461281380044	0.535521533966772	0.0642589	0.0368393	0.7366447	0.1318472	0.1215666	-7.43621	0.6638237	0.3300118	0.003699837	-0.07827595	0.0005154387	-0.1612527	7.110679e-10	-0.001258189
