"rep"	"id"	"b01"	"b11"	"b21"	"a1"	"b03"	"b13"	"p1"	"g1"	"p2"	"g2"	"alpha11"	"alpha13"	"alpha21"	"alpha23"
1	"3"	3.53361057030125	-0.309396216361788	-0.069118950671042	3.32532825756384	4.30030566455152	-0.0142079051555274	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"4"	2.59951612266987	-0.0625765736960201	-0.136144498224559	2.55931409032158	2.62118127154891	-0.309796661446851	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"6"	6.47485504121237	-0.103005909925631	-0.0607688624001614	8.11618357437455	3.10280211411259	-0.0493457387269315	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"11"	5.82981931852193	-0.105185672539336	-0.129509790524693	2.85001926738007	3.43362855981541	-0.263265468602431	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"15"	7.05719977343443	-0.3051286937278	-0.0418882005809414	5.68409469246941	4.51676489609653	-0.230588716300648	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"19"	8.74530603553174	-0.232705165471786	-0.140562142332062	5.10841641971203	2.30522990076098	-0.141988951704951	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"21"	6.94582546751978	-0.0696291114474358	-0.12084596524641	14.7246962162921	5.18612104753786	-0.121429181469686	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"23"	3.77035469417615	-0.143605621373246	-0.208401858703505	11.6337966212672	2.58867377711966	-0.0689659289613521	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"26"	4.32746320926327	-0.152831918518765	-0.15146523264193	1.9375506060343	5.11798284954513	-0.0611525146511822	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"27"	5.67903714986866	-0.137676240081283	-0.129497829254111	4.29124883836903	4.26011594642145	-0.0884781615460822	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"30"	7.27745943174629	-0.146934994760913	-0.142441563117014	2.75659219337692	2.37057107059163	0.0119452316256455	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"32"	7.10111687751669	-0.077665596901847	-0.154063092165089	26.2231402875657	5.58601018378827	-0.181214373031824	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"34"	7.75334701123917	-0.0527752453817886	-0.145094906783498	15.0553871235835	3.2573489604272	-0.341763002187805	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"37"	4.25872999976023	-0.0881649077931178	-0.0996206805485342	3.78812558288325	3.07005620652573	-0.00978015756233706	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"40"	2.20007106048554	0.00188478769364545	-0.140081384664124	4.8179124098443	3.64849276167372	-0.0885737935152303	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"41"	4.33752303913613	-0.230069811905196	-0.0762627131338119	3.17701813038383	5.36673918777621	-0.423736392826145	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"43"	3.41784217431941	-0.127672459547613	-0.0455418444905151	7.31480657019957	5.44350295701531	0.00387999090918399	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"45"	5.75963271204511	0.0534557180183861	-0.138858366422235	10.0787966018966	3.64583753336126	-0.148550365751292	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"47"	3.686285129946	-0.138483107562906	-0.185070816482115	11.0141869953934	4.09208258623941	-0.527671245013488	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"49"	6.42166864005073	-0.0740681038919259	-0.166038947490846	1.88628613212377	4.46945006496452	0.19968952373268	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"50"	4.90449399712675	0.020361290680718	-0.143365913096004	11.4385711456293	5.54275589163833	-0.271158863510549	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"52"	5.337665658716	0.0327999527234766	-0.149955855644832	31.4675158440162	3.11024016738967	-0.230635953337092	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"55"	6.44255903696884	-0.0828251600260973	-0.0675111285450123	2.96968135517296	3.57040001476512	-0.172727507449444	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"56"	6.14064329303928	-0.152718523630546	-0.118871624674024	2.85111879196508	4.25901511771768	-0.0733441820630886	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"57"	4.19704170724255	0.0515691408604726	-0.148804300159295	13.5882941650243	4.39860391620466	0.0317106637113728	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"58"	4.32256707766229	0.0282592552759691	-0.17622313779384	7.09540686891858	4.29458082379207	0.028232302685456	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"60"	4.98662883037869	-0.00271530068372219	-0.149683485077689	7.19600269320275	4.00009048973157	-0.156383679734982	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"61"	6.13575008715872	-0.157998523896535	-0.141140610416494	11.9582995074098	4.60294190058786	0.0128927492250373	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"62"	5.2177272134368	0.0291677745587022	-0.133911664006452	10.0288819729761	4.15986642493943	-0.126236415342293	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"64"	4.941646001777	-0.152723085030654	-0.0680175079858914	2.68407266455364	2.2118753866056	-0.112477148135525	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"65"	5.63648907926344	-0.0569983752104922	-0.146293562250302	6.64377626503798	3.75537951662234	0.253235260524048	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"70"	4.49822378837357	-0.0922658618841	-0.124722859999622	1.57060143832625	4.9146780683858	-0.0158792969611779	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"71"	6.18029260925673	-0.295142481387713	-0.153259283163289	4.3546560496582	4.96493896132022	-0.243216118987661	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"73"	4.2936915808799	-0.0585104200297448	-0.105738178236374	2.9988660374061	4.00480147226039	0.178353834448843	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"76"	6.88208958059347	-0.292318213834081	-0.132941255817002	4.20690363986991	4.75615586417265	0.0319054111279654	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"77"	5.02569736512063	-0.0882772425621327	-0.208386079574124	8.98351864056952	3.83267939716803	-0.165147306864451	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"78"	7.47930583181396	-0.226935246335575	-0.133891250238348	7.08431842305585	4.79094874023515	0.251939648005371	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"80"	6.82612793784412	-0.171165739060445	-0.136154466305027	2.7023683340772	3.19835397024685	-0.116592004672798	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"81"	7.4978202872275	-0.248837026425952	-0.144029446522246	6.26093687988305	3.95348156558932	-0.183304499797717	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"83"	2.51622004475949	-0.217638241936374	-0.187775636575398	2.67480588854905	4.4298985089462	-0.0105627027346285	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"84"	6.27261777873898	-0.251164727515717	-0.145893682711334	14.7643796892262	6.14209103926478	0.12193089299334	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"86"	2.15859183740913	-0.194547110851788	-0.153369305604118	6.84074730960838	4.14948102328277	-0.252551551878277	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"87"	3.90639201696119	-0.0945804044623757	-0.123806484774242	12.8513343887617	4.96090966884567	-0.320896890043311	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"88"	2.82917080766451	-0.166185501732252	-0.11297320275102	7.82008411343671	4.75127832750729	-0.131931899663465	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"90"	4.88413850663372	-0.176749804896472	-0.13353333399228	6.63213814775575	4.42157466737933	-0.0699827001921428	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"92"	5.63266582743577	0.0664006436598316	-0.152756093542816	11.8555960321794	4.32053625554319	-0.246556210354935	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"94"	3.93052488189675	-0.12978797895065	-0.201697585207	7.49434320494548	4.7308755265707	-0.317058196418186	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"96"	3.6603984874702	-0.130404363785172	-0.100875213214873	14.6754390070458	2.50235402332055	-0.14745062855893	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"97"	3.24766388644903	-0.0706087502901112	-0.0834223974690074	2.15338681167816	5.11289573026368	-0.351052579823208	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"99"	2.52508687299032	-0.212895062921787	-0.0447567336607361	1.80989811656819	3.94396012338774	-0.0657573301614288	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"107"	2.07898098477976	-0.122433516446733	-0.0988689498488774	2.44562768244836	3.9943821307671	-0.179926202064932	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"112"	8.65669552627148	-0.312765880127892	-0.131034711707684	6.98933383828467	4.28085816520474	-0.227109744009714	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"115"	1.80435875656065	-0.115372558614363	-0.20907039707865	2.34938747167829	2.234212443166	-0.443281264990151	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"116"	1.88044156356919	-0.0727103442867434	-0.168760018621637	6.98347921683454	6.02220947172921	-0.303442222238172	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"117"	2.7904391589702	-0.0910156049040488	-0.0309397863687222	4.9336054983157	3.37166949795599	-0.387493584613593	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
1	"118"	6.97389160678006	-0.163625275432836	-0.0983089078155759	2.99145397539622	3.83052540324497	-0.369675974593384	0.03837454	0.1122433	0.7810985	0.1097227	0.1975302	0.661713	-0.125938	-0.1647075
