parameter,value,se_sa,rse_sa,pvalue_sa
b0_pop,5.63742888928762,0.124098264552426,2.20132736021275,
b1_pop,0.0379517503541333,0.0147171544644464,38.7785920994907,
h1_pop,0.000792535577141801,0.000358747158695691,45.2657481938509,
h2_pop,0.102340967704685,0.0147492719193083,14.4118941320437,
alpha1_pop,0.360607586324897,0.129187808530583,35.8250390257149,
alpha2_pop,-0.420381147561185,0.066452577372286,15.8076968384064,
hcov1_pop,0,,,
beta_hcov1_score4C,0.257929554824833,0.047497488313596,18.4149072586322,5.62332249653963e-08
hcov2_pop,0,,,
beta_hcov2_score4C,-0.130039746249449,0.0213163163117955,16.392154650091,1.05750874723753e-09
omega_b0,1.63591492548559,0.106408549241404,6.50452829689897,
omega_b1,0.0629880018020189,0.0124891598044505,19.8278393458263,
e_a,1.29421878383296,0.0392933721248857,3.03606875558661,
