parameter,value,se_sa,rse_sa,pvalue_sa
b02_pop,4.24451594397355,0.0605134383468169,1.42568526412853,
b12_pop,-0.156204687007382,0.0123029333908085,7.87616148177878,
b03_pop,5.59547607589524,0.121580318471778,2.17283242431388,
b13_pop,0.0476530623600182,0.0113655024789825,23.8505185524412,
h1_pop,0.00042609134766917,0.000252211681358696,59.1919274442814,
h2_pop,0.103486542644181,0.0157032098945038,15.1741564586772,
alpha12_pop,0.497885120057587,0.0765529056280393,15.3756162905983,
alpha13_pop,0.470088127678761,0.143730457864576,30.5752154546637,
alpha22_pop,-0.266855267699426,0.0395043051575899,14.8036444991919,
alpha23_pop,-0.505168751052664,0.0665296550651873,13.1697882987722,
hcov1_pop,0,,,
beta_hcov1_score4C,0.335369158206595,0.0573456249001852,17.0992542089571,4.9689614645132e-09
hcov2_pop,0,,,
beta_hcov2_score4C,-0.159502707313065,0.0228550701693784,14.3289543822723,2.97539770599542e-12
omega_b02,0.969681354360019,0.0484564400953623,4.99715085553471,
omega_b12,0.165924870545024,0.00928916483934933,5.59841620417518,
omega_b03,1.65676381138531,0.106091789194736,6.40355544137746,
omega_b13,0.0654993773895704,0.0104751062835668,15.9926806956714,
a_2,0.695058071286444,0.012666915187258,1.82242545055459,
a_3,1.2933145483676,0.0382498216905458,2.95750339612464,
