b0_pop,0.041187,-0.0015507,-1.6847e-07,-2.3777e-05,0.00026621,0.0004945,1.8007e-05,-3.5422e-05,0.00067016,-0.00020033,0.0018708,-7.0687e-05
b1_pop,-0.0015507,0.00072273,9.4502e-07,-1.352e-06,-8.902e-05,-1.78e-05,-2.8796e-05,-1.5459e-06,1.7868e-05,0.00015046,-0.00026779,6.7891e-06
h1_pop,-1.6847e-07,9.4502e-07,2.2422e-07,-1.7087e-08,-1.4956e-07,8.8408e-08,-1.934e-05,2.9949e-09,-4.1565e-07,-1.6802e-07,-1.0787e-07,4.4888e-09
h2_pop,-2.3777e-05,-1.352e-06,-1.7087e-08,0.00017854,1.6927e-05,-2.1564e-05,6.1561e-07,-0.00021464,-1.0396e-05,-1.0184e-06,-2.9597e-07,1.0927e-08
alpha1_pop,0.00026621,-8.902e-05,-1.4956e-07,1.6927e-05,0.0023065,-0.0004208,-5.261e-05,2.774e-05,-2.8909e-05,0.00017693,0.00031457,-1.7621e-05
alpha2_pop,0.0004945,-1.78e-05,8.8408e-08,-2.1564e-05,-0.0004208,0.00055303,1.2845e-05,-4.1315e-05,0.00020186,2.0925e-05,8.3021e-05,-2.3995e-06
beta_hcov1_score4C,1.8007e-05,-2.8796e-05,-1.934e-05,6.1561e-07,-5.261e-05,1.2845e-05,0.0019239,-2.2846e-06,1.4689e-05,1.0989e-05,-9.1073e-06,4.4108e-07
beta_hcov2_score4C,-3.5422e-05,-1.5459e-06,2.9949e-09,-0.00021464,2.774e-05,-4.1315e-05,-2.2846e-06,0.00037129,-1.0762e-05,-2.2889e-06,-8.0515e-06,2.539e-07
omega_b0,0.00067016,1.7868e-05,-4.1565e-07,-1.0396e-05,-2.8909e-05,0.00020186,1.4689e-05,-1.0762e-05,0.027218,0.00021779,-0.003858,9.0851e-05
omega_b1,-0.00020033,0.00015046,-1.6802e-07,-1.0184e-06,0.00017693,2.0925e-05,1.0989e-05,-2.2889e-06,0.00021779,0.00060481,-2.1495e-05,-7.7669e-06
e_a,0.0018708,-0.00026779,-1.0787e-07,-2.9597e-07,0.00031457,8.3021e-05,-9.1073e-06,-8.0515e-06,-0.003858,-2.1495e-05,0.22361,-0.0080437
e_b,-7.0687e-05,6.7891e-06,4.4888e-09,1.0927e-08,-1.7621e-05,-2.3995e-06,4.4108e-07,2.539e-07,9.0851e-05,-7.7669e-06,-0.0080437,0.00029407
