parameter,value,se_sa,rse_sa,pvalue_sa
b03_pop,4.23840789194339,0.0600215164037805,1.41613355613727,
b13_pop,-0.153022474977412,0.0125619547708487,8.20922205885313,
b06_pop,93.505022060236,0.301073887725321,0.321986863477097,
b16_pop,0.0107195020097094,0.0229963977843933,214.528601828368,
h1_pop,6.09489638989021e-05,6.44966252527027e-05,105.820708223499,
h2_pop,0.0742044907688737,0.0153703901151657,20.713557839835,
alpha13_pop,0.773898850985876,0.151520219419708,19.5788143665914,
alpha16_pop,1.00078977714716,0.221457440444861,22.1282676443943,
alpha23_pop,-0.147408234157634,0.0326392055441959,22.1420504293488,
alpha26_pop,-0.211754988497754,0.0551225106940979,26.0312690081833,
hcov1_pop,0,,,
beta_hcov1_score4C,0.510422450185997,0.0882533159981392,17.2902496678937,7.3115871135343e-09
hcov2_pop,0,,,
beta_hcov2_score4C,-0.140665767089286,0.0236046179016351,16.7806413671724,2.53401610805781e-09
omega_b03,0.958209544801333,0.047621881135211,4.96988173344532,
omega_b13,0.167146973852184,0.00961591765522738,5.75297143203514,
omega_b06,3.01639908700065,0.422389183716596,14.0030934744977,
omega_b16,0.147050499962219,0.0296031432541421,20.1312768482582,
a_3,0.693457138274852,0.0126690569764816,1.82694160564834,
a_6,6.06463223987082,0.116167726639787,1.9154949887326,
