id,eta_b01_SAEM,eta_b11_SAEM,eta_b21_SAEM,eta_a1_SAEM,eta_b02_SAEM,eta_b12_SAEM,eta_b03_SAEM,eta_b13_SAEM,eta_p1_SAEM,eta_g1_SAEM,eta_p2_SAEM,eta_g2_SAEM,eta_alpha11_SAEM,eta_alpha12_SAEM,eta_alpha13_SAEM,eta_alpha21_SAEM,eta_alpha22_SAEM,eta_alpha23_SAEM
42,2.19154,-0.0302027,-0.00187841,-0.233768,-0.00394578,0.00114868,-0.480994,-0.0539247,0,0,0,0,0,0,0,0,0,0
43,1.32893,0.0338177,-0.00668362,-0.0382888,0.0312261,0.000583369,0.723947,-0.090738,0,0,0,0,0,0,0,0,0,0
44,0.901053,0.0979822,-0.016269,0.411521,-0.0106903,-0.00188372,0.958794,-0.227168,0,0,0,0,0,0,0,0,0,0
45,1.42524,0.0269413,-0.00700523,0.0267271,-0.0272346,-0.000997867,-0.0273354,0.0475167,0,0,0,0,0,0,0,0,0,0
46,-1.91851,-0.0168094,0.00420531,0.00783758,0.0283376,-0.000146411,-0.602832,-0.018128,0,0,0,0,0,0,0,0,0,0
47,-2.15802,-0.0125183,0.00486078,-0.187012,0.0155616,0.0024603,1.63324,-0.00872715,0,0,0,0,0,0,0,0,0,0
48,1.39108,0.0644289,-0.0192078,0.00493532,-0.00327448,0.000222216,0.919426,0.260061,0,0,0,0,0,0,0,0,0,0
49,-2.09366,-0.014912,-0.000621755,0.081008,0.0335902,9.74147e-05,0.200946,-0.00825307,0,0,0,0,0,0,0,0,0,0
50,2.88514,0.113692,0.00568724,-0.230745,0.0260914,-0.000528041,-0.347259,-0.0377103,0,0,0,0,0,0,0,0,0,0
51,1.05366,0.0114248,-0.000513878,-0.230668,-0.00457633,-0.00158355,-1.48039,-0.0881449,0,0,0,0,0,0,0,0,0,0
52,1.16884,-0.0130425,-0.00396478,-0.156949,-0.0264092,-0.00284909,-0.700887,-0.124244,0,0,0,0,0,0,0,0,0,0
53,-0.281893,-0.081836,0.0197584,0.213363,-0.0201459,-0.00115383,0.622024,-0.091783,0,0,0,0,0,0,0,0,0,0
54,-3.1624,-0.08435,0.0338031,-0.189132,0.0133707,0.00113495,-0.563915,-0.0502316,0,0,0,0,0,0,0,0,0,0
55,-0.342136,-0.0176642,-0.00537955,-0.00448173,-0.0135943,-0.000193008,-0.711789,-0.0154875,0,0,0,0,0,0,0,0,0,0
56,1.1454,0.0203611,-0.0169191,0.00404231,0.00449398,-0.0025933,0.210871,0.16938,0,0,0,0,0,0,0,0,0,0
57,-1.04932,-0.00859226,-0.00444027,-0.25412,0.00368637,-0.000293884,-0.365637,-0.149986,0,0,0,0,0,0,0,0,0,0
58,-0.322033,0.12202,-0.0280024,0.82014,0.0670351,0.00186211,0.597548,0.135633,0,0,0,0,0,0,0,0,0,0
59,-1.44489,0.0492707,-0.00610671,-0.0444246,0.0586189,-0.000290977,-0.279332,0.101467,0,0,0,0,0,0,0,0,0,0
60,0.73076,-0.152328,0.011733,0.653453,-0.0294236,0.00390885,0.167981,-0.123914,0,0,0,0,0,0,0,0,0,0
61,0.608904,-0.0163311,0.00290467,-0.297398,0.0455771,0.00276796,0.783036,-0.0390689,0,0,0,0,0,0,0,0,0,0
