b0_pop,1.4991,-0.0338,1.1762,-1.2456,9.9287e-06,0.00016293,2.3779e-05,8.8421e-06,-0.00094582,-0.00026999,0.55657,0.0227,-0.43921,0.087254,-0.00021848
b1_pop,-0.0338,0.0042128,-0.086297,-0.0045323,-4.8213e-07,-1.4244e-05,-2.3541e-06,-5.5046e-07,5.4024e-05,2.2498e-05,-0.017398,-0.0024031,0.032529,-0.0015271,-7.7747e-06
b2_pop,1.1762,-0.086297,7.4138,-0.10597,1.8219e-05,0.00031697,5.8254e-05,1.7407e-05,-0.0016763,-0.00048235,0.61019,0.060421,-2.7221,0.092364,0.00090842
a_pop,-1.2456,-0.0045323,-0.10597,5.5894,-1.2014e-05,2.1812e-05,4.8434e-05,-6.9689e-06,0.00085476,-4.3898e-05,-0.48531,-0.0060696,0.062455,-0.30209,-0.00035622
h1_pop,9.9287e-06,-4.8213e-07,1.8219e-05,-1.2014e-05,2.5853e-07,-6.487e-07,-3.0228e-07,4.4715e-08,-2.2595e-05,8.4685e-07,4.038e-06,7.1008e-07,-9.7095e-06,1.6669e-07,-1.7265e-08
h2_pop,0.00016293,-1.4244e-05,0.00031697,2.1812e-05,-6.487e-07,0.00022058,1.0813e-05,-5.0318e-08,2.6575e-05,-0.00027777,7.5645e-05,1.4469e-05,-2.0512e-05,2.587e-05,-3.696e-07
alpha1_pop,2.3779e-05,-2.3541e-06,5.8254e-05,4.8434e-05,-3.0228e-07,1.0813e-05,4.0191e-06,-1.0089e-07,1.497e-05,-1.662e-05,1.4665e-05,1.1347e-06,1.5851e-05,6.5277e-06,-1.8867e-08
alpha2_pop,8.8421e-06,-5.5046e-07,1.7407e-05,-6.9689e-06,4.4715e-08,-5.0318e-08,-1.0089e-07,3.2814e-08,-3.7573e-06,-5.965e-08,3.9073e-06,4.3172e-07,-7.2589e-06,3.972e-07,-9.7856e-09
beta_hcov1_score4C,-0.00094582,5.4024e-05,-0.0016763,0.00085476,-2.2595e-05,2.6575e-05,1.497e-05,-3.7573e-06,0.0022551,-2.7066e-05,-0.00040523,-5.0537e-05,0.00076396,-3.1984e-05,1.1586e-06
beta_hcov2_score4C,-0.00026999,2.2498e-05,-0.00048235,-4.3898e-05,8.4685e-07,-0.00027777,-1.662e-05,-5.965e-08,-2.7066e-05,0.0004603,-0.00012937,-1.1345e-05,2.1969e-05,-3.9231e-05,3.5226e-07
omega_b0,0.55657,-0.017398,0.61019,-0.48531,4.038e-06,7.5645e-05,1.4665e-05,3.9073e-06,-0.00040523,-0.00012937,0.80561,0.011229,-0.23366,0.030976,-0.00054016
omega_b1,0.0227,-0.0024031,0.060421,-0.0060696,7.1008e-07,1.4469e-05,1.1347e-06,4.3172e-07,-5.0537e-05,-1.1345e-05,0.011229,0.0024407,-0.023114,0.001495,-8.1628e-06
omega_b2,-0.43921,0.032529,-2.7221,0.062455,-9.7095e-06,-2.0512e-05,1.5851e-05,-7.2589e-06,0.00076396,2.1969e-05,-0.23366,-0.023114,1.3003,-0.033012,-0.00069319
omega_a,0.087254,-0.0015271,0.092364,-0.30209,1.6669e-07,2.587e-05,6.5277e-06,3.972e-07,-3.1984e-05,-3.9231e-05,0.030976,0.001495,-0.033012,0.032003,-3.4695e-05
e_b,-0.00021848,-7.7747e-06,0.00090842,-0.00035622,-1.7265e-08,-3.696e-07,-1.8867e-08,-9.7856e-09,1.1586e-06,3.5226e-07,-0.00054016,-8.1628e-06,-0.00069319,-3.4695e-05,7.9023e-05
