rep,id,eta_b02,eta_b12,eta_b03,eta_b13,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha12,eta_alpha13,eta_alpha22,eta_alpha23
1,1,-0.0410858207533007,0.000149996953663,-0.354238420819055,-0.0159392104243597,0,0,0,0,0,0,0,0
2,1,0.0174871228321098,0.000671220180169238,0.72219230940378,-0.0725252934953199,0,0,0,0,0,0,0,0
3,1,0.0159898768348725,0.000485108880903242,0.0619664182862776,0.0819969298984281,0,0,0,0,0,0,0,0
1,2,0.082907043394008,0.00255343011356537,-0.117008919928566,-0.235002463549544,0,0,0,0,0,0,0,0
2,2,0.0514905718809233,-0.000699417661376421,-0.163673790003332,0.0113972298305566,0,0,0,0,0,0,0,0
3,2,0.0456538190958273,0.00485115967544147,0.18598025134017,-0.0149000734010132,0,0,0,0,0,0,0,0
1,3,-0.00583337442721898,-0.00190807703271792,2.28519500027335,0.246633963704156,0,0,0,0,0,0,0,0
2,3,-0.0252792864641398,0.000560649912511497,2.0552019508669,0.250292353889749,0,0,0,0,0,0,0,0
3,3,-0.0481322172209264,-0.00246987091905196,2.32324367879707,0.228456090814946,0,0,0,0,0,0,0,0
1,4,-0.0141966107567733,0.00964767778495881,-1.81478795445454,0.232170554606049,0,0,0,0,0,0,0,0
2,4,-0.00944611642359305,0.0105584150250088,-1.2978479604645,0.198206530372053,0,0,0,0,0,0,0,0
3,4,-0.0130287795288391,0.00890293758260072,-2.10321514158771,0.255128788773587,0,0,0,0,0,0,0,0
1,5,0.0503868076329059,0.00983663432375198,-1.36867585578496,-0.0625317037866575,0,0,0,0,0,0,0,0
2,5,-0.00903173232515808,-7.33368779006266e-05,-2.47321546162138,0.0958964677515651,0,0,0,0,0,0,0,0
3,5,0.042166158758711,-0.00345627748079299,-1.53770813081775,0.0646032289081433,0,0,0,0,0,0,0,0
1,6,-0.0302317685998039,0.00526279954074565,-0.792427455106843,-0.0866903826426061,0,0,0,0,0,0,0,0
2,6,-0.0217345114221006,0.00455372024036009,-0.162908401998588,-0.11602973985575,0,0,0,0,0,0,0,0
3,6,-0.0316303137814273,0.00656574930961154,-0.438401915574045,-0.0748535725279207,0,0,0,0,0,0,0,0
1,7,-0.0298845844962061,-5.25125130213639e-05,-0.18805585856154,-0.132619258469272,0,0,0,0,0,0,0,0
2,7,0.0490463415599445,0.00159438523644781,0.229608799442468,-0.0994582111524332,0,0,0,0,0,0,0,0
3,7,0.00638538703814007,0.00680904859805034,0.0911735925272756,-0.115125747717215,0,0,0,0,0,0,0,0
1,8,0.0021719909159339,0.00510510499287844,-0.0563168915806314,-0.0553497507265505,0,0,0,0,0,0,0,0
2,8,0.0206407158721511,0.0047794150350026,-0.833346159934509,0.0190636155962755,0,0,0,0,0,0,0,0
3,8,0.0108136923194833,0.00113030642542888,0.383176953867351,-0.0813715742371113,0,0,0,0,0,0,0,0
1,9,0.00249907711585795,0.0038845687175257,0.968705983072217,-0.1077756589021,0,0,0,0,0,0,0,0
2,9,0.0262740999457938,-0.00592518288243276,-0.216303892098622,0.320777182647621,0,0,0,0,0,0,0,0
3,9,0.0420926359245017,-0.00683529599921607,0.314309525364776,-0.0506341130338998,0,0,0,0,0,0,0,0
1,10,-0.0651487570472984,0.0017859003566505,-1.63671746227393,-0.327922038100963,0,0,0,0,0,0,0,0
2,10,-0.0346383407927036,-0.0122350322332411,-1.15282815774742,-0.491510593097371,0,0,0,0,0,0,0,0
3,10,-0.0909159010483078,0.000648153299714208,-2.14368030097938,-0.289076365990283,0,0,0,0,0,0,0,0
1,11,0.0145636852965456,0.00115120607969279,-0.806533878744486,-0.073358046148067,0,0,0,0,0,0,0,0
2,11,0.00818545950099026,0.00289369910114246,-1.24013584694533,-0.0563749731188904,0,0,0,0,0,0,0,0
3,11,-0.0309445103513424,0.00487836129331542,-0.825459247269451,-0.0806000635475225,0,0,0,0,0,0,0,0
1,12,-0.00758337471934212,0.00824718042853102,-1.64284273003516,0.13907061096097,0,0,0,0,0,0,0,0
2,12,-0.0314882646100223,0.00864395147705625,-1.59571464992231,0.131404772022923,0,0,0,0,0,0,0,0
3,12,-0.00576806258351059,0.00765399935849105,-1.32581215169839,0.125862340346199,0,0,0,0,0,0,0,0
1,13,-0.0187526033160967,0.000105291212575031,0.889296291650719,-0.0199568596566148,0,0,0,0,0,0,0,0
2,13,-0.0337159734579435,0.00168989128747364,1.82963119133595,-0.121014567836616,0,0,0,0,0,0,0,0
3,13,0.0277411836052774,-0.00317616528906338,1.03437113519238,-0.0724118831299204,0,0,0,0,0,0,0,0
1,14,0.0212432095554478,-0.000366731074716774,0.202847286390062,0.283118080257891,0,0,0,0,0,0,0,0
2,14,0.00492271078199114,-0.00111550452523618,0.0984233121987632,0.336938744682083,0,0,0,0,0,0,0,0
3,14,0.0679967546206246,-0.00647585911563549,0.399765922904373,0.283958946162399,0,0,0,0,0,0,0,0
1,15,-0.0262786518570932,7.67107452235155e-05,1.02093879140021,0.00157452024099072,0,0,0,0,0,0,0,0
2,15,-0.0226696908881907,-0.000338758271417406,0.524995370281726,0.0770781139810718,0,0,0,0,0,0,0,0
3,15,-0.0362485436307693,-0.000299658028616773,0.53826458396313,0.0233112169894567,0,0,0,0,0,0,0,0
1,16,0.0896088232092795,-0.00206521230534466,-1.26088073507631,0.108148526377661,0,0,0,0,0,0,0,0
2,16,0.0495052083618672,-0.000687601580524741,-2.13536374210191,0.0297389097944364,0,0,0,0,0,0,0,0
3,16,0.0624441041495398,0.00565868475572727,-1.13898801740408,-0.231982184133021,0,0,0,0,0,0,0,0
1,17,0.0172695071206164,-0.00472793179469283,-1.57348240072368,-0.160910858904416,0,0,0,0,0,0,0,0
2,17,-0.0553064563321808,-0.000696940839675492,-1.61737466374062,0.143252120248841,0,0,0,0,0,0,0,0
3,17,-0.0284701986471498,-0.0018535353684307,-1.83358489434429,0.0674692653635292,0,0,0,0,0,0,0,0
1,18,0.00882324477756491,-0.00345921932165571,-0.350774870509728,-0.01923088998137,0,0,0,0,0,0,0,0
2,18,-0.0470947251839915,-0.000328148372088742,-0.737344624638236,0.0273151669597045,0,0,0,0,0,0,0,0
3,18,-0.0468541038901344,-0.00376223541918129,-0.202300868529758,0.00845642917257036,0,0,0,0,0,0,0,0
1,19,-0.0149572413132466,0.00127119009706138,-0.747565186111137,-0.270388226325557,0,0,0,0,0,0,0,0
2,19,-0.0388532483050623,0.00391896775644306,-1.85019134016271,-0.259750170338199,0,0,0,0,0,0,0,0
3,19,-0.0583520479870545,0.00337761661414338,-0.853686135742181,-0.294396395026682,0,0,0,0,0,0,0,0
1,20,0.00789798194993541,0.00390207175064359,-1.70561305070596,0.32647181653773,0,0,0,0,0,0,0,0
2,20,0.0353800292791986,0.000355444806496104,-2.32330487429343,0.0687674441253948,0,0,0,0,0,0,0,0
3,20,0.0613962572942075,0.000911543255684964,-0.572733924611077,-0.0852520961109536,0,0,0,0,0,0,0,0
1,21,-0.0378934930729837,0.00106361529288276,-0.0474151594983354,0.0419620939045627,0,0,0,0,0,0,0,0
2,21,-0.0177951935990261,-5.81813715312706e-05,0.00977331013226035,0.13362523535886,0,0,0,0,0,0,0,0
3,21,-0.0272208836761525,0.00475690442670845,0.921820463903804,-0.252098839785743,0,0,0,0,0,0,0,0
1,22,0.0559879415909998,0.000647107078729278,-1.96194527846937,-0.471719546695927,0,0,0,0,0,0,0,0
2,22,0.102060444662176,0.000625357009234216,-1.42296486265707,-0.0416567143483065,0,0,0,0,0,0,0,0
3,22,0.0459266512770906,0.00647460475200838,-2.14546944158275,-0.0445353926738853,0,0,0,0,0,0,0,0
1,23,0.0573417289152438,0.000104019135799686,-0.114187583926785,-0.0355395289463085,0,0,0,0,0,0,0,0
2,23,-0.00214358673912951,-0.00471758321898406,0.722069681493229,-0.244255638975756,0,0,0,0,0,0,0,0
3,23,-0.0125871237974255,0.00866907113734204,-0.233242099047922,0.0613087725626896,0,0,0,0,0,0,0,0
1,24,0.0408062720337989,0.000380916257921738,-0.362855268049532,-0.128470130724169,0,0,0,0,0,0,0,0
2,24,0.117448686754153,-0.00358780053553005,-0.142744845179581,-0.133920875675419,0,0,0,0,0,0,0,0
3,24,0.0483413872548972,0.0012635421736099,-0.0407870129120935,-0.177748591072293,0,0,0,0,0,0,0,0
1,25,0.0368255708578316,-0.00283017211577378,-0.0020625295134522,0.06958945181462,0,0,0,0,0,0,0,0
2,25,0.00414347956945438,-0.00283628086812758,0.523365648418284,0.058642555523703,0,0,0,0,0,0,0,0
