parameter,value,se_sa,rse_sa,pvalue_sa
b0_pop,130.023170538009,2.43164031144491,1.8701592196093,
b1_pop,-2.16565277612644,0.4705096655984,21.7259973891091,
b2_pop,-1.37304528702797,0.230808149574162,16.8099444173293,
a_pop,49.8686886983415,18.2715382227813,36.6392995278197,
h1_pop,0.000746522624696443,0.000372521713534301,49.9009274750084,
h2_pop,0.107624041875365,0.0126912888016505,11.7922432390597,
alpha1_pop,-0.0317135154873132,0.00824111635383534,25.9861331271588,
alpha2_pop,-1.1946416478551e-08,7.56038708091146e-08,632.858154115559,
hcov1_pop,0,,,
beta_hcov1_score4C,0.224888033077659,0.0550717153229712,24.4885041544001,4.43531234750605e-05
hcov2_pop,0,,,
beta_hcov2_score4C,-0.126427870156276,0.0180134829626153,14.2480316565873,2.24242846513789e-12
omega_b0,23.1779807460968,1.82483038414214,7.87312063174202,
omega_b1,0.882882686973786,0.217489638274497,24.6340359238412,
omega_b2,0.432284183885079,0.177790249707764,41.1280949744459,
omega_a,0.913649342353854,0.250455181952071,27.4126155781843,
e_b,0.143888704505031,0.00486975061997767,3.38438700711729,
