id,b01_SAEM,b11_SAEM,b21_SAEM,a1_SAEM,b02_SAEM,b12_SAEM,p1_SAEM,g1_SAEM,p2_SAEM,g2_SAEM,alpha11_SAEM,alpha12_SAEM,alpha21_SAEM,alpha22_SAEM,b01_mean,b11_mean,b21_mean,a1_mean,b02_mean,b12_mean,p1_mean,g1_mean,p2_mean,g2_mean,alpha11_mean,alpha12_mean,alpha21_mean,alpha22_mean,b01_mode,b11_mode,b21_mode,a1_mode,b02_mode,b12_mode,p1_mode,g1_mode,p2_mode,g2_mode,alpha11_mode,alpha12_mode,alpha21_mode,alpha22_mode,b01_sd,b11_sd,b21_sd,a1_sd,b02_sd,b12_sd,p1_sd,g1_sd,p2_sd,g2_sd,alpha11_sd,alpha12_sd,alpha21_sd,alpha22_sd
32,5.15132,-0.127905,-0.210674,6.88982,7.43975,0.00706132,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,4.55307,-0.114569,-0.23261,7.81529,7.43942,0.007206,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,2.19526,-0.117293,-0.284483,14.7389,7.44113,0.00696018,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,1.57986,0.0742339,0.0862021,6.62633,0.0192384,0.00334987,0,0,0,0,0,0,0,0
33,5.06099,-0.0393354,-0.197156,6.89703,7.41569,0.00626571,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,4.92072,-0.0406656,-0.208889,6.9301,7.41588,0.0062147,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,3.89207,-0.0298083,-0.191001,7.58719,7.41292,0.00674719,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,1.17575,0.0618339,0.0775854,4.20087,0.0223136,0.00352478,0,0,0,0,0,0,0,0
34,4.97383,-0.316082,-0.0565271,19.715,7.43214,0.00943993,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,5.17827,-0.358116,-0.0427569,16.1509,7.42979,0.00965958,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,5.13769,-0.286097,-0.0692875,21.1017,7.4321,0.00941102,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,0.842158,0.0622916,0.0225887,4.06895,0.0260266,0.0037074,0,0,0,0,0,0,0,0
35,3.96011,-0.110466,-0.271605,12.7739,7.40615,0.00466135,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,4.07199,-0.114312,-0.280461,12.9164,7.40371,0.00476925,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,2.34012,-0.117156,-0.277739,18.8847,7.40567,0.0046888,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,1.59476,0.0475387,0.0752581,9.02956,0.0204181,0.00229225,0,0,0,0,0,0,0,0
36,4.67656,-0.154406,-0.162465,4.62497,7.38829,0.00446952,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,4.82752,-0.144311,-0.172606,5.62275,7.39118,0.0036505,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,4.26358,-0.145957,-0.161078,3.96146,7.389,0.00342224,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,1.01294,0.0979186,0.0904331,5.53242,0.0271852,0.00544405,0,0,0,0,0,0,0,0
37,6.17915,-0.0798577,-0.184906,4.23369,7.43697,0.00643456,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,6.04086,-0.078938,-0.190982,4.91268,7.43457,0.0065943,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,5.20224,-0.028661,-0.153628,4.78213,7.43833,0.00637948,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,1.05656,0.0769751,0.0882329,3.15422,0.0225591,0.00190055,0,0,0,0,0,0,0,0
38,6.38744,-0.191449,-0.129987,5.63267,7.37329,-0.000107422,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,6.26365,-0.197943,-0.124749,4.55767,7.37421,-0.00023114,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,7.41267,-0.17211,-0.0714357,9.44728,7.3775,-0.000454244,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,0.643136,0.067162,0.0764074,3.94354,0.0185307,0.00137001,0,0,0,0,0,0,0,0
39,7.4038,-0.0902725,-0.199428,5.65212,7.38126,0.00125934,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,7.35559,-0.0928608,-0.207117,5.28826,7.38112,0.000858553,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,6.85075,-0.0679126,-0.19561,6.13339,7.38082,0.000962057,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,1.05207,0.0788365,0.0773325,3.85348,0.0228218,0.00422348,0,0,0,0,0,0,0,0
40,3.77152,-0.185382,-0.127576,7.55441,7.33784,-0.00094193,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,3.76042,-0.172973,-0.125339,8.80712,7.33578,-0.000160811,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,3.43492,-0.234544,-0.0896945,12.3306,7.33315,-0.000398881,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,0.934968,0.0920739,0.0839998,7.84337,0.0305069,0.0053378,0,0,0,0,0,0,0,0
41,6.9699,-0.135046,-0.168964,4.20604,7.35771,-0.00304258,0.0624463,0.15033,0.761841,0.0958689,0.101994,-16.6582,-0.0907221,5.11265,6.83811,-0.14064,-0.18439,4.29667,7.36029,-0.00384619,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,6.45391,-0.126607,-0.171868,4.05976,7.35779,-0.00304734,0.0625187,0.150259,0.761715,0.0959531,0.103519,-16.5593,-0.0909297,5.09423,0.799447,0.106409,0.0787846,3.5433,0.0206421,0.00492293,0,0,0,0,0,0,0,0
