parameter,value
b01_pop,4.32498663017319
b11_pop,-0.125990791462942
b21_pop,-0.128288142882165
a1_pop,3.78972726146842
b02_pop,7.39457302926128
b12_pop,0.00333220625249018
b03_pop,4.18141960765342
b13_pop,-0.167371537490245
p1_pop,0.0412241129409433
g1_pop,0.113497156801402
p2_pop,0.753873688962624
g2_pop,0.163763623676731
alpha11_pop,0.151148463028647
alpha12_pop,-16.0859176684544
alpha13_pop,0.617332571268102
alpha21_pop,-0.0810563761349669
alpha22_pop,5.6253919943273
alpha23_pop,-0.28060738202218
omega_b01,1.77463528018898
omega_b11,0.0897305715473646
omega_b21,0.0622860535401945
omega_a1,0.991911978796455
omega_b02,0.0429519397722396
omega_b12,0.00495674500190017
omega_b03,0.790025779197646
omega_b13,0.16651511545991
b_1,0.311791421564919
a_2,0.049891436000332
a_3,0.699698681564339
