rep,id,b01,b11,b21,a1,p1,g1,p2,g2,alpha11,alpha21,eta_b01,eta_b11,eta_b21,eta_a1,eta_p1,eta_g1,eta_p2,eta_g2,eta_alpha11,eta_alpha21
1,1,7.11618012470768,-0.0862299603175455,-0.146114278308406,5.28142806532588,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,2.44526324530292,0.0461602985653092,-0.0106157504071394,0.0304212377924089,0,0,0,0,0,0
2,1,6.39170447850546,-0.0515074020939686,-0.109096693780491,3.23146929536434,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,1.7207875991007,0.080882856788886,0.0264018341207756,-0.460838366264901,0,0,0,0,0,0
3,1,8.31343672908439,-0.186063393816473,-0.105283918665734,1.72735071011522,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,3.64251984967962,-0.0536731349336181,0.0302146092355319,-1.08718643696359,0,0,0,0,0,0
1,2,4.6744213954262,-0.239715946962981,-0.11476079560289,5.29370014970803,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,0.00350451602143842,-0.107325688080126,0.0207377322983767,0.032742172279723,0,0,0,0,0,0
2,2,4.74550505787136,-0.0609382802869237,-0.16461353345106,3.97896260447311,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,0.0745881784665983,0.071451978595931,-0.0291150055497931,-0.25275415709572,0,0,0,0,0,0
3,2,4.81204067047719,-0.0337819375228813,-0.134284274118517,3.62988556881202,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,0.14112379107242,0.0986083213599734,0.00121425378274895,-0.344574166237329,0,0,0,0,0,0
1,3,6.82580598942097,-0.0665410642035885,-0.173942891363396,2.61693953598728,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,2.15488911001621,0.0658491946792662,-0.0384443634621299,-0.671769771315641,0,0,0,0,0,0
2,3,7.75402261487505,-0.161099231749938,-0.14566645046071,3.85152891677365,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,3.08310573547028,-0.0287089728670832,-0.0101679225594432,-0.285305099566126,0,0,0,0,0,0
3,3,6.11981481140605,-0.0663143546528907,-0.0682013862700906,3.86446333565891,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,1.44889793200129,0.066075904229964,0.0672971416311758,-0.281952470227611,0,0,0,0,0,0
1,4,6.76504619077507,-0.0270981092952469,-0.153220020556338,6.37893189067166,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,2.0941293113703,0.105292149587608,-0.0177214926550712,0.219225377812017,0,0,0,0,0,0
2,4,6.65709194257642,-0.0417422847740273,-0.18495492819535,4.35410207369912,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,1.98617506317165,0.0906479741088274,-0.0494564002940835,-0.162656884075602,0,0,0,0,0,0
3,4,6.29301447913967,-0.0980994961123331,-0.150846479753834,2.86386985875781,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,1.62209759973491,0.0342907627705216,-0.0153479518525672,-0.581601482585864,0,0,0,0,0,0
1,5,5.97672125691792,-0.203439251730605,-0.144082009247379,1.89406083826593,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,1.30580437751316,-0.0710489928477504,-0.00858348134611245,-0.995052174449439,0,0,0,0,0,0
2,5,5.55711061581081,-0.0490757652157725,-0.157525238649357,3.83440905958621,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,0.886193736406043,0.0833144936670821,-0.0220267107480907,-0.289759958700601,0,0,0,0,0,0
3,5,6.19473827025673,0.0275596115298434,-0.182752203906959,1.53631849863989,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,1.52382139085196,0.159949870412698,-0.0472536760056927,-1.20438632115839,0,0,0,0,0,0
1,6,3.62146524414612,0.0978394311053124,-0.183627934624428,10.2300845518778,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,-1.04945163525865,0.230229689988167,-0.0481294067231612,0.691557554746115,0,0,0,0,0,0
2,6,6.86043682499116,0.0340798125448141,-0.166654314334572,21.8539723705713,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,2.18951994558639,0.166470071427669,-0.0311557864333059,1.45060741660049,0,0,0,0,0,0
3,6,4.74438643647882,0.0964590104151421,-0.179955909697443,15.9352206780779,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,0.0734695570740493,0.228849269297997,-0.0444573817961765,1.13475650613942,0,0,0,0,0,0
1,7,4.76128074033766,-0.151556196023954,-0.111008499231144,35.956585950685,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,0.0903638609328903,-0.0191659371410995,0.0244900286701228,1.94853697463006,0,0,0,0,0,0
2,7,6.34227570846774,-0.15872757623756,-0.0822015501303845,24.5467123162338,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,1.67135882906297,-0.0263373173547049,0.0532969777708819,1.56680263712642,0,0,0,0,0,0
3,7,4.50997540006269,-0.209789243657635,-0.0861827230811224,11.3326213376725,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,-0.16094147934208,-0.0773989847747802,0.049315804820144,0.793910120554097,0,0,0,0,0,0
1,8,4.31171478075528,-0.201166850292444,-0.108291281621038,6.30659346105821,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,-0.359202098649487,-0.0687765914095895,0.0272072462802289,0.207820376959678,0,0,0,0,0,0
2,8,3.97397500847878,-0.231625786737751,-0.0704096205656018,3.47517578813685,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,-0.696941870925982,-0.0992355278548964,0.0650889073356646,-0.388130226022457,0,0,0,0,0,0
3,8,3.52189046895889,-0.231120752748843,-0.144722200249068,6.87401675963536,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,-1.14902641044588,-0.0987304938659884,-0.0092236723478013,0.29397332627049,0,0,0,0,0,0
1,9,4.95211291485141,-0.213388208327001,-0.236646543446696,3.18053142335224,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,0.281196035446648,-0.0809979494441459,-0.101148015545429,-0.476726993182196,0,0,0,0,0,0
2,9,5.3387926100266,-0.115385125483002,-0.0892907101397717,9.58133993962617,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,0.66787573062183,0.0170051333998529,0.0462078177614946,0.626042160365103,0,0,0,0,0,0
3,9,3.45745019033062,-0.145865168669756,-0.224113174217854,11.4505406570526,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,-1.21346668907414,-0.013474909786901,-0.0886146463165873,0.804261657568067,0,0,0,0,0,0
1,10,1.66800610395172,-0.145912146076357,-0.112479795131122,15.649049053253,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,-3.00291077545305,-0.0135218871935026,0.0230187327701441,1.11663486149562,0,0,0,0,0,0
2,10,1.79751804904614,-0.194839328929314,-0.0814665288604467,5.0089010417551,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,-2.87339883035862,-0.0624490700464592,0.0540319990408196,-0.0225587521816544,0,0,0,0,0,0
3,10,2.0963913236051,-0.165679063984197,-0.0906241828717931,8.79314709070054,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,-2.57452555579966,-0.0332888051013424,0.0448743450294733,0.540197388141817,0,0,0,0,0,0
1,11,3.94082418410057,-0.296558163937616,-0.104432628195912,2.67214452675176,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,-0.730092695304197,-0.164167905054761,0.0310658997053548,-0.650893946709131,0,0,0,0,0,0
2,11,3.96620195162708,-0.269893169557497,-0.0923249592908673,3.05813349817352,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,-0.704714927777691,-0.137502910674643,0.0431735686103991,-0.515970528332933,0,0,0,0,0,0
3,11,2.77599532243738,-0.0395028814436475,-0.0780160481988237,7.69150386574809,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,-1.89492155696739,0.0928873774392071,0.0574824797024427,0.406341035339608,0,0,0,0,0,0
1,12,2.3901578208168,-0.0372340468005515,-0.117083765899883,6.93107070569843,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,-2.28075905858797,0.0951562120823031,0.0184147620013836,0.302239013980282,0,0,0,0,0,0
2,12,3.77132885678244,-0.13674418294934,-0.100856510110251,9.16452208952927,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,-0.899588022622329,-0.00435392406648533,0.0346420177910152,0.581564444489447,0,0,0,0,0,0
3,12,2.72535319037794,-0.0308002669096857,-0.182464246807546,4.15448133717384,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,-1.94556368902683,0.101589991973169,-0.0469657189062796,-0.209587698356638,0,0,0,0,0,0
1,13,4.91731643705815,-0.0186243203182148,-0.156066307016936,10.0977196170392,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,0.246399557653383,0.11376593856464,-0.0205677791156699,0.678534327589832,0,0,0,0,0,0
2,13,7.15205724033944,-0.0195810142700928,-0.116349659896875,5.37917446812477,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,2.48114036093467,0.112809244612762,0.0191488680043917,0.048759627539436,0,0,0,0,0,0
3,13,8.50637217089842,-0.0876119451051292,-0.0975411635505893,8.2748270551965,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,3.83545529149366,0.0447783137777255,0.0379573643506771,0.479442731096628,0,0,0,0,0,0
1,14,4.80138560888035,-0.031042922894703,-0.204906662138585,12.2144018060872,0.11786321230557,0.180460982098949,0.755948351439617,0.0901144376043581,0.13437407406185,-0.0784742899153009,0.130468729475587,0.101347335988152,-0.0694081342373188,0.868840441160209,0,0,0,0,0,0
