parameter,value
b02_pop,4.24452
b12_pop,-0.1562047
b03_pop,5.59548
b13_pop,0.04765306
h1_pop,0.0004260913
h2_pop,0.1034865
alpha12_pop,0.4978851
alpha13_pop,0.4700881
alpha22_pop,-0.2668553
alpha23_pop,-0.5051688
hcov1_pop,0
beta_hcov1_score4C,0.3353692
hcov2_pop,0
beta_hcov2_score4C,-0.1595027
omega_b02,0.9696814
omega_b12,0.1659249
omega_b03,1.65676
omega_b13,0.06549938
a_2,0.6950581
a_3,1.29331
