rep,id,b02,b12,b03,b13,h1,h2,alpha12,alpha13,alpha22,alpha23,hcov1,hcov2,eta_b02,eta_b12,eta_b03,eta_b13,eta_h1,eta_h2,eta_alpha12,eta_alpha13,eta_alpha22,eta_alpha23,eta_hcov1,eta_hcov2
1,1,4.29767153348802,-0.293434987928016,1.9004869894533,0.100963900439952,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,0.0531515334880226,-0.137230287928016,-3.6949930105467,0.0533108404399521,0,0,0,0,0,0,0,0
2,1,4.32886829871298,-0.224227493834536,6.75712076213806,-0.0202811944549556,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,0.0843482987129753,-0.0680227938345365,1.16164076213806,-0.0679342544549556,0,0,0,0,0,0,0,0
3,1,4.41432391576002,-0.29445770066436,7.43704157343753,0.0783656654804547,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,3.6890612,-1.7545297,0.16980391576002,-0.13825300066436,1.84156157343753,0.0307126054804547,0,0,0,0,0,0,0,0
1,2,3.27723296733857,-0.135587961689052,4.43803962704673,0.227481940137568,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,2.0122152,-0.9570162,-0.96728703266143,0.0206167383109485,-1.15744037295327,0.179828880137568,0,0,0,0,0,0,0,0
2,2,4.14525144542461,-0.288152796206928,6.08435970058933,0.0499605404611108,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,2.0122152,-0.9570162,-0.0992685545753846,-0.131948096206928,0.48887970058933,0.0023074804611108,0,0,0,0,0,0,0,0
3,2,3.8437986096657,-0.421420052750369,7.24997120003342,0.0423615434677768,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,2.0122152,-0.9570162,-0.400721390334304,-0.265215352750369,1.65449120003342,-0.00529151653222316,0,0,0,0,0,0,0,0
1,3,3.99937366375838,-0.284850255479545,5.5867174500872,0.0896013180761634,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,2.6829536,-1.2760216,-0.24514633624162,-0.128645555479545,-0.00876254991280123,0.0419482580761633,0,0,0,0,0,0,0,0
2,3,3.17435903127459,-0.0830419066020434,2.82056028153623,-0.0316396535544404,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,2.6829536,-1.2760216,-1.07016096872541,0.0731627933979566,-2.77491971846377,-0.0792927135544405,0,0,0,0,0,0,0,0
3,3,2.46155495248152,-0.118972219926225,4.50205387557826,0.0826222466867003,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,2.6829536,-1.2760216,-1.78296504751848,0.0372324800737748,-1.09342612442174,0.0349691866867003,0,0,0,0,0,0,0,0
1,4,3.34502531782729,-0.0086967238631199,5.49182756595463,-0.0976925207066235,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,1.0061076,-0.4785081,-0.899494682172706,0.14750797613688,-0.103652434045375,-0.145345580706624,0,0,0,0,0,0,0,0
2,4,2.97882199249084,-0.0974526798255098,4.05540013551815,0.132398324367038,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,1.0061076,-0.4785081,-1.26569800750916,0.0587520201744903,-1.54007986448185,0.0847452643670376,0,0,0,0,0,0,0,0
3,4,3.67457864191146,-0.107197475300668,3.54394549434215,0.0825175847605384,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,1.0061076,-0.4785081,-0.569941358088538,0.0490072246993322,-2.05153450565785,0.0348645247605385,0,0,0,0,0,0,0,0
1,5,5.3397537422847,0.0397317369722597,4.95423592292837,0.0334667810528024,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,0.6707384,-0.3190054,1.0952337422847,0.19593643697226,-0.641244077071632,-0.0141862789471976,0,0,0,0,0,0,0,0
2,5,5.20639600267616,0.227699128875058,4.94091201001064,0.12145514333066,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,0.6707384,-0.3190054,0.961876002676166,0.383903828875058,-0.654567989989362,0.07380208333066,0,0,0,0,0,0,0,0
3,5,5.21039089271759,-0.0725796771916994,4.10871451692042,0.0756502546402995,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,0.6707384,-0.3190054,0.96587089271759,0.0836250228083005,-1.48676548307958,0.0279971946402995,0,0,0,0,0,0,0,0
1,6,4.83436139977347,-0.168943988242692,6.3025857344706,-0.0252135876276362,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,4.0244304,-1.9140324,0.589841399773471,-0.0127392882426923,0.707105734470601,-0.0728666476276362,0,0,0,0,0,0,0,0
2,6,4.77304256687103,0.0714698587786977,4.85459746567717,0.150557053003054,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,4.0244304,-1.9140324,0.528522566871028,0.227674558778698,-0.740882534322829,0.102903993003054,0,0,0,0,0,0,0,0
3,6,4.99013059219218,-0.149546776446786,5.12092002220697,0.00185576076419037,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,4.0244304,-1.9140324,0.74561059219218,0.00665792355321449,-0.474559977793028,-0.0457972992358096,0,0,0,0,0,0,0,0
1,7,4.20405739650658,-0.0529646387329765,8.96607097688658,0.122889837823546,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,2.3475844,-1.1165189,-0.0404626034934188,0.103240061267024,3.37059097688657,0.0752367778235457,0,0,0,0,0,0,0,0
2,7,4.1147443332398,0.181995686353175,9.79687228218414,0.152439442813933,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,2.3475844,-1.1165189,-0.129775666760197,0.338200386353175,4.20139228218414,0.104786382813933,0,0,0,0,0,0,0,0
3,7,4.25628000809619,-0.12247288534565,8.63432999474434,0.068040348689965,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,2.3475844,-1.1165189,0.011760008096193,0.03373181465435,3.03884999474434,0.020387288689965,0,0,0,0,0,0,0,0
1,8,5.99727608860633,0.0238399200526286,5.39843312188252,-0.0491123616474321,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,2.0122152,-0.9570162,1.75275608860633,0.180044620052629,-0.197046878117476,-0.0967654216474321,0,0,0,0,0,0,0,0
2,8,5.73024522239152,-0.0290509004152614,9.44560033849904,0.0177250055449198,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,2.0122152,-0.9570162,1.48572522239152,0.127153799584739,3.85012033849904,-0.0299280544550802,0,0,0,0,0,0,0,0
3,8,5.50928683651031,0.0305436243807749,7.81111432127863,0.0748485696313415,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,2.0122152,-0.9570162,1.26476683651031,0.186748324380775,2.21563432127863,0.0271955096313415,0,0,0,0,0,0,0,0
1,9,2.94167971958238,-0.100655489798756,5.75057614232553,0.155062511800179,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,2.6829536,-1.2760216,-1.30284028041762,0.0555492102012435,0.155096142325529,0.107409451800179,0,0,0,0,0,0,0,0
2,9,3.19584790374308,-0.358879354692564,6.73868182054946,0.0124397437401879,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,2.6829536,-1.2760216,-1.04867209625692,-0.202674654692564,1.14320182054946,-0.0352133162598121,0,0,0,0,0,0,0,0
3,9,3.26506426586075,-0.609894955587585,5.06349520312248,0.113130662769761,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,2.6829536,-1.2760216,-0.979455734139245,-0.453690255587585,-0.531984796877522,0.0654776027697611,0,0,0,0,0,0,0,0
1,10,6.06375546004624,-0.0907392980406106,6.58028777988824,0.0078652349691041,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,1.3414768,-0.6380108,1.81923546004624,0.0654654019593893,0.984807779888246,-0.0397878250308959,0,0,0,0,0,0,0,0
2,10,5.31061840902114,-0.112986250868368,4.80164026125938,0.115010768019582,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,1.3414768,-0.6380108,1.06609840902114,0.0432184491316319,-0.793839738740618,0.0673577080195819,0,0,0,0,0,0,0,0
3,10,6.3381525756814,-0.298766242209715,8.08555846071802,-0.0837800177523981,0.0004260913,0.1034865,0.4978851,0.4700881,-0.2668553,-0.5051688,1.3414768,-0.6380108,2.0936325756814,-0.142561542209715,2.49007846071801,-0.131433077752398,0,0,0,0,0,0,0,0
