rep,id,eta_b0,eta_b1,eta_b2,eta_a,eta_h1,eta_h2,eta_alpha1,eta_alpha2,eta_hcov1,eta_hcov2,score4C
1,1,0.241005844820538,-0.374804896246636,0.058954975766851,-2.76927960507015,0,0,0,0,0,0,11
2,1,-0.689502638786817,0.11012842792655,0.288097697681368,-0.409068919944101,0,0,0,0,0,0,11
3,1,0.461541080555598,0.0217073738733407,-0.264435909431368,1.11647378181899,0,0,0,0,0,0,11
4,1,-0.14307782106484,-0.10637719722676,-0.221305193288705,-0.657513308086829,0,0,0,0,0,0,11
5,1,-0.386761788907752,0.0642099599358923,-0.0196767606252775,0.866717965752665,0,0,0,0,0,0,11
6,1,-0.032853928403163,0.24215544950021,0.225287029442221,1.07297365480312,0,0,0,0,0,0,11
7,1,-0.0162507320513181,-0.339401629203055,0.0568428446115032,-0.10295913303384,0,0,0,0,0,0,11
8,1,0.238905997183631,0.0450442017156909,-0.172973170064636,1.38290242211527,0,0,0,0,0,0,11
9,1,0.0734902246236611,-0.32624362252072,0.658126573364398,-2.26101591230251,0,0,0,0,0,0,11
10,1,0.224715128294793,0.34461872681619,-0.237289134153609,-2.52930176324812,0,0,0,0,0,0,11
1,2,0.116709949492201,0.0272059548011025,0.430478678550711,-0.236903447832847,0,0,0,0,0,0,5
2,2,0.0382768773594737,-0.150269540606359,1.03630129726779,0.543189390876952,0,0,0,0,0,0,5
3,2,0.540156261491206,0.0388276896357471,-0.762094689808968,1.02234709200186,0,0,0,0,0,0,5
4,2,0.300631034518875,0.202819491880533,0.299091892131558,-0.79807539682602,0,0,0,0,0,0,5
5,2,0.123236996474966,0.153097026454165,-0.663156121331117,-1.57620106629842,0,0,0,0,0,0,5
6,2,-0.303887276949903,0.214435145686446,0.291726987842952,-0.759249553475297,0,0,0,0,0,0,5
7,2,-0.181688183242341,0.266160755590464,0.146443155091976,0.453790930182786,0,0,0,0,0,0,5
8,2,0.00165172138797587,0.06084953753079,0.270680038364737,0.436753306575663,0,0,0,0,0,0,5
9,2,0.389100800426968,0.152343962106001,0.464764255574895,1.19159877048735,0,0,0,0,0,0,5
10,2,0.0920063470525614,-0.320306303507051,0.331359118187611,0.0580059688891212,0,0,0,0,0,0,5
1,3,0.223811291281739,0.549785183933561,0.86234553186007,-0.762632674360165,0,0,0,0,0,0,6
2,3,0.0749185068699751,-0.252928564576821,-0.0580894097086746,1.2709789679224,0,0,0,0,0,0,6
3,3,0.436090799787663,-0.335574916322715,-0.0470274338515384,1.06678410708817,0,0,0,0,0,0,6
4,3,0.118786717958016,-0.105471758211273,-0.157085563476956,-1.38542891500668,0,0,0,0,0,0,6
5,3,-0.0176641515027853,0.0698670652496745,-0.313216604307863,-1.62181392777877,0,0,0,0,0,0,6
6,3,-0.317096733922262,-0.233925671476577,-0.950035368673156,0.538665485994863,0,0,0,0,0,0,6
7,3,0.344238891178521,0.0148221859404856,-0.0783720860304367,-0.981001337722847,0,0,0,0,0,0,6
8,3,-0.104371280911156,0.423174975824189,0.140244762624053,0.127890038901352,0,0,0,0,0,0,6
9,3,-0.000231038774130887,0.408767394053405,0.646421766487559,-0.944356608574358,0,0,0,0,0,0,6
10,3,0.180626276783766,0.0287865156483096,0.52315820234302,1.54060020928954,0,0,0,0,0,0,6
1,4,-0.0916808345818287,-0.0541190454373304,-0.357954201391012,-0.62774580984166,0,0,0,0,0,0,8
2,4,0.0452628839902953,0.334700931432737,0.0983533100916619,2.43070765526877,0,0,0,0,0,0,8
